,AccountsPayableCurrentAndNoncurrent,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AdditionalPaidInCapitalCommonStock,AssetManagementCosts,Assets,AssetsHeldInTrust,AssetsUnderManagementCarryingAmount,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,CashSegregatedUnderCommodityExchangeActRegulation,CommissionsAndFloorBrokerageReceivables,CommissionsPayableToBrokerDealersAndClearingOrganizations,Deposits,DepreciationAmortizationAndAccretionNet,DerivativeFairValueOfDerivativeAssetAmountOffsetAgainstCollateral,DerivativeFairValueOfDerivativeLiabilityAmountOffsetAgainstCollateral,DistributedEarnings,DividendIncomeOperating,DividendsReceivable,DueFromAffiliates,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,FinancialInstrumentsOwnedAtFairValue,FinancialInstrumentsOwnedDerivativesAndOtherContractualAgreementsAtFairValue,FinancialInstrumentsOwnedUSGovernmentAndAgencyObligationsAtFairValue,FloorBrokerageExchangeAndClearanceFees,GainLossOnInvestments,GainLossOnSaleOfCommodityContracts,GainLossOnSaleOfDebtInvestments,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfSecuritiesNet,GeneralPartnersCapitalAccount,GeneralPartnersCapitalAccountUnitsIssued,GeneralPartnersCapitalAccountUnitsOutstanding,GoodFaithAndMarginDepositsWithBrokerDealers,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDividendsReceivable,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherAccountsPayable,IncreaseDecreaseInPayablesToBrokerDealers,InterestAndDividendIncomeOperating,InterestExpense,InterestIncomeExpenseNet,InterestIncomeOperating,InterestPaid,InterestPaidNet,InvestmentCompanyContractualFeeWaived,InvestmentCompanyExpenseRatioIncludingVoluntaryFeeWaiver,InvestmentCompanyGainLossOnInvestmentPerShare,InvestmentCompanyGeneralPartnerAdvisoryService,InvestmentCompanyInvestmentIncomeLossFromOperationsPerShare,InvestmentCompanyInvestmentIncomeLossPerShare,InvestmentCompanyInvestmentIncomeLossRatio,InvestmentCompanyRealizedAndUnrealizedGainLossOnInvestmentAndForeignCurrency,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare61,InvestmentCompanyTaxReturnOfCapitalDistributionPerShare62,InvestmentCompanyTotalReturn,InvestmentIncomeNet,InvestmentInterestRate,InvestmentOwnedAtCost,InvestmentOwnedAtFairValue,InvestmentOwnedPercentOfNetAssets,InvestmentOwnedUnrecognizedUnrealizedAppreciation,InvestmentOwnedUnrecognizedUnrealizedAppreciationDepreciationNet,InvestmentOwnedUnrecognizedUnrealizedDepreciation,InvestmentsInAndAdvancesToAffiliatesAtFairValue,InvestmentsInAndAdvancesToAffiliatesAtFairValueGrossAdditions,InvestmentsInAndAdvancesToAffiliatesDividendOrInterestCreditedToIncome,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LimitedPartnersCapitalAccountUnitsOutstanding,ManagementFeePayable,MarketableSecuritiesRealizedGainLoss,MarketableSecuritiesUnrealizedGainLoss,MinorityInterestDecreaseFromRedemptions,NetAssetValuePerShare,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,OperatingExpenses,OperatingIncomeLoss,OtherNonrecurringExpense,PartnersCapitalAccountContributions,PartnersCapitalAccountReturnOfCapital,PartnersCapitalDistributionAmountPerShare,PayablesToBrokerDealersAndClearingOrganizations,PaymentsForProceedsFromInvestments,PaymentsForPurchaseOfSecuritiesOperatingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsOfDividends,PaymentsToAcquireInvestments,PaymentsToAcquireMarketableSecurities,ProceedsFromIssuanceOfCommonStock,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleMaturityAndCollectionsOfInvestments,ProceedsFromSaleOfSecuritiesOperatingActivities,ProfessionalFees,ProfitLoss,RealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,RealizedInvestmentGainsLosses,ReceivablesFromBrokersDealersAndClearingOrganizations,ReceivablesFromClearingOrganizations,RestrictedCashAndCashEquivalents,RestrictedInvestments,RestrictedInvestmentsPercentOfNetAssets,RetainedEarningsAccumulatedDeficit,SharesIssued,SharesOutstanding,StockholdersEquity,StockholdersEquityPeriodIncreaseDecrease,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesPeriodIncreaseDecrease,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,TaxBasisOfInvestmentsGrossUnrealizedDepreciation,TaxBasisOfInvestmentsUnrealizedAppreciationDepreciationNet,UnrealizedGainLossOnCommodityContracts,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrealizedGainLossOnMarketableSecuritiesCostMethodInvestmentsAndOtherInvestments,UnrealizedGainLossOnSecurities,UnrealizedGainOnSecurities,UnrealizedLossOnSecurities,UnrecognizedTaxBenefits,MarketableSecuritiesRealizedGainLossExcludingOtherThanTemporaryImpairments,MarketableSecuritiesUnrealizedGainLossExcludingOtherThanTemporaryImpairments,y
10,41687,,-14005328.0,,66813212.0,,,,16315594.0,,,,,,,7510.0,,,,,,2491.0,3148.0,1333.0,19399.0,,,-17490670.0,60495251.0,,,,,,,15563.0,1908.0,,40.0,66813212,,1943.0,,1081.0,,,,,141.0,,,1124.0,,,,,,,,,-457040.0,,,,,,,,0.9719,,-1108725.0,,1000177.0,,,49197.0,66813212.0,20104340.0,800000.0,11609.0,,2135.0,,24.94,,77003480.0,,6818461.0,-17587645.0,,,-38880.0,,1000.0,,,6175.0,,18985439.0,,,,18461640.0,,,,20499606.0,17300000.0,,,769972.0,65562033.0,,188400.0,,4331250.0,,85660917.0,1200000.0,1400000.0,,-10214684.0,0.0,200000.0,0.0,,,200000.0,,,,,,,1342092.0,,,2940700.0,,,447902.0,0
11,85105,,,1440942.0,71749652.0,0.0,,1592702.0,,,-351645.0,0.0,,,,6570.0,,,,,0.0,,3148.0,1333.0,19399.0,3.41,18961323.0,-491335.0,50494744.0,27127.0,-8790204.0,741086.0,-89.0,-789400.0,773857.0,,2388.0,,,71749652,,,,,,,681.0,128449.0,,,123680.0,,,3066.0,0.0076,1.3,171710.0,1.31,,0.0005,,,,0.0524,-1344389.0,,19970266.0,19965954.0,0.9997,,-1108725.0,,3829452.0,,,91675.0,71749652.0,20104340.0,,,,,,24.94,,,,,-17587645.0,,1468069.0,-112513.0,,1000.0,,,0.0,,,11131314.0,,,,,0.0,,,,74745.0,-10134593.0,,,,510620.0,,4331250.0,,,,1200000.0,,10214684.0,0.0,-200000.0,,,,,10214684.0,,,-267184.0,-74346205.0,-74352237.0,,-6032.0,,2940700.0,,,1466964.0,0
12,41854,,,,62388173.0,0.0,,285679.0,,-985012.0,,0.0,-185775.0,,,1730.0,,-5482.0,,,,7449.0,,1406.0,,-7.76,18164227.0,-2940700.0,50498119.0,,,,,,3885.0,1166.0,2078.0,,40.0,62388173,-3568.0,49568.0,16.0,,,,,,1124.0,,,1940.0,188.0,,,,,,0.05,,-490893.0,,,,,,19504139.0,19504858.0,0.9997,,,,3829452.0,,,43584.0,62388173.0,,,,,732.0,,,-11131314.0,19782905.0,10146302.0,,,,,-34734.0,0.0,,,,1999861.0,,39471398.0,,,,23059379.0,60487904.0,0.0,71499823.0,24620363.0,35299922.0,,,773895.0,-788234.0,,92400.0,,3806000.0,,,,,79106740.0,-21345998.0,,-400000.0,0.0,,,400000.0,,,,,,,5249984.0,,,2940700.0,,,,0
13,41854,,,397179.0,62388173.0,0.0,,285679.0,,,-351645.0,0.0,,,,1730.0,,,,,,,4257.0,1720.0,17227.0,-3.41,14053759.0,-2940700.0,50498119.0,2183.0,-37525364.0,-661501.0,-89.0,39671640.0,4898319.0,,2078.0,,40.0,62388173,-13138.0,,,73.0,,,,,,,9184.0,,,,,,,,,,,,,,-390178.0,,17318498.0,17314270.0,0.9997,,211980.0,,3829452.0,,,43584.0,62388173.0,21372005.0,800000.0,,1165.0,,,,,,,260477.0,-17919466.0,,399362.0,-34734.0,,,,,0.0,,,11131314.0,,,29744691.0,,95036403.0,,28476400.0,,39574.0,-37915542.0,,,,92400.0,,3806000.0,,,,1200000.0,66764015.0,-15314711.0,0.0,200000.0,0.0,,,200000.0,21345998.0,,,-68600.0,-36734360.0,-36737130.0,,-2770.0,,6934900.0,,,,0
14,41854,,,,62388173.0,0.0,,285679.0,59803649.0,-1115686.0,,0.0,-185775.0,,,1730.0,,-17824.0,,,0.0,3019.0,600.0,1363.0,12464.0,-3.41,14606238.0,-2940700.0,50498119.0,,,,,,4124462.0,17188.0,2078.0,,40.0,62388173,30280.0,8014.0,137.0,,,,-26.0,38475.0,826.0,,,143.0,604.0,2348.0,0.0074,-1.32,38042.0,-1.27,0.1,0.0071,-33853.0,,,-0.0484,,,13824819.0,13825128.0,0.9997,,-1159908.0,,3829452.0,,,43584.0,62388173.0,19960938.0,800000.0,,,-1403.0,,,-11131314.0,-2522916.0,10015628.0,,3763768.0,,,-144757.0,0.0,,,,,,165392014.0,,,,11973822.0,120975499.0,,131999823.0,15402851.0,91796254.0,,,3923.0,39688828.0,,92400.0,,3806000.0,,,,1200000.0,71657977.0,7932224.0,,,0.0,,,,,,,,,,3907892.0,,,21739900.0,,,,0
15,41854,,,1649732.0,62388173.0,,,285679.0,,,-351645.0,,,,,1730.0,,,,,,,129.0,,13090.0,,14606238.0,-2940700.0,50498119.0,29602.0,-10925479.0,,-45.0,,-8535498.0,,2078.0,,40.0,62388173,,,,387.0,,,,,,,126095.0,,,640.0,,,,,,,,,,,-1553239.0,,13824819.0,13825128.0,,,-515377.0,,,,,43584.0,62388173.0,18505112.0,800000.0,,1127.0,,,,,,,-1107475.0,3763768.0,,1679334.0,,,,,,,,,21345998.0,,,14832151.0,,95036403.0,,18188556.0,,243995.0,-12478718.0,,,,92400.0,,3806000.0,,,,1200000.0,62344589.0,-29615458.0,0.0,200000.0,,,,200000.0,,,,1644820.0,-50606700.0,-50614307.0,,-7607.0,,17909150.0,,,,0
16,37732,,,,58287581.0,,,,,,717500.0,0.0,,,,849.0,,,,,,,224.0,,12456.0,-19.22,14606238.0,-21739900.0,56995939.0,,,,-246.0,,,-89.0,1942.0,,,58287581,,-2172.0,,30.0,,,,,,,,324.0,,1173.0,,,,,,,,,,,,,13824819.0,13825128.0,0.9973,,-515377.0,,473046.0,,,38581.0,58287581.0,17518115.0,,,2043.0,,,28.38,,-7463987.0,,-637694.0,-22193659.0,,,-32244.0,,,,,,,,21345998.0,,,,,,,,,335845.0,12578754.0,,-707469.0,,121245.0,,3806000.0,,,,1000000.0,62344589.0,-25519869.0,,0.0,,,,0.0,,,,,,,,,,,,,,0
17,22092,,,153401.0,32753764.0,,,,24924317.0,-10093563.0,,0.0,-185775.0,,,2541.0,,-43003.0,,,,,224.0,,12456.0,,,-17909150.0,29998920.0,1081.0,12727957.0,,1120.0,-707380.0,,,1309.0,,,32753764,,,-5643.0,,,,-7.0,41952.0,,,5279.0,479.0,1417.0,,,-0.41,37862.0,-0.36,0.18,0.0091,1369046.0,,,-0.0144,-149203.0,,,,0.9715,,-515377.0,,361434.0,,,24633.0,32753764.0,17518115.0,,,,7132.0,,,-21345998.0,-7476214.0,11252435.0,-1944717.0,,,154482.0,-25924.0,0.0,,,,,,,,,,,221951181.0,5755806.0,242999277.0,,,50340.0,,4125589.0,,,42140.0,,3139950.0,,,,1000000.0,62344589.0,7932224.0,,,0.0,,,,,,,-1050000.0,13432160.0,13435426.0,-7993132.0,3266.0,,,,,,0
18,23597,,,,36522671.0,,,310705.0,,,,,,,,6175.0,,,,,0.0,4119.0,224.0,,12456.0,-15.81,13637532.0,,34999335.0,,12727957.0,323349.0,,,,-89.0,1460.0,,,36522671,-4122.0,-6935.0,,4139.0,,,,,143.0,,,116.0,,533.0,,,,,,,,,,,-149203.0,,13313153.0,13314202.0,1.0016,,,,4434970.0,,,29772.0,36522671.0,17518115.0,,,,,,25.66,,,,,,,,,,,,,,,5992584.0,,,,,,,,,7990663.0,93612.0,236029.0,,-707469.0,,20520.0,,1980550.0,,,,,,-25851690.0,,0.0,95036403.0,,,0.0,,,,,,,,,,,,,,0
19,20875,,,286910.0,32244285.0,,,1742212.0,24924317.0,,,0.0,0.0,,,4704.0,,,,,,,,,,-15.81,13378087.0,,30999256.0,1202.0,,,,-2482895.0,,,1290.0,,40.0,32244285,-19762.0,,-881.0,,,,-1452.0,130352.0,,,5279.0,,,,0.0075,-4.14,110408.0,-3.96,0.07,0.0095,1565859.0,,,-0.151,,,13410980.0,13412674.0,1.0016,,824580.0,,4434970.0,,,25579.0,32244285.0,,,,-180.0,-888.0,,25.66,-7932224.0,,-6604212.0,,-4274193.0,,288112.0,-51746.0,,,,,,,,7932224.0,,,,,5755806.0,,,,43272.0,,-8533455.0,,,485030.0,,1951950.0,,,,,,3763768.0,,0.0,,,,0.0,7932224.0,,,-1386000.0,1210690.0,1213989.0,-1084962.0,3299.0,,,,,,0
20,20875,,,,32244285.0,,,336005.0,24924317.0,-6604212.0,,0.0,0.0,,,4704.0,,-13392.0,,,,8946.0,375.0,,12846.0,,15780894.0,,30999256.0,,506520.0,,,,,-45.0,1290.0,,40.0,32244285,-18257.0,-6309.0,,,,,,,298.0,,17621.0,,377.0,1570.0,,,,,,,,,,,-270491.0,,14444786.0,14446946.0,1.0016,,4733875.0,,4434970.0,,,25579.0,32244285.0,19604151.0,800000.0,,,,,,-7932224.0,,17596214.0,25026.0,,,,,,,,,,,25949993.0,,,,,59984732.0,,53499393.0,,34884399.0,,-12342725.0,,-2482940.0,,444375.0,,1951950.0,,,,,,-30125883.0,,,,,,,,,,,,,,,,,,,,0
21,20875,,,133509.0,32244285.0,,,,24924317.0,9663990.0,,0.0,49590.0,,,4704.0,,,,,0.0,,285.0,,12284.0,,17423550.0,,30999256.0,121.0,,,,-1775515.0,,,1290.0,,40.0,32244285,,,811.0,-4164.0,,,,49925.0,155.0,,,,,,0.0076,-2.4,34504.0,-2.33,0.25,0.0126,,,,-0.0947,,,15417394.0,15419088.0,1.0016,,-3266389.0,,4434970.0,,,25579.0,32244285.0,23489950.0,800000.0,,-1198.0,,,,-7932224.0,,12533956.0,,521777.0,,133630.0,-25822.0,0.0,,,,,,,7932224.0,,,,,5755805.0,,,,,,,,,285675.0,,1951950.0,,,,,,,,,,,,,7932224.0,,,-336000.0,-12221470.0,-12221437.0,,33.0,,,,,,0
22,20875,,,,32244285.0,,,0.0,,,,0.0,-49590.0,,,4704.0,,-21412.0,,,,4827.0,222.0,,10538.0,-15.46,17423550.0,,30999256.0,,-12221437.0,323349.0,,,,44.0,1290.0,,40.0,32244285,-20979.0,-6943.0,,,,,-1425.0,,324.0,,12342.0,,637.0,397.0,,,,,,,-3277712.0,,,,-121288.0,,15417394.0,15419088.0,,,-1599451.0,,,,,25579.0,32244285.0,96514832.0,3200000.0,,,-3605.0,,25.59,-6135944.0,,-5350651.0,1456533.0,521777.0,,,,0.0,,,,,,54869467.0,,,,,96980397.0,,117498640.0,,62882224.0,,15344675.0,937866.0,-1775471.0,,546975.0,,1951950.0,,,,,,521777.0,,,95036403.0,,,,,,,,,,2511705.0,,,,,,,0
23,22041,,,,32769579.0,,,0.0,,,,0.0,,,,7055.0,,-25307.0,,,0.0,12982.0,266.0,,8311.0,3.76,17423550.0,,30999287.0,,,340449.0,,,,-45.0,1310.0,,,32769579,1166.0,,2974.0,,,,-1429.0,,26.0,,12342.0,,883.0,2348.0,,,,,0.09,,660795.0,,,,,,15417394.0,15419088.0,0.9703,,-1599451.0,,,,,29096.0,32769579.0,24944523.0,1000000.0,,,-481.0,,26.23,-7463987.0,,-637694.0,-76953154.0,,,,,0.0,,,,,,62845300.0,,,,,131975973.0,7822033.0,147498640.0,,72880512.0,,15108646.0,739888.0,-9235500.0,,242360.0,,9857087.0,,,,,58249000.0,,,,,,,,0.0,,,,,,-199065.0,,,,,,,0
24,20278,,,127038.0,34900741.0,,,0.0,,-13282875.0,,0.0,,,,7296.0,,,,,,,266.0,,8311.0,3.76,,,29999190.0,2.0,15729474.0,,,,,,1395.0,,,34900741,,390.0,2351.0,-3709.0,,,,,,,30353.0,,,,,,,,,,,,,,-384799.0,,,,1.0398,,-1599451.0,,,,,27574.0,34900741.0,24944523.0,1000000.0,,-1247.0,,,26.23,-7463987.0,,-20068584.0,,2654461.0,,127040.0,-111023.0,,,,,,,,,,,,,,,,,,,,,,242360.0,,6829930.0,,,,,,2132684.0,,,5755806.0,,,,0.0,,,-1919880.0,16999335.0,16998425.0,,-910.0,,,,,,0
25,17152,,,,22253497.0,,,0.0,,,,0.0,,,,5487.0,,-30628.0,,,0.0,4036.0,266.0,,8311.0,,10838004.0,,21999692.0,,,,,-246.0,,,1112.0,,,22253497,-597.0,,2592.0,,,,-3933.0,73637.0,479.0,,,,1167.0,,0.0069,-0.76,25607.0,-0.67,0.18,0.0166,3938507.0,,,-0.0291,,,12109560.0,12127857.0,0.9931,,,,4128680.0,,,22639.0,22253497.0,24944523.0,1000000.0,,,3124.0,,26.23,-7476214.0,,7463987.0,-20068584.0,,,,,,,,,,,,0.0,,,,165969098.0,7822033.0,185498176.0,,,,6031287.0,-197978.0,,,242360.0,,,,,,,58249000.0,,,,,,,,,,,,,,-2710770.0,,,,,,,0
26,10606,,,541304.0,20121336.0,,,185775.0,23939305.0,,,,,,,5385.0,,,,,,,,,,,18843378.0,,18999665.0,85.0,15222954.0,-573066.0,,-2709235.0,,-246.0,1005.0,,,1951950,,-172.0,,-2324.0,,,,,,,12732.0,,,2359.0,,,,,,,,,,,-114308.0,,15603607.0,15603570.0,0.9931,,915859.0,,7605542.0,,,15991.0,20121336.0,,,,-49.0,,,26.23,,,7463987.0,,2132684.0,,541389.0,-215042.0,,,,,,,18883200.0,6135944.0,,,,,,,,17999487.0,,-4095589.0,,-246.0,,,,,,,,,32729131.0,-9987848.0,,,,,,,6135944.0,,,735741.0,15760660.0,15765376.0,,4716.0,,,,,,0
27,10606,,,,20121336.0,,,185775.0,,881602.0,,0.0,,,,5385.0,,,,,,22443.0,1513.0,,8518.0,-19.73,33805957.0,,18999665.0,,15222954.0,,,,,,1005.0,,,20121336,-3723.0,,,,,,-4107.0,157123.0,,,,,,,0.0073,-0.82,50193.0,-0.64,0.09,0.0165,3479878.0,,,-0.0278,-114308.0,,27747164.0,27747478.0,0.9931,,-1798035.0,,7605542.0,,,15991.0,20121336.0,28380738.0,1000000.0,,,-513.0,,,-4387399.0,,7661989.0,2522916.0,2132684.0,,,,0.0,,,,,,,,,,,30996081.0,,31000000.0,,,,-21683234.0,739839.0,,,16600.0,,,,,,,,,,,,,,,,,,,,,-267697.0,,,,,,,0
28,10606,,,,20121336.0,,,185775.0,23808631.0,,,0.0,,,,5385.0,,-5167.0,,,,,7938.0,,8012.0,,33360860.0,,18999665.0,,,,,,,1120.0,1005.0,,,20121336,,-1918.0,,,,,,,116.0,,12732.0,,313.0,2669.0,,,,,,,,,,,,,25837446.0,25837966.0,0.9931,,-1866635.0,,,,,15991.0,20121336.0,20530015.0,800000.0,,-1315.0,,,,,,,,,,,,,,,,,,26844833.0,6135944.0,,,,,3708528.0,,,25993250.0,,-17587645.0,,-2708115.0,,310650.0,,,,,,,32729131.0,-12642309.0,,,5755806.0,,,,,,,,,,,,,,,,,0
29,13315,,,114745.0,20121336.0,,,185775.0,,2518321.0,,0.0,,,,5385.0,,,,,0.0,,18961.0,,9655.0,-4.27,33360860.0,,18999665.0,-880.0,6529876.0,,,,,,1005.0,,,20121336,-10269.0,,,1109.0,,,,83486.0,,,42800.0,,,,0.0078,-0.06,24586.0,0.03,0.27,,2819083.0,,,0.0013,-498589.0,,25837446.0,25837966.0,,,-1004631.0,,12749883.0,,,15991.0,20121336.0,20472642.0,800000.0,,,-32.0,,,,,-185775.0,7463987.0,,,113865.0,-13219.0,,,,,,,,,,,,61994123.0,,62999933.0,,,,-17919466.0,-49.0,,,,,,,,,,36492899.0,,,,,,,,,,,-457780.0,-3994200.0,-3994865.0,-68632.0,-665.0,,,,,,0
30,12710,,,,,,,,21746243.0,,,0.0,,,,,,-8203.0,,,,29532.0,80543.0,,9138.0,,33360860.0,,,,,-573066.0,,-2709235.0,,1366.0,,,,20121336,2709.0,-4145.0,,,,,174.0,,214.0,,,,470.0,310.0,,,,,,,,,,,,,25837446.0,25837966.0,0.9845,,781110.0,,,,,,,20984698.0,800000.0,,,,,,-86083.0,,-185775.0,7463987.0,-3851904.0,,,,,,,,,,43690426.0,,,,,91991848.0,3708528.0,100999933.0,,45589733.0,,3763768.0,,-2707869.0,,,,,,,,,,-12113361.0,,,5755805.0,,,,6135944.0,,,,,,,,,,,,,0
