,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccrualForTaxesOtherThanIncomeTaxesCurrentAndNoncurrent,AccruedRentCurrent,AccruedRentCurrentAndNoncurrent,AccumulatedAmortizationDeferredFinanceCosts,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AcquisitionCosts,AdditionalPaidInCapital,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AffiliateCosts,AmortizationOfAboveAndBelowMarketLeases,AmortizationOfDebtDiscountPremium,AmortizationOfDeferredLeasingFees,AmortizationOfFinancingCosts,AmortizationOfIntangibleAssets,AreaOfRealEstateProperty,AssetImpairmentCharges,AssetManagementCosts,Assets,AssetsOfDisposalGroupIncludingDiscontinuedOperation,BridgeLoan,BusinessAcquisitionCostOfAcquiredEntityLiabilitiesIncurred,BusinessAcquisitionProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTaxPerShareBasic,BusinessAcquisitionPurchasePriceAllocationPropertyPlantAndEquipment,BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,BusinessAcquisitionsProFormaNetIncomeLoss,BusinessAcquisitionsProFormaRevenue,BusinessCombinationAcquisitionRelatedCosts,BusinessCombinationConsiderationTransferred1,BusinessCombinationConsiderationTransferredLiabilitiesIncurred,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedBuildings,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedLand,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNet,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,CapitalLeasesContingentRentalPaymentsDue,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CashEquivalentsAtCarryingValue,CashFDICInsuredAmount,ChangeInUnrealizedGainLossOnFairValueHedgingInstruments1,CollateralAlreadyPostedAggregateFairValue,CommonStockDividendsPerShareCashPaid,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ConsolidationLessThanWhollyOwnedSubsidiaryParentOwnershipInterestChangesSaleOfInterestByParent,ConstructionInProgressExpendituresIncurredButNotYetPaid,ConstructionInProgressGross,ContributionsFromNoncontrollingInterests,CostOfOtherPropertyOperatingExpense,CostsAndExpensesRelatedParty,DebtInstrumentBasisSpreadOnVariableRate,DebtInstrumentBasisSpreadOnVariableRate1,DebtInstrumentCarryingAmount,DebtInstrumentFairValue,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,DebtInstrumentUnamortizedDiscountPremiumNet,DebtInstrumentUnamortizedPremium,DebtWeightedAverageInterestRate,DeferredCostsLeasingAccumulatedAmortization,DeferredCostsLeasingGross,DeferredCostsLeasingNet,DeferredCostsLeasingNetNoncurrent,DeferredFinanceCostsNet,DeferredRentCredit,DeferredRentReceivablesNet,DepositsAssets,Depreciation,DepreciationAndAmortization,DerivativeFairValueOfDerivativeNet,DerivativeGainOnDerivative,DerivativeInstrumentsLossReclassifiedFromAccumulatedOCIIntoIncomeEffectivePortion,DerivativeLiabilities,DerivativeLiabilitiesCurrent,DerivativeLiabilityNotionalAmount,DerivativeLossOnDerivative,DerivativeNumberOfInstrumentsHeld,DisposalGroupIncludingDiscontinuedOperationAccountsPayableAndAccruedLiabilities,DisposalGroupIncludingDiscontinuedOperationCashAndCashEquivalents,DisposalGroupIncludingDiscontinuedOperationDepreciationAndAmortization,DisposalGroupIncludingDiscontinuedOperationIntangibleAssets,DisposalGroupIncludingDiscontinuedOperationInterestExpense,DisposalGroupIncludingDiscontinuedOperationOperatingExpense,DisposalGroupIncludingDiscontinuedOperationOperatingIncomeLoss,DisposalGroupIncludingDiscontinuedOperationOtherAssets,DisposalGroupIncludingDiscontinuedOperationPropertyPlantAndEquipment,DisposalGroupIncludingDiscontinuedOperationRevenue,DisposalGroupNotDiscontinuedOperationLossGainOnWriteDown,Dividends,DividendsPayableAmount,DividendsPayableCurrentAndNoncurrent,DueFromAffiliates,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarnestMoneyDeposits,EarningsPerShareBasicAndDiluted,EarningsPerShareDilutedDistributed,EquityMethodInvestmentDividendsOrDistributions,EquityMethodInvestments,EscrowDeposit,FairValueConcentrationOfRiskCashAndCashEquivalents,FairValueInputsDiscountRate,FairValueMeasurementWithUnobservableInputsReconciliationLiabilityTransfersIntoLevel3,FiniteLivedIntangibleAssetOffMarketLeaseFavorableGross,FiniteLivedIntangibleAssetsAmortizationExpense,GainLossOnDispositionOfAssets1,GainLossOnSaleOfProperties,GeneralAndAdministrativeExpense,GeneralPartnersContributedCapital,Goodwill,GroundLeasesAccumulatedAmortization,GroundLeasesGross,GroundLeasesNet,ImpairmentOfIntangibleAssetsExcludingGoodwill,IncomeLossFromEquityMethodInvestments,IncreaseDecreaseDueFromAffiliates,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInConstructionPayables,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInDeferredRentReceivables,IncreaseDecreaseInDueToAffiliates,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInRestrictedCash,IncreaseDecreaseInRestrictedCashForOperatingActivities,IncreaseDecreaseInSecurityDeposits,InterestExpense,InterestIncomeOperating,InterestPaid,InterestPaidNet,InterestPayableCurrentAndNoncurrent,InterestRateCashFlowHedgeGainLossToBeReclassifiedDuringNext12MonthsNet,InvestmentBuildingAndBuildingImprovements,InvestmentIncomeInterest,Land,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperation,LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,LimitedPartnersCapitalAccountUnitsIssued,LineOfCredit,LineOfCreditFacilityAmountOutstanding,LineOfCreditFacilityIncreaseAdditionalBorrowings,LineOfCreditFacilityMaximumBorrowingCapacity,LoansPayableToBank,LongTermDebt,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,LossOnCashFlowHedgeIneffectiveness,LossOnFairValueHedgeIneffectiveness,MinimumNetWorthRequiredForCompliance,MinorityInterest,MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,MinorityInterestDecreaseFromRedemptions,MinorityInterestIncreaseFromStockIssuance,MinorityInterestOwnershipPercentageByNoncontrollingOwners,MortgageLoansOnRealEstate,MortgageLoansOnRealEstateNumberOfLoans,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossIncludingPortionAttributableToNonredeemableNoncontrollingInterest,NoncashOrPartNoncashAcquisitionAccountsReceivableAcquired1,NoncashOrPartNoncashAcquisitionDebtAssumed1,NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1,NoncashOrPartNoncashAcquisitionOtherLiabilitiesAssumed1,NoncashOrPartNoncashAcquisitionValueOfLiabilitiesAssumed1,NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance,NumberOfPropertiesSubjectToGroundLeases189,NumberOfPropertiesSubjectToGroundLeases190,NumberOfPropertiesSubjectToGroundLeases,NumberOfRealEstateProperties192,NumberOfRealEstateProperties193,NumberOfRealEstateProperties,NumberOfReportableSegments195,NumberOfReportableSegments196,NumberOfStatesInWhichEntityOperates,OfferingCostsPartnershipInterests,OffMarketLeaseUnfavorable,OperatingExpenses,OperatingIncomeLoss,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLeasesIncomeStatementContingentRevenue,OperatingLeasesIncomeStatementMinimumLeaseRevenue,OperatingLeasesRentExpenseMinimumRentals,OperatingLeasesRentExpenseNet,OtherAccruedLiabilitiesCurrentAndNoncurrent,OtherAssets,OtherComprehensiveIncomeDerivativesQualifyingAsHedgesNetOfTaxPortionAttributableToNoncontrollingInterest,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,OtherIncome,OwnedPropertyManagementCosts,PaymentsForCapitalImprovements,PaymentsForConstructionInProcess,PaymentsForDepositsOnRealEstateAcquisitions,PaymentsForMortgageDeposits,PaymentsForProceedsFromDepositsOnRealEstateAcquisitions,PaymentsForProceedsFromMortgageDeposits,PaymentsForProceedsFromTenantAllowance,PaymentsForRent,PaymentsForRepurchaseOfCommonStock,PaymentsForRepurchaseOfRedeemableConvertiblePreferredStock,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsForTenantImprovements,PaymentsOfDividendsCommonStock,PaymentsOfDividendsPreferredStockAndPreferenceStock,PaymentsOfFinancingCosts,PaymentsOfLoanCosts,PaymentsOfStockIssuanceCosts,PaymentsToAcquireAdditionalInterestInSubsidiaries,PaymentsToAcquireEquityMethodInvestments,PaymentsToAcquireInterestInJointVenture,PaymentsToAcquireLand,PaymentsToAcquireRealEstate,PaymentsToAcquireRealEstateHeldForInvestment,PaymentsToMinorityShareholders,PreconfirmationDeferredFinancingCosts,PreferredStockParOrStatedValuePerShare,PreferredStockRedemptionAmount,PreferredStockRedemptionPremium,PreferredStockSharesAuthorized,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssets,PriorPeriodReclassificationAdjustment,ProceedsFromBankDebt,ProceedsFromDistributionsReceivedFromRealEstatePartnerships,ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,ProceedsFromIssuanceInitialPublicOffering,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfConvertiblePreferredStock,ProceedsFromIssuanceOfFirstMortgageBond,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromIssuanceOfPreferredLimitedPartnersUnits,ProceedsFromIssuanceOfUnsecuredDebt,ProceedsFromLinesOfCredit,ProceedsFromLongTermLinesOfCredit,ProceedsFromMinorityShareholders,ProceedsFromRepaymentsOfSecuredDebt,ProceedsFromRepurchaseOfRedeemablePreferredStock,ProceedsFromSaleAndCollectionOfNotesReceivable,ProceedsFromSaleOfRealEstate,ProceedsFromSaleOfRealEstateHeldforinvestment,ProfitLoss,PropertyManagementFeeRevenue,RealEstateAccumulatedDepreciation,RealEstateAccumulatedDepreciationDepreciationExpense,RealEstateAccumulatedDepreciationRealEstateSold,RealEstateAndAccumulatedDepreciationAmountOfEncumbrances,RealEstateAndAccumulatedDepreciationCarryingAmountOfBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationCarryingAmountOfLand,RealEstateAndAccumulatedDepreciationInitialCostOfBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationInitialCostOfLand,RealEstateCostOfRealEstateSold,RealEstateGrossAtCarryingValue,RealEstateImprovements,RealEstateInvestmentPropertyAccumulatedDepreciation,RealEstateInvestmentPropertyAtCost,RealEstateInvestmentPropertyNet,RealEstateOtherDeductions,RealEstateOwnedValuationAllowance,RealEstateTaxExpense,RecognitionOfDeferredRevenue,RedeemableNoncontrollingInterestEquityCarryingAmount,RedeemableNoncontrollingInterestEquityRedemptionValue,RedeemablePreferredStockDividends,RedemptionPremium,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RepaymentsOfDebt,RepaymentsOfFirstMortgageBond,RepaymentsOfLinesOfCredit,RepaymentsOfLongTermDebt,RepaymentsOfLongTermLinesOfCredit,RepaymentsOfSecuredDebt,RepaymentsOfUnsecuredDebt,ReplacementReserveEscrow,RestrictedCash,RestrictedCashAndCashEquivalents,RetainedEarningsAccumulatedDeficit,Revenues,SECScheduleIIIRealEstateAccumulatedDepreciationDepreciationExpense,SECScheduleIIIRealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionBuildingsAndImprovements,SECScheduleIIIRealEstateInvestmentPropertyNet,SECScheduleIIIRealEstateWritedownOrReserveAmount,SecuredDebt,SecuritiesReceivedAsCollateral,SecurityDeposit,SeniorNotes,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardPercentageOfOutstandingStockMaximum,SharePrice,SharesIssued,SharesSubjectToMandatoryRedemptionSettlementTermsAmount,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSubscriptionsReceivable,StockIssuedDuringPeriodSharesAcquisitions,StockIssuedDuringPeriodSharesDividendReinvestmentPlan,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueDividendReinvestmentPlan,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueRestrictedStockAwardGross,StockRedeemedOrCalledDuringPeriodShares,StockRedeemedOrCalledDuringPeriodValue,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,StraightLineRent,TemporaryEquityCarryingAmountAttributableToParent,TemporaryEquityCarryingAmountIncludingPortionAttributableToNoncontrollingInterests,TemporaryEquityRedemptionPricePerShare,TemporaryEquityRedemptionValue,TenantReimbursements,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInterestRateCashFlowHedgesPretaxAccumulatedOtherComprehensiveIncomeLoss,UnsecuredDebt,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WriteOffOfDeferredDebtIssuanceCost,y
0,857322,21868000.0,0.0,17951000.0,300000.0,0.0,5700000.0,15441289.0,9500000.0,1712.0,1470668.0,981000.0,61604.0,-11542.0,943110.0,25152.0,351573.0,1226600.0,0.0,219674.0,110141076.0,7221000.0,7871500.0,5422086.0,-0.77,54315000.0,-2008456.0,-4681716.0,13824335.0,4100000.0,750100000.0,6908000.0,548714000.0,5277000.0,23949000.0,160550000.0,211000.0,160550000.0,0.0,0.0,201000.0,186272.0,120333000.0,-26610000.0,0.0,250000.0,2204000.0,0.0,0.0019,0.44,0.001,700000000.0,100.0,1000.0,1100000.0,-3935000.0,-3092000.0,-3809088.0,4000000.0,0.0,7000.0,10380000.0,0.0,23530000.0,0.0375,0.0225,194360005.0,7100000.0,12089000.0,-810000.0,452283.0,0.0609,8835599.0,9806634.0,30475789.0,13833000.0,967051.0,2900000.0,671995.0,750000.0,569346.0,920919.0,-3101000.0,0.0,3100000.0,0.0,3101000.0,425000000.0,0.0,3.0,344000.0,1450000.0,2041000.0,813000.0,170000.0,4189000.0,1065000.0,38000.0,90663000.0,5254000.0,1146000.0,83840.0,13020.0,248092.0,0.0,459521.0,1480570.0,0.0,-1.79,0.0018,0.0,0.0,0.0,0.0,0.07,0.0,1725856.0,-19314.0,13813000.0,0.0,683769.0,1000.0,0.0,0.0,0.0,0.0,0.0,-177000.0,459521.0,1033745.0,13423000.0,-1228000.0,206770.0,1022526.0,58612000.0,-125692.0,457022.0,3159445.0,0.0,40000.0,1223889.0,11212.0,1030521.0,45692000.0,6048000.0,-6500000.0,35634492.0,4647.0,6594880.0,72996263.0,110141076.0,6925000.0,0.77,100000.0,105600000.0,21970000.0,150000000.0,115000000.0,0.0,95428947.0,22309407.0,11361218.0,38564152.0,1576752.0,97363643.0,1396049.0,19632000.0,2000000.0,100000.0,75000000.0,17678748.0,732181.0,133079.0,20200000.0,1.0,23842505.0,7.0,127774.0,-18825278.0,58498.0,-246515.0,-1989071.0,-27756000.0,0.0,-34156119.0,4239000.0,0.0,0.0,7788990.0,2.0,8.0,20.0,4.0,21.0,46.0,1.0,1.0,18.0,700000.0,870807.0,4968163.0,-643706.0,222866077.0,10944174.0,23288221.0,22890763.0,22595902.0,22128564.0,121018453.0,23969222.0,20000.0,2507487.0,2009000.0,100000.0,18168000.0,448483.0,0.0,0.0,0.0,279000.0,68442.0,447337.0,15195.0,300000.0,0.0,850000.0,0.0,0.0,600000.0,112500.0,0.0,113473.0,0.0,70820.0,0.0,601909.0,1123150.0,0.0,0.0,0.0,1440000.0,0.0,7529000.0,18825278.0,1568275.0,1000000.0,0.001,0.0,0.0,200000000.0,0.0,0.0,448483.0,15000.0,0.0,7656051.0,78000.0,95200000.0,929532.0,0.0,0.0,0.0,0.0,0.0,16900000.0,282000000.0,7788990.0,0.0,0.0,0.0,47000000.0,0.0,-2235586.0,377078.0,920919.0,2941676.0,0.0,363863000.0,2542631000.0,355443000.0,2449128000.0,355443000.0,0.0,54407524.0,452615.0,3862595.0,106896144.0,103033549.0,0.0,300000.0,213878.0,0.0,7700000.0,10500000.0,0.0,17001000.0,200000.0,10463217.0,0.0,0.0,300000000.0,173000000.0,114561.0,0.0,500000.0,0.0,1658070.0,-1236878.0,2732577.0,5608669.0,93503000.0,3000000000.0,0.0,26129231.0,0.0,30000.0,0.0,0.0,10000000.0,0.0,0.1,10.0,9001105.0,0.0,13509517.0,201000.0,13500000.0,41764968.0,585533.0,9330199.0,0.0,8994.0,2522187.0,102800.0,0.0,100000.0,12000.0,39250.0,465225.0,92058000.0,4900000.0,9.38,170810.0,213878.0,-23000.0,-6560000.0,0.0,0.0,919833.0,300000.0,0
1,857322,21868000.0,0.0,17951000.0,,-423000.0,5700000.0,15441289.0,19700000.0,,4210717.0,305000.0,-41798.0,,2086995.0,81493.0,366230.0,957900.0,0.0,219544.0,110141076.0,13580000.0,7871500.0,6908270.0,-0.03,160550000.0,-76789.0,-165493.0,6924892.0,1100000.0,1100000000.0,6908270.0,697576000.0,-5192000.0,94970000.0,849025000.0,1800000.0,,0.0,0.0,387272.0,1954896.0,93723000.0,-36861000.0,0.0,250000.0,2696000.0,0.0,0.0019,0.34,0.001,700000000.0,100.0,18438.0,1100000.0,-24664000.0,1834000.0,-411330.0,4000000.0,0.0,35650000.0,7788990.0,25128.0,17786000.0,0.0375,0.0225,218775180.0,7100000.0,12089000.0,-810000.0,452283.0,0.0609,8835599.0,18095906.0,47282844.0,13554000.0,967051.0,2900000.0,671995.0,750000.0,809526.0,1175756.0,-3101000.0,21000.0,,0.0,0.0,425000000.0,0.0,3.0,585000.0,847000.0,283000.0,813000.0,25000.0,464000.0,63000.0,1801000.0,24624000.0,527000.0,245000.0,1361323.0,35926.0,248092.0,19685000.0,459521.0,1480570.0,3000000.0,-0.55,0.0018,0.0,0.0,10105000.0,0.0,0.0625,0.0,1725856.0,7374.0,0.0,0.0,413428.0,1000.0,0.0,0.0,0.0,0.0,0.0,-1358000.0,,-320388.0,-10106000.0,0.0,198971.0,-315619.0,13652000.0,-419873.0,-8539.0,-447337.0,5000.0,,1223258.0,2804.0,939124.0,48253000.0,7606000.0,-9400000.0,77096442.0,1153.0,11703796.0,72996263.0,110141076.0,14855000.0,0.82,100000.0,300000000.0,35000000.0,,35000000.0,275430000.0,95428947.0,22309407.0,338635.0,38564152.0,1576752.0,97363643.0,1396049.0,,,,,18577800.0,1162169.0,,-10380000.0,1.0,45343000.0,7.0,21785347.0,-26644607.0,-1005173.0,-291926.0,-1197495.0,-19775000.0,0.0,-5422086.0,,0.0,0.0,8334571.0,,8.0,,11.0,18.0,53.0,1.0,1.0,18.0,700000.0,870807.0,4243634.0,1165025.0,217400484.0,5478581.0,23288221.0,22890763.0,22595902.0,22128564.0,121018453.0,21924998.0,10000.0,2518487.0,13729000.0,,24216000.0,448483.0,0.0,0.0,0.0,86000.0,69364.0,447337.0,,2500000.0,75000.0,-250000.0,0.0,-3361000.0,400000.0,,0.0,,0.0,119770.0,0.0,673409.0,139500.0,0.0,254525000.0,0.0,68424000.0,0.0,0.0,26644607.0,2135649.0,1000000.0,0.001,250000000.0,0.0,200000000.0,0.0,0.0,451414.0,,375000000.0,,1815000.0,5000000.0,6454319.0,0.0,,0.0,0.0,0.0,21970000.0,151000000.0,0.0,0.0,0.0,0.0,47000000.0,0.0,-1489421.0,466759.0,3862595.0,5608669.0,0.0,345934000.0,2649832000.0,374557000.0,2538787000.0,374557000.0,0.0,106896144.0,0.0,3862595.0,106896144.0,,4398000.0,200000.0,232922.0,0.0,12543000.0,18100000.0,0.0,,300000.0,25400000.0,0.0,282000000.0,139344000.0,173000000.0,167412.0,195500000.0,500000.0,0.0,1658070.0,-1236878.0,2754213.0,9427000.0,111045000.0,,0.0,26129231.0,0.0,30000.0,640000000.0,0.0,10000000.0,0.0,0.1,10.0,,18129000.0,13509517.0,18269931.0,,,,11699955.0,433490000.0,33904.0,32268457.0,102800.0,0.0,200000.0,4000.0,112500.0,351874.0,92058000.0,4900000.0,9.81,170810.0,232922.0,-2000.0,-24100000.0,0.0,0.0,2599601.0,300000.0,0
2,857322,21115000.0,0.0,15863000.0,,-423000.0,,15441289.0,10200000.0,,1192014.0,154000.0,-211735.0,-33013.0,3358900.0,156099.0,675025.0,,0.0,116714.0,110141076.0,14006000.0,7871500.0,,-0.66,39000000.0,-2004707.0,-4362768.0,20741234.0,681555.0,2800000.0,198000000.0,,,115777000.0,735795000.0,,213900100.0,0.0,0.0,,1462238.0,,,,250000.0,3423000.0,0.0,0.0019,0.17,0.001,700000000.0,100.0,18438.0,1100000.0,-24346000.0,14123000.0,-3737777.0,4000000.0,,35650000.0,7788990.0,,5921000.0,0.0275,0.02,324836971.0,,10555000.0,-1680000.0,452283.0,0.0609,13335689.0,18095906.0,59497574.0,14139000.0,967051.0,2900000.0,671995.0,750000.0,1325638.0,623948.0,-3101000.0,,,14664000.0,,425000000.0,,3.0,483000.0,848000.0,447000.0,,36000.0,428000.0,397000.0,1156000.0,17955000.0,825000.0,86000.0,458682.0,48839.0,248092.0,,459521.0,1480570.0,24513000.0,-0.38,0.0018,0.0,1566917.0,10105000.0,0.0,,0.0,1725856.0,20627.0,,,139662.0,1000.0,229948000.0,0.0,0.0,0.0,0.0,-392000.0,,-493112.0,0.0,0.0,324907.0,-82872.0,23622000.0,-236339.0,,-447337.0,0.0,,658868.0,798.0,1842449.0,50736000.0,7606000.0,-9100000.0,77096442.0,,11703796.0,72996263.0,110141076.0,505000.0,0.82,,0.0,35000000.0,,25000000.0,268307000.0,95428947.0,21553148.0,1396049.0,756261.0,38564152.0,1576752.0,130513643.0,,,,,,1568275.0,44847.0,10380000.0,1.0,45343000.0,7.0,29208472.0,-38754607.0,-1101627.0,-276227.0,-865207.0,,19878000.0,5422086.0,,41114000.0,7951000.0,8334571.0,,13.0,,11.0,42.0,,1.0,1.0,19.0,700000.0,870807.0,2620918.0,,273394080.0,28236196.0,29442780.0,29514565.0,29077143.0,28742714.0,128380682.0,11514964.0,30000.0,1343604.0,6793000.0,200000.0,18274000.0,212144.0,,0.0,,106000.0,37282.0,0.0,,,0.0,2500000.0,3138000.0,21542000.0,,,0.0,113473.0,,243161.0,,1123150.0,692800.0,,0.0,0.0,68424000.0,0.0,0.0,38754607.0,,1000000.0,0.001,250000000.0,,200000000.0,0.0,0.0,1301414.0,,0.0,,1938000.0,191500000.0,9611088.0,0.0,105600000.0,0.0,0.0,0.0,42871500.0,0.0,8095303.0,0.0,,0.0,47000000.0,,-1141434.0,,,9426785.0,,672626000.0,2527307000.0,342021000.0,2405910000.0,342021000.0,,,255000.0,3862595.0,106896144.0,103033549.0,,,135082.0,,23016000.0,18100000.0,,,300000.0,36100000.0,6370000.0,0.0,0.0,0.0,279520.0,300000000.0,500000.0,154900000.0,1658070.0,-1236878.0,1479484.0,9426785.0,121397000.0,,,26129231.0,0.0,30000.0,634922000.0,0.0,10000000.0,0.0,0.1,10.0,,18129000.0,13509517.0,,,,,16686743.0,433490000.0,82028.0,15742844.0,106000.0,12000.0,700000.0,,,581782.0,92058000.0,56421000.0,9.78,170810.0,135082.0,-5000.0,-17312000.0,0.0,0.0,2997534.0,300000.0,0
