,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsReceivableGross,AccountsReceivableNet,AccumulatedAmortizationDeferredFinanceCosts,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,AdjustmentsToAdditionalPaidInCapitalStockIssuedIssuanceCosts,AllowanceForDoubtfulAccountsReceivable,AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,AllowanceForDoubtfulAccountsReceivableWriteOffs,AmortizationOfAboveAndBelowMarketLeases,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCosts,AmortizationOfIntangibleAssets,AreaOfRealEstateProperty,AssetManagementFees1,Assets,BusinessCombinationAcquisitionRelatedCosts,CapitalExpendituresIncurredButNotYetPaid,Cash,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashPeriodIncreaseDecrease,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,CostOfGoodsAndServicesSold,CostOfRealEstateRevenue,CostOfRevenue,CostsAndExpenses,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentCarryingAmount,DebtInstrumentInterestRateEffectivePercentage,DebtIssuanceCostsIncurredDuringNoncashOrPartialNoncashTransaction,DebtWeightedAverageInterestRate,DeferredCostsLeasingAccumulatedAmortization,DeferredCostsLeasingNet,DeferredFederalIncomeTaxExpenseBenefit,DeferredFinanceCostsNet,DeferredIncomeTaxExpenseBenefit,DeferredRentReceivablesNet,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsTaxDeferredExpenseOther,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DividendsCommonStock,DividendsCommonStockCash,DividendsPayableCurrentAndNoncurrent,DueToAffiliateCurrentAndNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarnestMoneyDeposits,EarningsPerShareBasicAndDiluted,EquityMethodInvestmentDividendsOrDistributions,EquityMethodInvestments,FinancingReceivableAllowanceForCreditLosses,FinancingReceivableAllowanceForCreditLossesPeriodIncreaseDecrease,FinancingReceivableAllowanceForCreditLossesWriteOffs,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,ForeignCurrencyTransactionGainLossUnrealized,GainLossOnInterestRateDerivativeInstrumentsNotDesignatedAsHedgingInstruments,GainsLossesOnSalesOfInvestmentRealEstate,GeneralAndAdministrativeExpense,HealthCareOrganizationResidentServiceRevenue,ImpairmentOfRealEstate,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsAndOtherReceivables,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInOtherFinancialInstrumentsUsedInOperatingActivities,IncreaseDecreaseInOtherOperatingLiabilities,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestrictedCash,IntangibleAssetsNetExcludingGoodwill,InterestAndOtherIncome,InterestExpense,InterestPaid,InterestPaidNet,InvestmentIncomeInterest,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,LessorOperatingLeasePaymentsToBeReceived,LessorOperatingLeasePaymentsToBeReceivedFiveYears,LessorOperatingLeasePaymentsToBeReceivedFourYears,LessorOperatingLeasePaymentsToBeReceivedNextTwelveMonths,LessorOperatingLeasePaymentsToBeReceivedRemainderOfFiscalYear,LessorOperatingLeasePaymentsToBeReceivedThereafter,LessorOperatingLeasePaymentsToBeReceivedThreeYears,LessorOperatingLeasePaymentsToBeReceivedTwoYears,Liabilities,LiabilitiesAndStockholdersEquity,LimitedLiabilityCompanyLLCOrLimitedPartnershipLPManagingMemberOrGeneralPartnerOwnershipInterest,LimitedLiabilityCompanyLLCOrLimitedPartnershipLPMembersOrLimitedPartnersOwnershipInterest,LineOfCredit,LineOfCreditFacilityFairValueOfAmountOutstanding,LineOfCreditFacilityMaximumBorrowingCapacity,LineOfCreditFacilityRemainingBorrowingCapacity,LoansPayableFairValueDisclosure,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,LongTermLineOfCredit,MinorityInterest,MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,MinorityInterestOwnershipPercentageByNoncontrollingOwners,MinorityInterestOwnershipPercentageByParent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAttributableToRedeemableNoncontrollingInterest,NoncashOrPartNoncashAcquisitionDebtAssumed1,NoncashOrPartNoncashAcquisitionOtherAssetsAcquired1,NoncashOrPartNoncashAcquisitionOtherLiabilitiesAssumed1,NoncashOrPartNoncashAcquisitionPayablesAssumed1,NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance,NumberOfReportableSegments149,NumberOfReportableSegments150,NumberOfReportableSegments,NumberOfStatesInWhichEntityOperates152,NumberOfStatesInWhichEntityOperates153,OffMarketLeaseUnfavorable,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeaseLeaseIncome,OperatingLeaseLiability,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsReceivable,OperatingLeasesFutureMinimumPaymentsReceivableCurrent,OperatingLeasesFutureMinimumPaymentsReceivableInFiveYears,OperatingLeasesFutureMinimumPaymentsReceivableInFourYears,OperatingLeasesFutureMinimumPaymentsReceivableInThreeYears,OperatingLeasesFutureMinimumPaymentsReceivableInTwoYears,OperatingLeasesFutureMinimumPaymentsReceivableThereafter,OperatingLeasesIncomeStatementLeaseRevenue,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OtherAssets,OtherExpenses,OtherLiabilities,OtherNonoperatingIncomeExpense,OwnedPropertyManagementCosts,ParticipatingSecuritiesDistributedAndUndistributedEarningsLossBasic,PaymentsForCapitalImprovements,PaymentsForProceedsFromDepositsOnRealEstateAcquisitions,PaymentsForRepurchaseOfCommonStock,PaymentsOfDividendsCommonStock,PaymentsOfFinancingCosts,PaymentsOfStockIssuanceCosts,PaymentsToAcquireAndDevelopRealEstate,PaymentsToAcquireEquityMethodInvestments,PaymentsToAcquireOtherPropertyPlantAndEquipment,PaymentsToAcquireRealEstate,PaymentsToMinorityShareholders,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrentAndNoncurrent,ProceedsFromDivestitureOfInterestInJointVenture,ProceedsFromEquityMethodInvestmentDividendsOrDistributionsReturnOfCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfCommonStockDividendReinvestmentPlan,ProceedsFromLinesOfCredit,ProceedsFromMinorityShareholders,ProceedsFromSaleOfRealEstateHeldforinvestment,ProfitLoss,ProvisionForDoubtfulAccounts,RealEstateAccumulatedDepreciation,RealEstateAccumulatedDepreciationOtherAdditions,RealEstateAccumulatedDepreciationOtherDeductions,RealEstateAndAccumulatedDepreciationAmountOfEncumbrances,RealEstateAndAccumulatedDepreciationCarryingAmountOfBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationCarryingAmountOfLand,RealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionImprovements,RealEstateAndAccumulatedDepreciationInitialCostOfBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationInitialCostOfLand,RealEstateFederalIncomeTaxBasis,RealEstateGrossAtCarryingValue,RealEstateImprovements,RealEstateInvestmentPropertyAccumulatedDepreciation,RealEstateInvestmentPropertyAtCost,RealEstateInvestmentPropertyNet,RealEstateOtherAcquisitions,RealEstateOtherDeductions,RealEstateRevenueNet,RedeemableNoncontrollingInterestEquityFairValue,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RepaymentsOfLinesOfCredit,RepaymentsOfNotesPayable,RepaymentsOfSecuredDebt,RestrictedCash,RestrictedCashAndCashEquivalents,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SalesRevenueNet,SecuredDebt,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriodWeightedAverageGrantDateFairValue,SharesIssued,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteStockSplitConversionRatio1,StockIssued1,StockIssuedDuringPeriodSharesDividendReinvestmentPlan,StockIssuedDuringPeriodSharesReverseStockSplits,StockIssuedDuringPeriodSharesStockSplits,StockIssuedDuringPeriodValueDividendReinvestmentPlan,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,StraightLineRentAdjustments,UnitsOfPartnershipInterestAmount,ValuationAllowanceDeferredTaxAssetChangeInAmount,VariableLeaseCost,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,AccretionAmortizationOfDiscountsAndPremiumsInvestments,AccruedInsuranceCurrentAndNoncurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AllocatedShareBasedCompensationExpense,AmortizationOfDeferredLoanOriginationFeesNet,AssetImpairmentCharges,BusinessAcquisitionCostOfAcquiredEntityTransactionCosts,BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,CashAcquiredFromAcquisition,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,CurrentForeignTaxExpenseBenefit,DebtInstrumentPeriodicPaymentPrincipal,DeferredIncomeTaxLiabilitiesNet,DeferredTaxAssetsEquityMethodInvestments,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxLiabilities,DeferredTaxLiabilitiesOther,EarningsPerShareBasic,EarningsPerShareDiluted,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,FinanceLeaseInterestExpense,FinanceLeaseInterestPaymentOnLiability,FinanceLeaseLiability,FinanceLeaseLiabilityPaymentsDue,FinanceLeaseLiabilityPaymentsDueAfterYearFive,FinanceLeaseLiabilityPaymentsDueNextTwelveMonths,FinanceLeaseLiabilityPaymentsDueYearFive,FinanceLeaseLiabilityPaymentsDueYearFour,FinanceLeaseLiabilityPaymentsDueYearThree,FinanceLeaseLiabilityPaymentsDueYearTwo,FinanceLeaseLiabilityUndiscountedExcessAmount,FinanceLeasePrincipalPayments,FinanceLeaseRightOfUseAssetAmortization,FinanceLeaseWeightedAverageDiscountRatePercent,ForeignCurrencyTransactionGainLossBeforeTax,GainsLossesOnExtinguishmentOfDebt,Goodwill,HeldToMaturitySecurities,HeldToMaturitySecuritiesFairValue,ImpairmentOfLongLivedAssetsToBeDisposedOf,IncentiveToLessee,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncreaseDecreaseInOperatingLeaseLiability,IncreaseDecreaseInOtherOperatingAssets,InventoryNet,LeaseCost,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,OperatingLeaseVariableLeaseIncome,OtherAssetImpairmentCharges,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherNoncashIncomeExpense,PartnersCapitalAccountSaleOfUnits,PaymentsForRepurchaseOfRedeemableNoncontrollingInterest,PaymentsOfDebtExtinguishmentCosts,PaymentsOfDividendsMinorityInterest,PreferredStockDividendRatePercentage,PreferredStockSharesSubscribedButUnissuedValue,ProceedsFromCollectionOfNotesReceivable,ProceedsFromSecuredNotesPayable,SECScheduleIIIRealEstateAccumulatedDepreciationDepreciationExpense,SubleaseIncome,TaxesPayableCurrentAndNoncurrent,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic,WriteOffOfDeferredDebtIssuanceCost,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedEquipment,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedNoncurrentLiabilitiesLongTermDebt,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedPremium,FinanceLeaseLiabilityPaymentsRemainderOfFiscalYear,NoncontrollingInterestIncreaseFromBusinessCombination,AssetAcquisitionConsiderationTransferred,GainLossOnSaleOfProperties,PaymentsToAcquireLand,ProceedsFromSaleOfBuildings,BusinessCombinationStepAcquisitionEquityInterestInAcquireeRemeasurementGain,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireNotesReceivable,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognizedShareBasedAwardsOtherThanOptions,FinanceLeaseLiabilityNoncurrent,GoodwillAcquiredDuringPeriod,GoodwillImpairmentLoss,MinorityInterestChangeInRedemptionValue,MinorityInterestDecreaseFromRedemptions,PaymentsToAcquireAdditionalInterestInSubsidiaries,PaymentsToAcquireBusinessesGross,PaymentsToAcquireProductiveAssets,y
0,0,0.0,1299000.0,27000.0,199800.0,32000.0,3766000.0,0.0,124000.0,0.0,60000.0,0.0,0.0,0.0,19000.0,0.0,202000.0,0.0,0.0,0.0,202000.0,0.0,202000.0,202000.0,0.0,0.01,1000000000.0,20833.0,20833.0,1506000.0,0.0,0.0,0.0,898000.0,0.0,0.0,0.0,0.0,0.0525,0.0,0.0227,64000.0,0.0,-740000.0,0.0,0.0,0.0,-153000.0,0.0,129000.0,-41000.0,476000.0,0.0,0.0,0.0,-5770000.0,88000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902000.0,1187000.0,13000.0,0.0,11920000.0,48000.0,48000.0,96000.0,97000.0,97000.0,0.0,19673000.0,0.0,0.0,0.0,0.0,0.0,0.0,-5474000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2052000.0,0.0,24560000.0,23077000.0,523000.0,307000.0,307000.0,307000.0,307000.0,255000.0,19201000.0,538606000.0,44397000.0,48249000.0,52764000.0,16049000.0,290103000.0,50886000.0,52207000.0,0,202000.0,0.99,0.01,12000000.0,12007000.0,100000000.0,88000000.0,4102000.0,2780000.0,622000.0,299000.0,284000.0,269000.0,255000.0,62000.0,0.0,0.0,7272000.0,0.01,0.99,202000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1.0,1.0,3.0,1.0,4.0,0.0,437000.0,0.0,127000.0,11499000.0,27770000.0,0.0,51000.0,0.0,2919000.0,32000.0,33000.0,33000.0,33000.0,32000.0,2756000.0,89423000.0,11078000.0,10190000.0,10627000.0,11174000.0,11095000.0,35259000.0,0.0,0.0568,2983000.0,0.0,0.0,0.0,-79725000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355070000.0,0.0,4257000.0,0.0,0.0,0.01,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,796000.0,0.0,2000.0,1227000.0,0.0,0.0,0.0,0.0,0.0,3908000.0,106442000.0,12322000.0,23000.0,106419000.0,12322000.0,142115000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19000.0,0.0,0.0,0.0,0,0.0,0.0,3552000.0,0.0,0.0,0.0,0.0,0.0,15000.0,10.0,0.0,0.0,3000.0,10.0,20833.0,200000.0,0.0,0.4,0.0,0.0,8889.0,20833.0,0.0,200000.0,30000.0,350418.0,-69000.0,0.0,89.0,893000.0,6708000.0,20833.0,2987000.0,36251000.0,-2008000.0,2698000.0,215000.0,143000.0,0.0,12873000.0,-681000.0,0.0,-4660000.0,4113000.0,-547000.0,605000.0,71990000.0,19708000.0,2357000.0,6541000.0,0.0,2868000.0,-0.03,-0.03,145000.0,391000.0,390000.0,148000.0,169000.0,0.0,55000.0,0.0,31000.0,34000.0,49000.0,21000.0,3076000.0,2001000.0,0.0733,1730000.0,-2968000.0,75309000.0,75851000.0,94033000.0,0.0,3509000.0,1193000.0,-521000.0,-22114000.0,6537000.0,24669000.0,32366000.0,0.0,18452000.0,0.0,305000.0,305000.0,0.0,112283000.0,150000.0,870000.0,7272000.0,0.125,125000.0,28650000.0,191246000.0,90914000.0,0.0,14521000.0,181931306.0,181931306.0,230000.0,588000.0,1558000.0,56000.0,12339000.0,397000.0,51000.0,0.0,57818000.0,346000.0,320000.0,3000000.0,0.0,0.0,0.0,7233000.0,15504000.0,134589000.0,0.0,7380000.0,-1003000.0,0.0,0.0,0.0,0
1,0,0.0,1299000.0,112000.0,200000.0,,,0.0,1790000.0,67000.0,,3000.0,,,211000.0,0.0,202000.0,,0.0,0.0,202000.0,202000.0,2035000.0,202000.0,,0.01,1000000000.0,20833.0,20833.0,32000.0,200.0,0.0,,4893000.0,0.0,0.0,0.0,,,0.0,0.043,64000.0,0.0,,0.0,8000.0,0.0,,,,,,,,0.0,10705000.0,,0.0,0.0,0.0,0.0,0.0,0.0,47600000.0,902000.0,1406000.0,332000.0,3082000.0,11920000.0,226000.0,852000.0,902000.0,902000.0,902000.0,386000.0,118919000.0,0.0,0.0,0.0,0.0,0.0,0.0,1290000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,3010000.0,,41827000.0,39470000.0,523000.0,514000.0,514000.0,514000.0,514000.0,301000.0,32898000.0,538606000.0,44397000.0,48249000.0,52764000.0,48945000.0,290103000.0,50886000.0,52207000.0,0,202000.0,0.99,0.01,33900000.0,33899000.0,100000000.0,66100000.0,4131000.0,2492000.0,607000.0,314000.0,298000.0,282000.0,268000.0,254000.0,0.0,0.0,32000.0,0.01,0.99,202000.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2000.0,1.0,2.0,4.0,,4.0,0.0,,,,3981000.0,32529000.0,0.0,,0.0,12449000.0,245000.0,246000.0,246000.0,246000.0,246000.0,11220000.0,320736000.0,33200000.0,30652000.0,32653000.0,33585000.0,34182000.0,156464000.0,,0.0573,,0.0,,0.0,-12437000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,18653000.0,0.0,1615000.0,0.0,0.0,0.01,200000000.0,0.0,0.0,0.0,257000.0,0.0,0.0,0.0,200000.0,796000.0,0.0,2000.0,0.0,0.0,0.0,,,,11634000.0,376348000.0,52202000.0,2648000.0,373700000.0,52202000.0,465764000.0,,,0.0,0.0,0.0,,,,0.0,0.0,,60000.0,0.0,,0.0,0,0.0,3000.0,4489000.0,3156000.0,0.0,0.0,0.0,0.0,15000.0,10.0,0.0,0.0,3000.0,10.0,20833.0,200000.0,0.0,2.3437,0.0,,,,,200000.0,,1356839.0,178000.0,0.0,208.0,,3683000.0,20833.0,3304000.0,36440000.0,-1966000.0,-1188000.0,155000.0,170000.0,0.0,13987000.0,0.0,0.0,2410000.0,6700000.0,9110000.0,612000.0,3480000.0,21156000.0,2611000.0,7375000.0,0.0,2467000.0,0.01,0.01,-90000.0,609000.0,609000.0,191000.0,218000.0,0.0,61000.0,0.0,0.0,31000.0,75000.0,27000.0,1235000.0,1891000.0,0.0562,1469000.0,0.0,,79315000.0,93920000.0,0.0,3158000.0,6171000.0,-386000.0,-23790000.0,7357000.0,18929000.0,34941000.0,0.0,,0.0,247000.0,247000.0,0.0,,166000.0,0.0,5463000.0,0.125,125000.0,0.0,92399000.0,91617000.0,0.0,22102000.0,179916841.0,179916841.0,3161000.0,,,,12339000.0,397000.0,34000.0,,57818000.0,346000.0,320000.0,3000000.0,0.0,0.0,0.0,6888000.0,,1827000.0,0.0,15773000.0,,0.0,,,0
2,0,0.0,1299000.0,112000.0,200000.0,22000.0,7584000.0,0.0,,0.0,,,,0.0,623000.0,,202000.0,0.0,0.0,0.0,202000.0,,,202000.0,0.0,0.01,1000000000.0,20833.0,20833.0,45000.0,0.0,,0.0,2095000.0,,,,0.0,,,0.043,138000.0,0.0,-1382000.0,970000.0,10000.0,33000.0,-286000.0,0.0,791000.0,469000.0,3744000.0,0.0,0.0,,117837000.0,598000.0,0.0,0.0,0.0,0.0,,0.0,47600000.0,1033000.0,1776000.0,346000.0,9941000.0,8647000.0,2227000.0,1633000.0,1778000.0,1995000.0,2099000.0,6866000.0,107829000.0,0.0,0.0,,,0.0,,754000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,226000.0,16000.0,6866000.0,,0.0,,5194000.0,1000.0,41733000.0,39470000.0,526000.0,514000.0,514000.0,514000.0,514000.0,207000.0,32772000.0,538606000.0,44397000.0,48249000.0,52764000.0,32752000.0,290103000.0,50886000.0,52207000.0,0,202000.0,0.99,0.01,33900000.0,33899000.0,,66100000.0,4131000.0,2492000.0,651000.0,314000.0,297000.0,282000.0,268000.0,192000.0,12000000.0,2000.0,,0.01,0.99,202000.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,2000.0,,3.0,,,3.0,248000.0,,0.0,301000.0,9309000.0,12512000.0,0.0,157000.0,0.0,13513000.0,307000.0,307000.0,307000.0,307000.0,307000.0,11978000.0,538606000.0,52764000.0,44397000.0,48249000.0,50886000.0,52207000.0,290103000.0,0.0,0.0573,7179000.0,1252000.0,,100000.0,-2786000.0,23000.0,0.0,,0.0,0.0,0.0,,0.0,66749000.0,,2216000.0,0.0,0.0,0.01,200000000.0,0.0,0.0,0.0,257000.0,226000.0,0.0,0.0,200000.0,796000.0,,2000.0,0.0,,0.0,,822000.0,0.0,,673904000.0,83084000.0,10316000.0,663592000.0,83080000.0,,,23000.0,40000.0,0.0,52956000.0,118741000.0,0.0,26000.0,0.0,,0.0,,,0.0,0.0,0,,,3552000.0,4052000.0,,0.0,0.0,0.0,15000.0,10.0,0.0,0.0,3000.0,10.0,5434073.0,200000.0,0.0,2.3437,0.0,0.0,,,0.0,200000.0,30000.0,928675.0,735000.0,,,1668000.0,10426000.0,,,36440000.0,-1966000.0,,-1187000.0,,,1895000.0,0.0,,,,,,7215000.0,,,,,,0.05,0.05,,,,178000.0,201000.0,,61000.0,,0.0,31000.0,75000.0,23000.0,,,,,,209898000.0,79315000.0,93920000.0,0.0,3158000.0,,,,,18929000.0,,,4350000.0,,,,,,8431000.0,,,0.125,125000.0,0.0,,,,22102000.0,44979210.0,44979210.0,3161000.0,,,,12339000.0,397000.0,17000.0,0.0,,,,,,13713000.0,0.0,,,44990000.0,23277000.0,,,13714000.0,,,0
