,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedSalariesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,AdjustmentForAmortization,AdjustmentsToAdditionalPaidInCapitalEquityComponentOfConvertibleDebt,AdjustmentsToAdditionalPaidInCapitalOther,AllocatedShareBasedCompensationExpense,Assets,AssetsCurrent,CashAcquiredFromAcquisition,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockValue,CostOfRevenue,DebtConversionConvertedInstrumentAmount1,DebtConversionOriginalDebtAmount1,DebtInstrumentConvertibleNumberOfEquityInstruments,DeferredCompensationArrangementWithIndividualExercisePrice,DeferredTaxAssetsGross,DeferredTaxAssetsValuationAllowance,Depreciation,DepreciationDepletionAndAmortization,DueFromRelatedPartiesCurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EmployeeRelatedLiabilitiesCurrent,ExplorationExpenseMining,GainContingencyUnrecordedAmount,GeneralAndAdministrativeExpense,GrossProfit,GuaranteeObligationsLiquidationProceeds,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDueFromRelatedParties,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherNoncurrentAssets,IncreaseDecreaseInPrepaidExpense,InducedConversionOfConvertibleDebtExpense,InterestExpense,InterestExpenseOther,InterestPayableCurrent,InventoryNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtNoncurrent,LongTermNotesPayable,LossContingencyDamagesAwardedValue,LossContingencyDamagesSoughtValue,MineralPropertiesNet,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableCurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherAssets,OtherNoncashExpense,PaidInKindInterest,PaymentsForRepurchaseOfCommonStock,PaymentsToAcquireMiningAssets,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidExpenseCurrentAndNoncurrent,PrepaidExpenseNoncurrent,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,ProfessionalFees,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,RelatedPartyTransactionDueFromToRelatedPartyCurrent,RepaymentsOfNotesPayable,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsForfeituresAndExpirationsInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,ShareBasedGoodsAndNonemployeeServicesTransactionExpense,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForNoncashConsiderations,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValuePurchaseOfAssets,StockIssuedDuringPeriodValueShareBasedCompensation,StockOptionPlanExpense,StockRepurchasedDuringPeriodValue,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,y
12,936456,,,1131849,45781931,50742.0,,,,7599609,3445040,39780.0,19521.0,,83088.0,,196295.0,113600.0,,,,,,,,,,,,,,187142,,,,,,930621.0,1289296.0,1620838.0,159695.0,488587.0,4900.0,1694075.0,91271.0,,,74199,2618655.0,18999925.0,,,4511630,7599609,4104402,,,,,,,407228.0,,,2842253,8894716.0,-3686222.0,-5181218.0,,2906605,,,,9900.0,,133335.0,63000.0,1809660.0,1916342.0,,953032.0,,8939779.0,338113.0,,,,,990233,22006.0,,338113.0,-42777040,16255.0,458576.0,,,,,,,,,,,,,548027.0,355085.0,,,,,7697.0,,,,,,0
13,936456,,,1131849,45781931,626028.0,,,,7599609,3445040,39780.0,,,83088.0,,,453600.0,,,,,737741.0,1922210.0,,,-0.16,,,,,187142,2459494.0,,3484179.0,,,-329188.0,,59583.0,14946.0,,,1457177.0,,650338.0,,74199,2618655.0,1241038.0,2363177.0,1000000.0,4511630,7599609,4104402,,,,,,,407228.0,,,2842253,928137.0,-60085.0,-840776.0,-29821550.0,2906605,29348174.0,-29171212.0,,9900.0,294000.0,,63000.0,59326.0,759.0,,700104.0,140667.0,935700.0,338113.0,,13433879.0,,,990233,32647.0,223758.0,338113.0,-42777040,,,,,,,,,,,,,,,,355085.0,7084157.0,,,,7697.0,,,3845375.0,,,0
14,936456,,,1131849,45781931,,,,,7599609,3445040,,34914.0,,,,133335.0,,,,,,,,,,,,,,,187142,,,,,,1052955.0,1043809.0,1621614.0,54802.0,2538929.0,-21100.0,1293634.0,,,,74199,2618655.0,19306123.0,,,4511630,7599609,4104402,,,,,,,407228.0,,,2842253,9572103.0,-3698557.0,-5862264.0,,2906605,,,,9900.0,,,63000.0,1821995.0,1916342.0,,447177.0,,9633421.0,338113.0,,,,,990233,32647.0,,,-42777040,259377.0,1375726.0,,,,,,,,,,,,,5469888.0,,,,,,7697.0,,,,,882810371.0,0
15,936456,,,1131849,45781931,,,,,7599609,3445040,,11282.0,66454.0,,,,,,,,,834084.0,,,,-0.16,,,,,187142,2460872.0,,3755754.0,,,,1117581.0,,,2618655.0,,,,714769.0,,74199,2618655.0,,2467821.0,1250000.0,4511630,7599609,4104402,,,,,,,407228.0,,,2842253,,,,-33715064.0,2906605,31768330.0,-31532369.0,,9900.0,,,,,,,194250.0,,,,,14598659.0,,,990233,,,,-42777040,7161.0,9392885.0,,,,,,,,,,,,,3087979.0,,3723268.0,,,,382.0,,6647570.0,3845375.0,,,0
16,927960,,,1236849,47986111,,,,,7988396,3242705,,,,111446.0,,7697.0,453600.0,,,,,,,,,,,,,,233860,,,,,,-248770.0,,50376.0,-59366.0,,-66829.0,475726.0,,,,120873,2538929.0,1894636.0,,,4714451,7988396,4566210,,,,,,,148241.0,,,2850073,2650251.0,-227143.0,-2356654.0,,3283517,,,,22797.0,294000.0,,,168778.0,58365.0,,,140667.0,2758842.0,,,,,,919789,,259758.0,338113.0,-44805193,339103.0,,,,,,,,,,,,,,3087979.0,,7476720.0,,,,,,895909.0,3845375.0,,,0
17,835542,,,1341848,50231875,,,,,7317997,2928202,,66454.0,3141.0,,,,453600.0,,,,,930425.0,,,,-0.16,,,,,273422,2461158.0,,4063491.0,,,,823244.0,,,846403.0,,,,804697.0,,140462,2538929.0,,2583868.0,1000000.0,4343039,7317997,4148038,,,,,,,195001.0,,,2850073,,,,-36068952.0,2593362,33459844.0,-33207628.0,,22795.0,1951979.0,7697.0,,,,,,140667.0,,,,14989749.0,,,816823,,36000.0,338113.0,-47368363,,4122143.0,,,,,,,,,,,,,,,,,,,,,1100061.0,,,,0
18,870670,,,1446849,51635602,,,,,6626046,2593176,,3141.0,,,,,453600.0,,,,,,,,,,,,,,277113,,,,,,,,,,,,,764723.0,,,136543,2538929.0,,,,4420472,6626046,4360972,,,,,,,59500.0,,,2851073,,,,,2466146,,,,22797.0,1951979.0,,,,,,,140667.0,,,,,,,711823,,259758.0,338113.0,-49563664,162141.0,,,,,,,,,,,,,,3087979.0,,4055830.0,,,,,,,,,,0
19,1031154,,,1534658,54440247,,,,,6252560,2574041,,3141.0,,,,7697.0,1315730.0,,,,,,,,,,,,,,282540,,,,,,,418465.0,,,,-66831.0,,,,,81197,,,,,3572056,6252560,3551961,,,,,,,20095.0,,,2851095,,,,,2157070,,,,13900.0,,203992.0,,,,,,170667.0,,,,,,,619274,,,,-52039469,,,,,,,,,,,,,,,,,,,,,,,6868631.0,,,,0
20,1031154,,,1534658,54440247,,,,,6252560,2574041,,3141.0,,,,,453600.0,,,,,96341.0,,,,-0.15,,,,,282540,286.0,,307737.0,,,-13048.0,,120808.0,-14172.0,2618655.0,,-15000.0,441297.0,89928.0,,81197,,2872931.0,116047.0,1500000.0,3572056,6252560,3551961,,,,,,,20095.0,,,2851095,3021297.0,-519504.0,-2498652.0,-2353888.0,2157070,1691514.0,-1675259.0,,13900.0,,7697.0,,337831.0,181673.0,,,30000.0,3129888.0,,,391090.0,,,619274,,36000.0,,-52039469,,9821014.0,,,,,,,,,,,,,3273945.0,,,,,,,,,,,369822883.0,0
21,1031154,,,1534658,54440247,,,,,6252560,2574041,,3141.0,,,,,453600.0,,,,,,,,,-0.01,,,,,282540,,,,,,,,,,2618655.0,,,,,,81197,,,,250000.0,3572056,6252560,3551961,,,,,,,20095.0,,,2851095,,,,,2157070,,,,13900.0,,,,,,,,170667.0,,,,,,,619274,,,,-52039469,,428129.0,,,,,,,,,,,,,2974958.0,,,,,,,,1321122.0,,,1036936339.0,0
22,1031154,,,1446849,54440247,,,,,6252560,2574041,,,,,,203992.0,453600.0,,,,,,,,,,,,,,282540,,,,,,,,,,,-61929.0,,3167104.0,,,81197,2538929.0,,,,3572056,6252560,3551961,,,,,,,20095.0,,,2851095,,,,,2157070,,,,13900.0,,223992.0,,,,,,170667.0,,,,,,,619274,,,,-52039469,339103.0,,,,,,,,,,,,,,,,7830699.0,,,,,,,,,,0
23,1041500,,,1625832,55733866,,,,,5929691,2541596,,,-3141.0,,,7697.0,,,,,,1028203.0,,,,-0.16,,,,,277929,2467734.0,,4277226.0,,,,703776.0,,,2618655.0,-66829.0,,1078105.0,943752.0,,73897,2538929.0,,2672939.0,1750000.0,3265498,5929691,3245159,,,,,,,20339.0,,,2851095,,,,-37966179.0,1749579,35204629.0,-34945252.0,,8900.0,,27697.0,,,,,,170667.0,,,,15433406.0,,,528100,,259758.0,,-53416793,359805.0,10266053.0,,,,,,,,,,,,,2205574.0,,353979.0,,,,,,,,,1191374198.0,0
24,1042461,,,1715465,56192100,,,,,5817293,2540831,,,,,,,,,,,,290462.0,,,,,,,,,279461,8240.0,,793047.0,,,1238265.0,-119468.0,1728781.0,294601.0,2618655.0,,953032.0,3416923.0,293414.0,,86477,2538929.0,20998929.0,309762.0,,3630440,5817293,3630440,,,,,,,,,,2851095,11253617.0,-4188017.0,-7065600.0,-8144629.0,1607225,5856455.0,-5774040.0,,8900.0,,224374.0,,2095985.0,2131812.0,,,,11435708.0,,,1999527.0,,,416467,,36000.0,,-54408357,,,,,,,,,,,,,,,2680504.0,,,,,,,,221061.0,,,,0
25,1070159,,,1808113,56552750,,,,,5724087,2540273,,,64735.0,,,223992.0,,,,,,,,,,,,,,,396056,,,,,,-8496.0,,46718.0,164024.0,2618655.0,-70826.0,640849.0,249819.0,,,98280,2538929.0,367111.0,,500000.0,3773839,5724087,3773839,,,,,,,,,,2851095,265741.0,-42376.0,-226506.0,,1590331,,,,8900.0,,382.0,,7820.0,34556.0,,,,301741.0,,,,,,323819,,,,-55183554,20702.0,873168.0,,,,,,,,,,,,,2680504.0,,8855057.0,,,,,,,,,411760119.0,0
