,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockParOrStatedValuePerShare,CommonStockShareSubscribedButUnissuedSubscriptionsReceivable,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscribedButUnissued,CommonStockValue,DeferredIncomeTaxExpenseBenefit,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,InterestExpense,InterestPayableCurrentAndNoncurrent,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingIncomeLoss,OperatingLossCarryforwards,OtherCostOfServices,PaymentsForRepurchaseOfCommonStock,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProfessionalFees,RelatedPartyTransactionRate,RepaymentsOfLinesOfCredit,RepaymentsOfRelatedPartyDebt,RetainedEarningsAccumulatedDeficit,ServicingFees,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueNewIssues,StockRepurchasedDuringPeriodShares,StockRepurchasedDuringPeriodValue,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,y
10,7605,,,,,,,,,,,,,,24000.0,77094.0,,,,57457.0,-57721.0,,1832.0,,,,7605,,55524.0,-55524.0,-18392.0,,-25310.0,146000.0,,,,,15177.0,,,,22962.0,,,,,,-12397.0,,,,,,,24000.0,,0
11,12397,68989.0,,,,,,0.0001,,100000000.0,5000000.0,5000000.0,,,13000.0,81886.0,0.0,-0.34,0.34,25310.0,-25574.0,,,,,,12397,,45524.0,-49576.0,,,,159000.0,,,0.0001,10000000.0,,30000.0,,,34349.0,,,,,,-39072.0,,,,,,,13000.0,,0
12,39072,68989.0,,,,,,,,100000000.0,,,,,,99345.0,,,,,,,-1493.0,,,,39072,,,,-9027.0,,-7182.0,,,,,,27309.0,,,,4640.0,,,,,,-45177.0,,,,,,,,5000000.0,0
13,45177,59773.0,,,,,,,,100000000.0,,,,,5000.0,,,,,7182.0,-7182.0,,,,,,45177,,10565.0,-10565.0,,,,,,,,,37938.0,,,,15177.0,,,,,,-45177.0,,,,,,,5000.0,,0
14,45177,62773.0,,,,,,0.0001,,,5000000.0,5000000.0,,500.0,3000.0,,0.0,-0.34,0.34,,,,4612.0,,,,45177,,,,-57721.0,,-69225.0,,,,0.0001,10000000.0,53129.0,,,,,,,,,,-45177.0,,,,,,,3000.0,5000000.0,0
15,45177,62773.0,,,,,,0.0001,,100000000.0,5000000.0,5000000.0,,500.0,4000.0,,,,,69225.0,-69489.0,,,,,,45177,,10565.0,-10565.0,-25574.0,,-37078.0,,,,0.0001,10000000.0,,,,,27309.0,,,,,,-45177.0,,,,,,,4000.0,,0
16,45177,62773.0,,,,,,0.0001,,,5000000.0,5000000.0,,500.0,,,0.0,-0.34,0.34,37078.0,-37342.0,,-1045.0,,,,45177,,,,,,,,,,0.0001,10000000.0,,,,,37938.0,,,,,,,,,,,,,,5000000.0,0
17,44132,,,,,,,,,100000000.0,,,,,,,0.0,-0.34,0.34,7605.0,-7605.0,,-5738.0,,,,44132,,,,,,,,,,,,,,,,0.0,,,,,,-39439.0,,,,,,,,,0
18,39439,77950.0,,,,,,,,100000000.0,,,,,13000.0,,,,,,,,-11177.0,,,,39439,,34349.0,-34349.0,-69489.0,,-12397.0,,,,,,,,,,,,,,,,-34000.0,,,,,,,13000.0,,0
19,34000,90082.0,,,,,,,,100000000.0,,,,,,,0.0,-0.34,0.34,12397.0,-12397.0,,-15177.0,,,,34000,,,,-37342.0,,,,,,,,,,,,,,,,,,-30000.0,,,,,,,,5000000.0,0
20,30000,100711.0,,,,,,,,100000000.0,,,,,5000.0,,,,,,,,12712.0,,,,30000,,15177.0,-15177.0,,,-4792.0,,,,,,,,,,,,,,,,-30000.0,,,,,,,5000.0,,0
21,30000,115902.0,,,,,,0.0001,,,5000000.0,5000000.0,,500.0,,,0.0,-0.34,0.34,4792.0,-4792.0,,,,,,30000,,,,-7605.0,,,,,,0.0001,10000000.0,,,,,,,,,,,-42712.0,,,,,,,,,0
22,42712,115902.0,,,,,,0.0001,,,5000000.0,5000000.0,,500.0,7000.0,,,,,,,,,,,,42712,,27309.0,-27309.0,,,-29856.0,,,,0.0001,10000000.0,,,,,,,,,,,,,,,,,,7000.0,,0
