,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DefinedBenefitPlanBenefitsPaid,DefinedContributionPlanEmployerDiscretionaryContributionAmount,DepreciationDepletionAndAmortization,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationDeductions,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherNoncashIncomeTaxExpense,OtherNonoperatingIncome,PrepaidExpenseCurrent,ProceedsFromContributedCapital,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ResearchAndDevelopmentExpense,RetainageDeposit,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,UnrecognizedTaxBenefits,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,EarningsPerShareBasic,EarningsPerShareDiluted,y
30,81523,50976.0,21560.0,115625966,,,1677,480,1192.0,221.0,3320.0,,,,,,,,,,,,,,,513.0,-0.03,,274691.0,-3446424.0,,,13453.0,-773554.0,-773554.0,2557.0,,,-18370.0,8878.0,,385.0,,,,132499,1677,,-1800.0,84967.0,76783.0,-84435.0,-78583.0,-3446424.0,3446424.0,-1504717.0,,,,,,,,,,,,1279.0,76783.0,,1197.0,3171220.0,,-115888237,,-138343.0,,,131448444.0,,,,0
31,92747,42114.0,21731.0,116133756,,,1528,502,1192.0,,,,,,,,,0.0,,,,,200960.0,,,,,0.34,,,,,,,,-308.0,,,,,,,,,,134861,1528,,,,,,,,,,,,,,,,,,,,,1279.0,,,1026.0,,,-116398538,0.0,-138343.0,,,,,,,0
32,87407,40490.0,21731.0,116600830,323556.0,1600000.0,1445,590,,163.0,1384.0,,,,,,,0.0,,,,,197272.0,,,171.0,-0.01,0.34,45226.0,-982868.0,,,6325.0,-240577.0,-240577.0,-2865.0,,,-7146.0,16.0,,-579.0,,,,127897,1445,,-1778.0,172684.0,109683.0,-171842.0,-111461.0,-982868.0,982868.0,-462216.0,,,,,,,,,,,,1279.0,109683.0,,855.0,937471.0,,-116858731,0.0,-138343.0,,,,,,,0
33,64393,40612.0,21731.0,117036345,,,3987,3303,,163.0,-2116.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,197272.0,,,,,0.34,,,,,,,,,,,,,,-879.0,,,,105005,3987,,,,,,,,,,,,,,,,,,,,,,,,684.0,,,-117268812,0.0,-138343.0,,,,,,,0
34,64393,40612.0,21731.0,117036345,1138975.0,1600000.0,3987,3303,,163.0,-1690.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,190998.0,,,684.0,-0.03,,307683.0,-4271785.0,,,-4175.0,-983296.0,-983296.0,,,,-12486.0,-1608.0,,-1179.0,,,,105005,3987,,-1690.0,272701.0,155683.0,-266997.0,-157373.0,-4271785.0,4271785.0,-887959.0,,,,,,,,,,,,700.0,155683.0,,684.0,3963418.0,,-117268812,0.0,,,,131448444.0,,,,0
35,64393,40612.0,,117036345,,,3987,3303,,163.0,-2448.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,,,0.34,,,,,,,,-4043.0,,,,,,-279.0,,,,105005,3987,,,,,,,,,,,,,,,,,,,,,400.0,,,684.0,,,-117268812,,,,,,,,,0
36,64393,40612.0,21902.0,117036345,281978.0,1600000.0,3987,3303,,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,210460.0,,,171.0,-0.01,,60427.0,-840888.0,,,2557.0,-212339.0,-212339.0,,,,-35500.0,-1486.0,,,,,,105005,3987,,1023.0,328418.0,252039.0,-325098.0,-251016.0,-840888.0,840888.0,-425743.0,,,,,,,,,,,,100.0,252039.0,,684.0,780290.0,,-117268812,0.0,-130822.0,,,131448444.0,,,,0
37,46240,17074.0,22244.0,117445374,281978.0,,1372,859,,,,,,,,,,0.0,,,,,186051.0,,,342.0,-0.01,0.34,82770.0,-1567578.0,,,308.0,173502.0,-173502.0,,,,-18153.0,-23538.0,,,,,,63314,1372,,-2444.0,40517.0,75592.0,-39133.0,-78036.0,-1567578.0,1567578.0,-1289084.0,,,,,,,,,,,,,75592.0,,513.0,1484466.0,,-117638765,0.0,-126452.0,,,,,,,0
38,78550,31329.0,22415.0,117800018,,1600000.0,766,424,846.0,,,,,,,,,0.0,,,,,168582.0,,,,,,,,,,2865.0,-385841.0,-385841.0,-13286.0,,,,,,,,,,109879,766,,,126534.0,,-128650.0,,,,,,,,,,,,,,,,,,,342.0,,,-118040580,0.0,-101018.0,,,,,,,0
39,48911,23669.0,,118220743,,,1053,882,,,,,,,,,,,,,,,,,,171.0,,,22343.0,-726690.0,,,,385841.0,,16155.0,,,14157.0,-9283.0,,,,,,72580,1053,,-2879.0,174551.0,136309.0,-176241.0,-139188.0,-726690.0,726690.0,-401125.0,,,,,,,,,,,,,136309.0,,171.0,704176.0,,-118423719,,-101018.0,,,,,,,0
40,19652,24080.0,22415.0,118609079,,,10731,10731,84.0,0.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,171814.0,,,,,,,,,,,-173502.0,,,,,,,,,,,,43732,10731,,,247068.0,228426.0,-249516.0,-230847.0,,,,,,,,,,,,,,,,,,,,,-118773529,,-101018.0,,,,,,,0
41,19652,24080.0,,118609079,233399.0,1600000.0,10731,10731,,1711.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,168582.0,,,513.0,-0.02,0.21,135988.0,-2275160.0,,,4043.0,-542306.0,-542306.0,-2869.0,,,-15482.0,-16943.0,,,,,,43732,10731,,-2421.0,,311943.0,,-314515.0,-2275160.0,2275227.0,-1613101.0,,,,,,,,,,,,,228426.0,,,2138726.0,,-118773529,,-101018.0,,,131448444.0,,,,0
42,19652,24080.0,,118609079,233399.0,,10731,10731,229.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,157831.0,,,,,,,,,,,542306.0,,,,,,,,,,,,43732,10731,,,,54217.0,,-54566.0,,,,,,,,,,,,,,,,,,,,,-118773529,,,,,,,,,0
43,19652,24080.0,,118609079,,1600000.0,10731,10731,229.0,1069.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,158702.0,,,171.0,-0.01,0.21,53218.0,-707582.0,,,1178.0,-156465.0,-156465.0,,,,-44741.0,-16532.0,,,,,,43732,10731,,-2572.0,,,,,-707582.0,707649.0,-409577.0,,,,,,,,,,,,,311943.0,,,654260.0,,-118773529,,,,,,,,,0
44,60167,29080.0,,119014431,213462.0,1600000.0,382,382,229.0,62.0,,,,,,,,,,,,,167078.0,,,684.0,-0.02,0.21,182834.0,-2892048.0,,,-12691.0,-681734.0,-681734.0,,,,40515.0,5000.0,,,,,,89247,382,,-227.0,,,,,-2892048.0,2892115.0,-859248.0,,,,,,,,,,,,,54217.0,,,2708597.0,,-119234745,,-109113.0,,,131448444.0,,,,0
45,60720,67846.0,,119400977,,,504,504,,62.0,,,,,,,,,,,,,161819.0,,,,,,182836.0,,,,,681734.0,,-2694.0,,,,,,,,,,128566,504,,2711.0,,,,,,,,,,,,,,,,,,,,,,,2708595.0,,-119660488,,-71527.0,,,,,,,0
46,68093,95037.0,,119803121,916474.0,,36087,36087,,62.0,,,,,,,,,,,,,164547.0,,,171.0,0.0,,52119.0,-624525.0,,,13286.0,-125784.0,-125784.0,,,,41068.0,43766.0,,,,,,163130,36087,,,,,,,-624525.0,624525.0,-449671.0,,,,,,,,,,,,,143734.0,,,572235.0,,-120061613,,-33001.0,,,131448444.0,,,,0
47,41941,94688.0,,120146481,,1600000.0,28929,28929,,62.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,161837.0,,,171.0,0.0,0.21,,,,,-16155.0,136617.0,-136617.0,18994.0,,,,,,,,,,136629,28929,,,,,,,,,,,,,,,,,,,,,,,,,,,-120385630,,-33001.0,,,,,,,0
48,41941,94688.0,,120146481,215926.0,,28929,28929,,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,,,,24617.0,-510301.0,,,,125784.0,,,,,48441.0,70957.0,,,,,,136629,28929,,,,,,,-510301.0,510301.0,-1298886.0,,,,,,,,,,,,,216251.0,,,485513.0,,-120385630,,-33001.0,,,131448444.0,,,,0
49,41941,94688.0,,120146481,215926.0,,28929,28929,,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,342.0,-0.01,0.21,76736.0,-1134826.0,,,2869.0,262401.0,-262401.0,32321.0,,,,,,,,,,136629,28929,,,,,,,-1134826.0,1134826.0,,,,,,,,,,,,,,,,,1057748.0,,-120385630,,-33001.0,,,,,,,0
50,41941,94688.0,,120146481,215926.0,1600000.0,28929,28929,1884.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,,,,,,,,,,,,,,22289.0,70608.0,,,,,,136629,28929,,,,,,,,,-439638.0,,,,,,,,,,,,,319268.0,,,,,-120385630,,,,,,,,,0
51,65125,88330.0,,120527218,,1600000.0,16915,16915,5809.0,,,,,,,,,,,,,,,,,513.0,-0.01,,103777.0,-1595019.0,,,-175.0,392668.0,-392668.0,,,,23184.0,-6358.0,,,,,,153455,16915,,,,,,,-1595019.0,1595019.0,-1637717.0,,,,,,,,,,,,,116017.0,,,1490729.0,,-120795207,,,,,131448444.0,,,,0
52,95597,117073.0,,120946062,,,45303,45303,,594.0,,,,,,,,,,,,,,,,,,0.21,,,,,,,,31975.0,,,,,,,,,,212670,45303,,,,,,,,,,,,,,,,,,,,,,,,,,,-121244878,,-88865.0,,,,,,,0
53,98267,107395.0,,121381070,170403.0,1600000.0,33665,33665,1996.0,,,,,,,,,,,,,,,,,171.0,0.0,,27041.0,-460193.0,,,2694.0,130267.0,-130267.0,,,,53656.0,22385.0,,,,,,205662,33665,,,,,,,-460193.0,460193.0,-468314.0,,,,,,,,,,,,,242484.0,,,432981.0,,-121684516,,-88865.0,,,,,,,0
54,101065,107755.0,,121705250,170403.0,,22172,22172,,904.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,,-0.02,,,,,,,,,-346.0,,,,,,,,,,208820,22172,,,,,,,,,,,,,,,,,,,,,,,,,,,-122023347,,-128062.0,,,,,,,0
55,101065,107755.0,,121705250,,1600000.0,22172,22172,2280.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,684.0,,0.21,157071.0,-2005100.0,,,-23128.0,511604.0,-511604.0,,,,56326.0,12707.0,,,,,,208820,22172,,,,,,,-2005100.0,2005100.0,-878534.0,,,,,,,,,,,,,371601.0,,,1847345.0,,-122023347,,-128062.0,,,131448444.0,,,,0
56,101065,107755.0,,121705250,,,22172,22172,2280.0,5766.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,,0.0,,,,,,,,,6056.0,,,,,,,,,,208820,22172,,,,,,,,,,,,,,,,,,,,,,,,,,,-122023347,,-127043.0,,,,,,,0
57,101065,107755.0,,121705250,197940.0,1600000.0,22172,22172,2280.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,171.0,,,20325.0,-369953.0,,,-18994.0,156813.0,-156813.0,,,,59124.0,13067.0,,,,,,208820,22172,,,,,,,-369953.0,369953.0,-410220.0,,,,,,,,,,,,,477718.0,,,349457.0,,-122023347,,,,,131448444.0,,,,0
58,97198,115687.0,,122160186,695287.0,1600000.0,12859,12859,,3382.0,,,,,,,,,,,,,,,,342.0,,0.21,112024.0,-771768.0,,,-32321.0,301566.0,-301566.0,,,,-3867.0,7932.0,,,,,,212885,12859,,,,,,,-771768.0,771768.0,-1350227.0,,,,,,,,,,,,,138217.0,,,659402.0,,-122491661,,-107700.0,,,131448444.0,,,,0
59,92917,135640.0,,122587968,,,46093,46093,,3382.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,6474.0,,,,,,,,,,228557,46093,,,,,,,,,,,,,,,,,,,,,,,,,,,-122901881,,-107700.0,,,,,,,0
60,94019,121921.0,,123058741,151334.0,1600000.0,32556,32556,,3382.0,,,,,,,,,,,,,,,,171.0,,0.21,91699.0,-401815.0,,,-13327.0,144753.0,-144753.0,,,,-8148.0,27885.0,,,,,,215940,32556,,,,,,,-401815.0,401815.0,-471693.0,,,,,,,,,,,,,282284.0,,,309945.0,,-123373574,,-107700.0,,,,,,,0
61,60805,111635.0,,123373793,151334.0,,19853,19853,,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,,-0.01,,,,,,,,,13502.0,,,,,,,,,,172440,19853,,,,,,,,,,,,,,,,,,,,,,,,,,,-123657829,,,,,,,,,0
62,60805,111635.0,,123373793,151334.0,1600000.0,19853,19853,,4766.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,513.0,,0.21,147025.0,-1154907.0,,,-31975.0,437949.0,-437949.0,,,,-7046.0,14166.0,,,,,,172440,19853,,,,,,,-1154907.0,1154907.0,-1634982.0,,,,,,,,,,,,,429501.0,,,1007369.0,,-123657829,,,,,131448444.0,,,,0
63,60805,111635.0,,123373793,154943.0,,19853,19853,480.0,1266.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,,0.0,,,,,,,,,972.0,,,,,,,,,,172440,19853,,,,,,,,,,,,,,,,,,,,,,,,,,,-123657829,,-136540.0,,,,,,,0
64,60805,111635.0,,123373793,154943.0,1600000.0,19853,19853,,1692.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,171.0,-0.01,,35001.0,-383139.0,,,346.0,136383.0,-136383.0,,,,-40260.0,3880.0,,,,,,172440,19853,,,,,,,-383139.0,383139.0,-457970.0,,,,,,,,,,,,,529568.0,,,347967.0,,-123657829,,-136540.0,,,,,,,0
65,141866,112698.0,,123739088,654291.0,1600000.0,9302,9302,,,,,,,,,,,,,,,,,,684.0,0.0,,179072.0,-1504717.0,,,60630.0,338541.0,-338541.0,,,,81061.0,1063.0,,,,,,254564,9302,,,,,,,-1504717.0,1504717.0,-786510.0,,,,,,,,,,,,,83317.0,,,1324961.0,,-124115799,,-167367.0,,,131448444.0,,,,0
66,86140,118208.0,,124111504,,,2962,2962,590.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-879.0,,,,,,,,,,204348,2962,,,,,,,,,,,,,,,,,,,,,,,,,,,-124444339,,-171997.0,,,,,,,0
67,21604,109570.0,,124448183,,1600000.0,2142,2142,,,,,,,131448444.0,,,,,,,,,,,0.0,-0.01,,94686.0,-461216.0,,,-6056.0,86011.0,-86011.0,,,,25335.0,6573.0,,,,,,131174,2142,,,,,,,-461216.0,462216.0,-328540.0,,,,,,,,,,,,,222334.0,,,367530.0,,-124708664,,-186648.0,,,131448444.0,,,,0
68,32512,14287.0,,124684535,,,956,956,3303.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,,,0.21,,,,,,,,-3688.0,,,,,,,,,,46799,956,,,,,,,,,,,,,,,,,,,,,,,,,,,-124861827,,-186648.0,,,,,,,0
69,32512,14287.0,,124684535,,1600000.0,956,956,3303.0,,,0.001,200000000.0,131448444.0,,131449.0,,,,,,,,,,,0.0,,195319.0,-886959.0,,,-12530.0,180442.0,-180442.0,,,,-39201.0,-2065.0,,,,,,46799,956,,,,,,,-461216.0,887959.0,-1050835.0,,,,,,,,,,,,,345551.0,,,692640.0,,-124861827,,-186648.0,,,131448444.0,,,,0
70,32512,14287.0,,124684535,,,956,956,3303.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,,,0.21,,,,,,,,-685.0,,,,,,,,,,46799,956,,,,,,,-886959.0,,,,,,,,,,,,,,,,,,,,-124861827,,-186648.0,,,,,,,0
71,32512,14287.0,,124684535,,1600000.0,956,956,3303.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,,-0.01,,100633.0,-425743.0,,,-6474.0,94431.0,-94431.0,,,,-28293.0,425.0,,,,,,46799,956,,,,,,,,425743.0,-264325.0,,,,,,,,,,,,,394268.0,,,325110.0,,-124861827,,,,,,,,,0
72,30441,32801.0,,124985428,,,2009,2009,,,,,,,,,,,,,,,,,,,0.0,,252995.0,-1288084.0,,,-13502.0,272766.0,-272766.0,,,,-2071.0,18514.0,,,,,,63242,2009,,,,,,,,1289084.0,-1301771.0,,,,,,,,,,,,,84967.0,,,1036089.0,,-125178110,,,,,131448444.0,,,,0
73,19260,10411.0,,125243548,,1600000.0,1840,1840,,,,,,,,,,,,,,,,,,,,,,,,,,,,19462.0,,,,,,,,,,29671,1840,,,,,,,-425743.0,,,,,,,,,,,,,,,,,,,,-125402828,,,,,,,,,0
74,1389,3455.0,,125541505,,,6739,6739,,,,,,,,,,,,,,,,,,,-0.01,0.21,57676.0,-401125.0,,,-972.0,92324.0,-92324.0,,,,-13252.0,-3876.0,,,,,,1389,6739,,,,,,,-1288084.0,401125.0,-316283.0,,,,,,,,,,,,,172684.0,,,343449.0,,-125667604,,,,,,,,,0
75,13925,3455.0,,125708240,,1600000.0,4661,4661,,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,,,,,,,,,,,10248.0,,,,,,,,,,3455,4661,,,,,,,,,,,,,,,,,,,,,,,,,,,-125838483,,-200026.0,,,,,,,0
76,1935,3455.0,,125708240,,,4661,4661,859.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,,0.0,,332631.0,-1612101.0,,,16579.0,343921.0,-343921.0,-9214.0,,,-31123.0,-14287.0,,,,,,3455,4661,,,,,,,-401125.0,1613101.0,-541001.0,,,,,,,,,,,,,272701.0,,,1280470.0,,-125838483,,-200026.0,,,131448444.0,,,,0
77,16650,3455.0,,125708240,,1600000.0,4661,4661,,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,,,,,,,,,,,-4947.0,,,,,,,,,,3455,4661,,,,,,,,1613701.0,,,,,,,,,,,,,,,,,,,-125838483,,-200026.0,,,,,,,0
78,12570,,,125708240,,,4661,4661,424.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,,,,,,,,,,,-0.01,0.21,128840.0,-409577.0,,,-2809.0,98346.0,-98346.0,,,,-32512.0,-10832.0,,,,,,3455,4661,,,,,,,-1612101.0,409577.0,-224718.0,,,,,,,,,,,,,328418.0,,,280737.0,,-125838483,,,,,131448444.0,,,,0
