,AccountsPayableCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredTaxAssetsGross,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsTaxCreditCarryforwardsAlternativeMinimumTax,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsValuationAllowance,DefinedBenefitPlanBenefitsPaid,DefinedContributionPlanEmployerDiscretionaryContributionAmount,DepreciationDepletionAndAmortization,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationDeductions,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationStateAndLocalIncomeTaxes,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInDepositOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLossAvailableToCommonStockholdersBasic,OperatingExpenses,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesRentExpenseNet,OperatingLossCarryforwards,OtherNoncashIncomeTaxExpense,OtherNonoperatingIncome,PrepaidExpenseCurrent,ProceedsFromContributedCapital,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ResearchAndDevelopmentExpense,RetainageDeposit,RetainedEarningsAccumulatedDeficit,Revenues,StockholdersEquity,UnrecognizedTaxBenefits,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,EarningsPerShareBasic,EarningsPerShareDiluted,y
10,10578,34949.0,19679.0,104915502,351135.0,,17204,14127,,,,,,,,,181572.0,0.0,138969.0,,42603.0,,275068.0,,,,,0.34,,,,,69202.0,,,19231.0,-60630.0,,,,,,,,154506.0,45527,17204,43732.0,,,,,,,,-2275227.0,,,,,,,,69978.0,684997.0,,,21464.0,,22415.0,3077.0,,,-105075274,0.0,,0.0,131448444.0,,131448444.0,,,0
11,52977,37449.0,19679.0,106388682,351135.0,,5542,2636,16026.0,,2402.0,,,,,,,,,,,,268743.0,,,177.0,-0.01,,75451.0,-1839980.0,0.0,,-19231.0,-520112.0,-520112.0,,,,-1687.0,-14750.0,,-11715.0,,,,90426,5542,,-3170.0,242484.0,424682.0,-242581.0,-427852.0,-1839980.0,1839980.0,,,,,,,,,,688414.0,0.0,67.0,21464.0,424682.0,,2906.0,1764352.0,,-106605015,0.0,,,131448444.0,,131448444.0,0.0,0.0,0
12,47501,41089.0,19679.0,107883768,648164.0,,3928,1192,22475.0,,,0.001,200000000.0,131448444.0,131448444.0,131449.0,198151.0,0.0,155548.0,,42603.0,,278021.0,,,,,0.34,,,,,,,,16553.0,-16579.0,,,,,,,,108337.0,88590,3928,136629.0,,,,,,,,-707649.0,,,,,,,,69974.0,681362.0,0.0,,,,,2736.0,,,-108099879,0.0,-117705.0,0.0,,,,0.0,0.0,0
13,47501,41089.0,19679.0,107883768,297029.0,1600000.0,3928,1192,,,400.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,,,,701.0,-0.05,,231442.0,-7157662.0,0.0,,51160.0,-2209594.0,-2209594.0,,,,40712.0,-12250.0,,23521.0,,,,88590,3928,,-14661.0,371601.0,523682.0,-371621.0,-538343.0,-7157662.0,7157662.0,,,,,,,,,,655757.0,0.0,,9749.0,523682.0,,2736.0,6925519.0,,-108099879,,-28323.0,,131448444.0,131448444.0,131448444.0,,,0
14,47501,41089.0,,107883768,977791.0,,3928,1192,16134.0,206.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,190998.0,0.0,148395.0,,42603.0,,275464.0,,,,,0.34,,,0.0,,,,,31017.0,7153.0,,,,,,,,111828.0,88590,3928,208820.0,,,,,,,,-2892115.0,,,,,,,,69781.0,616510.0,,,44985.0,,,2736.0,,,-108099879,0.0,-84884.0,0.0,131448444.0,,131448444.0,-0.01,-0.01,0
15,47501,41089.0,19850.0,107883768,329627.0,1600000.0,3928,1192,,,-487.0,0.001,200000000.0,131448444.0,131448444.0,131449.0,,0.0,,,,,276318.0,,,171.0,-0.01,,141516.0,-1680027.0,,,-16553.0,-461395.0,-461395.0,,,,35236.0,-8610.0,,10871.0,,,,88590,3928,,-16105.0,477718.0,655182.0,-477516.0,-671287.0,-1680027.0,1680127.0,,,,,,,,,,663852.0,0.0,67.0,32335.0,655182.0,,2736.0,1538440.0,,-108099879,0.0,-84662.0,,131448444.0,131448444.0,131448444.0,0.0,0.0,0
16,39938,97254.0,20192.0,109192128,,1600000.0,3845,1280,17297.0,,-545.0,,,,,,,0.0,,,,,265330.0,,,342.0,-0.03,0.34,438629.0,-3474201.0,,,-31017.0,-837609.0,-837609.0,14464.0,-9214.0,,-7563.0,56165.0,,-1774.0,,,,137192,3845,,88.0,138217.0,162700.0,-135815.0,-162612.0,-3474201.0,3474301.0,,,,,,,,,,587056.0,,1000.0,19690.0,162700.0,,2565.0,3035330.0,,-109456924,0.0,-84662.0,0.0,131448444.0,131448444.0,131448444.0,,,0
17,153033,26093.0,20363.0,110256100,264720.0,,3240,846,17297.0,486.0,,,,,,,158702.0,0.0,116099.0,,42603.0,,,,,,,,,,0.0,,,,,,22416.0,,,,,,,,,179126,3240,46799.0,,,,,,,,-510301.0,,,,,,,,,642921.0,,,19690.0,,,2394.0,,,-110563435,,-84662.0,,,,,,,0
18,163068,31760.0,20363.0,111222333,264720.0,,2307,84,17297.0,,-163.0,,,,,,,0.0,,,,,252044.0,,,171.0,-0.01,,297113.0,-1794174.0,0.0,,-36672.0,-1171784.0,-1171784.0,,-3783.0,,105532.0,-14996.0,,-10388.0,,,,194828,2307,,-346.0,282284.0,252900.0,-281884.0,-253246.0,-1794174.0,1794174.0,,,,,,,,,,682118.0,,1000.0,19690.0,252900.0,,2223.0,1496890.0,,-111546303,0.0,,0.0,,,,,,0
19,114320,38583.0,20363.0,112089593,557097.0,,2281,229,,708.0,,0.001,200000000.0,131448444.0,131448444.0,131449.0,161837.0,0.0,119234.0,,42603.0,,268199.0,,,,,0.34,,,0.0,,-14464.0,-376214.0,-376214.0,5655.0,-7015.0,,,,,,,,,152903,2281,,,,,,,,,-1595019.0,,,,,,,,,681099.0,,,,,,2052.0,,,-112371664,0.0,,0.0,,,,,,0
