,AccountsPayableCurrent,AccountsReceivableGross,AccountsReceivableNet,AccrualForEnvironmentalLossContingencies,AccruedEnvironmentalLossContingenciesCurrent,AccruedEnvironmentalLossContingenciesNoncurrent,AccruedIncomeTaxesCurrent,AccruedInsuranceCurrent,AccruedLiabilitiesCurrent,AccumulatedAmortizationDeferredFinanceCosts,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivable,AllowanceForDoubtfulAccountsReceivableWriteOffs,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCosts,AmortizationOfIntangibleAssets,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetRetirementObligationsNoncurrent,Assets,AssetsCurrent,AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,BusinessCombinationConsiderationTransferred1,CapitalExpendituresIncurredButNotYetPaid,CashAndCashEquivalentsAtCarryingValue,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ComprehensiveIncomeNetOfTaxAttributableToNoncontrollingInterest,ComprehensiveIncomeNetOfTaxIncludingPortionAttributableToNoncontrollingInterest,ContractWithCustomerAssetNet,ContractWithCustomerAssetNetCurrent,ContractWithCustomerAssetNetNoncurrent,ContractWithCustomerLiability,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityNoncurrent,ContractWithCustomerLiabilityRevenueRecognized,CostsAndExpenses,CurrentFederalTaxExpenseBenefit,CurrentForeignTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtAndCapitalLeaseObligations,DebtInstrumentCarryingAmount,DebtInstrumentFaceAmount,DebtInstrumentUnamortizedDiscountPremiumAndDebtIssuanceCostsNet,DebtWeightedAverageInterestRate,DeferredFederalIncomeTaxExpenseBenefit,DeferredFinanceCostsNet,DeferredForeignIncomeTaxExpenseBenefit,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilities,DeferredIncomeTaxLiabilitiesNet,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsNet,DeferredTaxAssetsOtherTaxCarryforwards,DeferredTaxAssetsTaxCreditCarryforwards,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeBenefits,DeferredTaxAssetsUnrealizedCurrencyLosses,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,DefinedBenefitPlanAccumulatedBenefitObligation,DefinedBenefitPlanActualReturnOnPlanAssets,DefinedBenefitPlanActuarialGainLoss,DefinedBenefitPlanAmortizationOfGainsLosses,DefinedBenefitPlanAmortizationOfPriorServiceCostCredit,DefinedBenefitPlanAssetsForPlanBenefitsNoncurrent,DefinedBenefitPlanBenefitObligation,DefinedBenefitPlanBenefitObligationBenefitsPaid,DefinedBenefitPlanContributionsByEmployer,DefinedBenefitPlanExpectedFutureBenefitPaymentsFiveFiscalYearsThereafter,DefinedBenefitPlanExpectedFutureBenefitPaymentsNextTwelveMonths,DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFive,DefinedBenefitPlanExpectedFutureBenefitPaymentsYearFour,DefinedBenefitPlanExpectedFutureBenefitPaymentsYearThree,DefinedBenefitPlanExpectedFutureBenefitPaymentsYearTwo,DefinedBenefitPlanExpectedFutureEmployerContributionsNextFiscalYear,DefinedBenefitPlanExpectedReturnOnPlanAssets,DefinedBenefitPlanFairValueOfPlanAssets,DefinedBenefitPlanFundedStatusOfPlan,DefinedBenefitPlanInterestCost,DefinedBenefitPlanNetPeriodicBenefitCost,DefinedBenefitPlanOtherChanges,DefinedBenefitPlanPlanAssetsBenefitsPaid,DefinedBenefitPlanRecognizedNetGainLossDueToSettlementsAndCurtailments1,DefinedBenefitPlanServiceCost,DefinedBenefitPlanSettlementsPlanAssets,DefinedContributionPlanEmployerDiscretionaryContributionAmount,Depreciation,DepreciationAmortizationAndAccretionNet,DepreciationDepletionAndAmortization,DividendsCommonStockCash,DividendsPayableCurrent,EarningsPerShareBasic,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxSettlements,EffectOfExchangeRateOnCashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,EmployeeRelatedLiabilitiesCurrent,EmployeeServiceShareBasedCompensationCashFlowEffectCashUsedToSettleAwards,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,EmployeeServiceShareBasedCompensationTaxBenefitFromCompensationExpense,EmployeeServiceShareBasedCompensationTaxBenefitFromExerciseOfStockOptions,EquityMethodInvestmentDividendsOrDistributions,EquityMethodInvestmentOtherThanTemporaryImpairment,EquityMethodInvestmentRealizedGainLossOnDisposal,EquityMethodInvestments,ExcessOfReplacementOrCurrentCostsOverStatedLIFOValue,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilityIssues,FairValueMeasurementWithUnobservableInputsReconciliationRecurringBasisLiabilitySettlements,FairValueMeasurementWithUnobservableInputsReconciliationsRecurringBasisLiabilityValue,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsGross,FiniteLivedIntangibleAssetsNet,FinitelivedIntangibleAssetsAcquired1,GainLossOnSaleOfBusiness,Goodwill,GoodwillAcquiredDuringPeriod,GoodwillAndIntangibleAssetImpairment,GoodwillForeignCurrencyTranslationGainLoss,GoodwillTransfers,GuaranteeObligationsCurrentCarryingValue,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationChangeInEnactedTaxRate,IncomeTaxReconciliationNondeductibleExpenseImpairmentLosses,IncomeTaxReconciliationNondeductibleExpenseRestructuringCharges,IncomeTaxReconciliationRepatriationOfForeignEarnings,IncomeTaxReconciliationTaxSettlements,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInContractWithCustomerAsset,IncreaseDecreaseInContractWithCustomerLiability,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInReceivables,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,IntangibleAssetsGrossExcludingGoodwill,IntangibleAssetsNetExcludingGoodwill,InterestExpenseDebt,InterestExpenseDebtExcludingAmortization,InterestIncomeExpenseNonoperatingNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InventoryFinishedGoodsNetOfReserves,InventoryGross,InventoryNet,InventoryRawMaterialsNetOfReserves,InventoryValuationReserves,InventoryWorkInProcessNetOfReserves,LeaseAndRentalExpense,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,LiabilityForUncertainTaxPositionsNoncurrent,LongTermDebt,LongTermDebtAndCapitalLeaseObligations,LongTermDebtCurrent,LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtMaturitiesRepaymentsOfPrincipalRemainderOfFiscalYear,LongTermDebtNoncurrent,LossContingencyAccrualCarryingValueNoncurrent,LossContingencyReceivable,LossContingencyReceivableNoncurrent,MinorityInterest,MinorityInterestDecreaseFromDistributionsToNoncontrollingInterestHolders,MinorityInterestDecreaseFromRedemptions,MultiemployerPlanContributionsByEmployer,MultiemployerPlanEmployerContributionCost,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAvailableToCommonStockholdersBasic,NetPeriodicDefinedBenefitsExpenseReversalOfExpenseExcludingServiceCostComponent,NoncontrollingInterestIncreaseFromBusinessCombination,NoncontrollingInterestIncreaseFromSaleOfParentEquityInterest,NoncurrentAssets,NumberOfOperatingSegments,NumberOfReportableSegments,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesFutureMinimumPaymentsRemainderOfFiscalYear,OperatingLeaseWeightedAverageDiscountRatePercent,OperatingLossCarryforwards,OtherAccruedLiabilitiesCurrent,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeDefinedBenefitPlanNetPriorServiceCostCreditArisingDuringPeriodBeforeTax,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeLossAmortizationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetPriorServiceCostCreditBeforeTax,OtherComprehensiveIncomeLossBeforeReclassificationsNetOfTax,OtherComprehensiveIncomeLossCashFlowHedgeGainLossAfterReclassificationBeforeTax,OtherComprehensiveIncomeLossCashFlowHedgeGainLossReclassificationBeforeTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentBeforeTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationAdjustmentNetOfTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationNetOfTax,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentBeforeTax,OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansAdjustmentNetOfTax,OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansNetUnamortizedGainLossArisingDuringPeriodBeforeTax,OtherComprehensiveIncomeLossPensionAndOtherPostretirementBenefitPlansTax,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIPensionAndOtherPostretirementBenefitPlansForNetGainLossNetOfTax,OtherLiabilitiesNoncurrent,OtherNoncashIncomeExpense,OtherNonrecurringIncomeExpense,OtherOperatingIncomeExpenseNet,OtherSundryLiabilitiesNoncurrent,PaymentsForProceedsFromDerivativeInstrumentInvestingActivities,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsForRestructuring,PaymentsOfDividendsCommonStock,PaymentsOfDividendsMinorityInterest,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireProductiveAssets,PensionAndOtherPostretirementDefinedBenefitPlansLiabilitiesNoncurrent,PensionContributions,PercentageOfLIFOInventory,ProceedsFromContributionsFromParent,ProceedsFromDerivativeInstrumentInvestingActivities,ProceedsFromDivestitureOfBusinesses,ProceedsFromDivestitureOfBusinessesAndInterestsInAffiliates,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromSaleOfEquityMethodInvestments,ProductWarrantyAccrual,ProductWarrantyAccrualClassifiedCurrent,ProductWarrantyAccrualNoncurrent,ProductWarrantyAccrualPayments,ProductWarrantyAccrualPreexistingIncreaseDecrease,ProductWarrantyAccrualWarrantiesIssued,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,ReceivablesNetCurrent,ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodBeforeTax,ReclassificationFromAociCurrentPeriodTax,RepaymentsOfLongTermDebt,ReportingUnitPercentageOfFairValueInExcessOfCarryingAmount,ResearchAndDevelopmentExpense,RestrictedCash,RestrictedCashCurrent,RestrictedCashNoncurrent,RestructuringCharges,RestructuringReserve,RestructuringReserveCurrent,RestructuringReserveTranslationAndOtherAdjustment,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueRemainingPerformanceObligation,RightOfUseAssetObtainedInExchangeForOperatingLeaseLiability,SelfInsuranceReserve,SelfInsuranceReserveNoncurrent,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriodGross,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockholdersEquityNoteSpinoffTransaction,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueNewIssues,StockRepurchaseProgramAuthorizedAmount1,TaxCreditCarryforwardAmount,TaxCutsAndJobsActOf2017TransitionTaxForAccumulatedForeignEarningsLiability,TaxCutsAndJobsActOf2017TransitionTaxForAccumulatedForeignEarningsLiabilityCurrent,TreasuryStockSharesAcquired,TreasuryStockValue,TreasuryStockValueAcquiredCostMethod,UndistributedEarningsOfForeignSubsidiaries,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsInterestOnIncomeTaxesAccrued,UnrecognizedTaxBenefitsInterestOnIncomeTaxesExpense,UnrecognizedTaxBenefitsPeriodIncreaseDecrease,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfSharesOutstandingBasic,DividendsPayableCurrentAndNoncurrent,IncomeTaxesPaidNet,InterestPaidNet,LongTermDebtAndCapitalLeaseObligationsIncludingCurrentMaturities,NoncontrollingInterestIncreaseFromSubsidiaryEquityIssuance,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationGainLossBeforeReclassificationAndTax,OtherComprehensiveIncomeLossForeignCurrencyTransactionAndTranslationReclassificationAdjustmentFromAOCIRealizedUponSaleOrLiquidationBeforeTax,SelfInsuranceReserveCurrent,TreasuryStockCommonShares,WriteOffOfDeferredDebtIssuanceCost,GainsLossesOnExtinguishmentOfDebt,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockRepurchaseProgramRemainingAuthorizedRepurchaseAmount1,BusinessCombinationAcquisitionOfLessThan100PercentNoncontrollingInterestFairValue,IncomeTaxReconciliationDispositionOfBusiness,IncomeTaxReconciliationEquityInEarningsLossesOfUnconsolidatedSubsidiary,IncomeTaxReconciliationTaxCreditsForeign,TreasuryStockCommonValue,y
0,1701000000,2771000000.0,2726000000.0,217000000,14000000,203000000,318000000.0,173000000.0,2088000000,700000.0,2095000000.0,-1253000000,0.0,19000000.0,44000000.0,152000000.0,1000000.0,5000000.0,3000000.0,136000000.0,0.0,74000000.0,22406000000,5959000000,0.0,310000000.0,263000000.0,1129000000.0,1330000000.0,-196000000.0,0.08,0.01,4000000000.0,866158910.0,866164968.0,0.0,2136000000.0,27000000.0,2163000000.0,679000000,622000000,57000000,611000000,443000000,168000000,178000000.0,16434000000.0,479000000.0,342000000.0,940000000.0,119000000.0,319000000.0,319000000.0,11000000000.0,0,0.027,-37000000.0,5000000.0,146000000.0,500000000,133000000.0,689000000.0,1099000000,24000000.0,923000000.0,236000000.0,55000000.0,76000000.0,27000000.0,128000000.0,392000000.0,2800000000.0,381000000.0,351000000.0,-2000000.0,1000000.0,490000000,2581000000.0,132000000.0,22000000.0,638000000.0,109000000.0,123000000.0,119000000.0,117000000.0,113000000.0,28000000.0,39000000.0,2635000000.0,68000000.0,17000000.0,-11000000.0,25000000.0,132000000.0,0.0,8000000.0,14000000.0,25000000.0,221000000.0,357000000.0,357000000.0,70000000.0,0.0,3.16,3.16,0.279,0.21,0.044,-0.001,0.026,0.0,-39000000.0,516000000.0,0.0,14000000.0,10000000.0,7000000.0,143000000.0,0.0,799000000.0,1739000000,120000000.0,52000000.0,1000000.0,291000000.0,1913000000,94000000.0,50000000.0,57000000.0,65000000.0,75000000.0,2462000000,466000000.0,94000000.0,799000000.0,9849000000.0,5000000.0,0.0,35000000.0,-936000000.0,10000000.0,0.0,2360000000.0,3842000000.0,1482000000.0,403000000.0,220000000.0,1073000000.0,51000000.0,43000000.0,71000000.0,136000000.0,102000000.0,-149000000.0,88000000.0,67000000.0,24000000.0,151000000.0,7000000.0,211000000.0,0.0,2996000000,1083000000,31000000.0,118000000.0,37000000.0,26000000.0,25000000.0,922000000,1332000000.0,1332000000,290000000,152000000,120000000,167000000.0,939000000.0,298000000.0,180000000.0,80000000.0,102000000.0,127000000.0,152000000.0,136000000.0,7971000000,22406000000,4469000000,0.0,0.0,319000000.0,82000000.0,237000000,8750000000.0,190000000.0,0.0,2260000000.0,28000000.0,70000000.0,218000000.0,82000000.0,249000000.0,104000000.0,102000000.0,333000000,46000000.0,49000000.0,5000000.0,20000000.0,-2627000000.0,415000000.0,2055000000.0,400000000.0,35000000.0,2734000000.0,-168000000.0,46000000.0,4000000.0,1663000000.0,3.0,3.0,3637000000.0,206000000.0,845000000.0,163000000.0,682000000,201000000.0,832000000,52000000.0,77000000.0,110000000.0,146000000.0,111000000.0,189000000.0,0.036,1145000000.0,626000000.0,327000000,256000000,9000000.0,-449000000.0,17000000.0,-650000000.0,2000000.0,-2000000.0,96000000.0,-449000000.0,0.0,-606000000.0,192000000.0,159000000.0,-221000000.0,33000000.0,-5000000.0,1183000000,3000000.0,-138000000.0,937000000.0,303000000.0,-1000000.0,44000000.0,0.0,55000000.0,0.0,46000000.0,310000000.0,263000000.0,456000000,45000000.0,0.32,590000000.0,0.0,1000000000.0,1000000.0,117000000.0,-16000000.0,3000000.0,1032000000.0,473000000.0,200000000.0,288000000.0,36000000.0,0.0,40000000.0,2769000000.0,3758000000.0,1663000000,20000000.0,2726000000,-19000000.0,33000000.0,0.0,0.2,400000000.0,5000000.0,4000000.0,1000000.0,80000000.0,66000000.0,66000000.0,24000000.0,0.0,18914000000.0,4700000000.0,136000000.0,239000000.0,66000000.0,2689000000.0,44000000.0,0.02,0.0,15.52,14102000000.0,14784000000.0,-81000000.0,984000.0,24000000.0,350000000.0,63000000.0,453000000.0,36000000.0,976374.0,0.0,38000000.0,7000000000.0,290000000.0,4000000.0,0.0,27000000.0,3000000.0,33000000.0,8000000.0,-37000000.0,866200000.0,866200000.0,0.0,284000000.0,28000000.0,10227000000.0,77000000.0,48000000.0,-2000000.0,164000000.0,10375654.0,5000000.0,0.0,6000000.0,557000000.0,22000000.0,1100000000.0,732000000.0,45000000.0,529000000.0,1
1,1701000000,2771000000.0,2726000000.0,217000000,14000000,203000000,234000000.0,164000000.0,2088000000,,2095000000.0,-1253000000,0.0,19000000.0,22000000.0,141000000.0,2000000.0,,2000000.0,31000000.0,0.0,76000000.0,22406000000,5959000000,0.0,,243000000.0,863000000.0,1134000000.0,-267000000.0,0.08,0.01,4000000000.0,866158910.0,866687269.0,0.0,496000000.0,8000000.0,504000000.0,679000000,622000000,57000000,611000000,443000000,168000000,249000000.0,3878000000.0,262000000.0,305000000.0,639000000.0,72000000.0,11974000000.0,319000000.0,11000000000.0,0,0.027,-14000000.0,,-106000000.0,500000000,15000000.0,747000000.0,1099000000,-2000000.0,838000000.0,258000000.0,63000000.0,109000000.0,27000000.0,231000000.0,411000000.0,3200000000.0,285000000.0,239000000.0,-5000000.0,1000000.0,490000000,2885000000.0,116000000.0,27000000.0,,,,,,,,78000000.0,2953000000.0,70000000.0,33000000.0,-22000000.0,151000000.0,116000000.0,-1000000.0,16000000.0,15000000.0,49000000.0,54000000.0,85000000.0,335000000.0,70000000.0,105000000.0,0.46,0.46,0.258,0.21,0.033,-0.011,0.025,-0.056,16000000.0,634000000.0,2000000.0,124000000.0,11000000.0,16000000.0,5000000.0,0.0,0.0,1739000000,118000000.0,85000000.0,37000000.0,291000000.0,1913000000,80000000.0,47000000.0,59000000.0,69000000.0,75000000.0,2462000000,466000000.0,94000000.0,,9884000000.0,,0.0,-236000000.0,940000000.0,17000000.0,0.0,1460000000.0,543000000.0,1212000000.0,102000000.0,40000000.0,140000000.0,51000000.0,,71000000.0,,46000000.0,149000000.0,-227000000.0,51000000.0,27000000.0,230000000.0,-8000000.0,148000000.0,0.0,2996000000,1083000000,126000000.0,83000000.0,4000000.0,127000000.0,,922000000,1332000000.0,1332000000,290000000,152000000,120000000,,742000000.0,218000000.0,141000000.0,67000000.0,87000000.0,106000000.0,123000000.0,85000000.0,7971000000,22406000000,4469000000,0.0,459000000.0,319000000.0,11751000000.0,237000000,9500000000.0,183000000.0,0.0,2264000000.0,46000000.0,44000000.0,263000000.0,82000000.0,228000000.0,104000000.0,97000000.0,333000000,2000000.0,,10000000.0,5000000.0,-57000000.0,-43000000.0,-183000000.0,1184000000.0,3000000.0,400000000.0,-39000000.0,46000000.0,,1810000000.0,3.0,3.0,500000000.0,,803000000.0,161000000.0,682000000,,832000000,,,,,,,0.034,789000000.0,808000000.0,327000000,256000000,0.0,48000000.0,11000000.0,15000000.0,0.0,0.0,15000000.0,50000000.0,-2000000.0,101000000.0,98000000.0,83000000.0,-112000000.0,15000000.0,-9000000.0,1183000000,16000000.0,-106000000.0,15000000.0,340000000.0,0.0,3000000.0,0.0,,0.0,2000000.0,0.0,41000000.0,456000000,22000000.0,0.33,590000000.0,0.0,0.0,0.0,52000000.0,-23000000.0,6000000.0,0.0,473000000.0,191000000.0,323000000.0,76000000.0,-2000000.0,93000000.0,403000000.0,3758000000.0,1663000000,18000000.0,2726000000,-7000000.0,15000000.0,1000000.0,,97000000.0,4000000.0,4000000.0,,33000000.0,66000000.0,47000000.0,35000000.0,0.0,4323000000.0,4700000000.0,,249000000.0,85000000.0,684000000.0,8000000.0,,,,2697000000.0,14269000000.0,-81000000.0,,24000000.0,350000000.0,24000000.0,453000000.0,36000000.0,,0.0,38000000.0,6000000000.0,316000000.0,19000000.0,175000000.0,30000000.0,14000000.0,25000000.0,8000000.0,-37000000.0,866000000.0,866000000.0,108000000.0,819000000.0,196000000.0,9696000000.0,,604000000.0,0.0,154000000.0,42103995.0,,0.0,6000000.0,309000000.0,22000000.0,1100000000.0,705000000.0,,1910000000.0,1
2,1701000000,2771000000.0,2726000000.0,217000000,14000000,203000000,,,2088000000,,2095000000.0,-1253000000,0.0,19000000.0,14000000.0,45000000.0,,,5000000.0,58000000.0,30900000.0,,22406000000,5959000000,3148000000.0,,,936000000.0,1134000000.0,-194000000.0,,0.01,4000000000.0,866158910.0,867829119.0,0.0,1206000000.0,15000000.0,1221000000.0,679000000,622000000,57000000,611000000,443000000,168000000,71000000.0,8149000000.0,,,,,10227000000.0,319000000.0,11000000000.0,0,0.027,,,,500000000,-57000000.0,,1099000000,,,,,,,,,,,,-3000000.0,0.0,490000000,3224000000.0,,5000000.0,,,,,,,,39000000.0,3294000000.0,,16000000.0,-11000000.0,,,,8000000.0,,24000000.0,109000000.0,167000000.0,,,,0.46,0.46,0.146,,,,,,7000000.0,,,107000000.0,,12000000.0,46000000.0,0.0,0.0,1739000000,,118000000.0,98000000.0,291000000.0,1913000000,246000000.0,99000000.0,136000000.0,170000000.0,194000000.0,2462000000,466000000.0,146000000.0,,9884000000.0,175000000.0,,-149000000.0,,,0.0,,1402000000.0,,,120000000.0,205000000.0,51000000.0,,,,46000000.0,149000000.0,-173000000.0,43000000.0,-16000000.0,340000000.0,-16000000.0,206000000.0,,2996000000,1083000000,85000000.0,127000000.0,20000000.0,,,922000000,1556000000.0,1332000000,290000000,152000000,120000000,,764000000.0,231000000.0,153000000.0,59000000.0,83000000.0,106000000.0,132000000.0,103000000.0,7971000000,22406000000,4469000000,1102000000.0,,319000000.0,10036000000.0,237000000,9500000000.0,140000000.0,0.0,2251000000.0,40000000.0,45000000.0,223000000.0,82000000.0,,104000000.0,,333000000,2000000.0,-5000000.0,5000000.0,10000000.0,-492000000.0,-80000000.0,371000000.0,784000000.0,13000000.0,784000000.0,-77000000.0,,,,3.0,3.0,500000000.0,197000000.0,,,682000000,213000000.0,832000000,,,,,,,,808000000.0,,327000000,256000000,0.0,604000000.0,,-78000000.0,0.0,0.0,-81000000.0,,0.0,101000000.0,,,,,-4000000.0,1183000000,95000000.0,,49000000.0,,95000000.0,-8000000.0,0.0,,0.0,3000000.0,,89000000.0,456000000,27000000.0,,,,0.0,0.0,77000000.0,-26000000.0,45000000.0,6000000.0,473000000.0,,,126000000.0,-3000000.0,133000000.0,403000000.0,3758000000.0,1663000000,12000000.0,2726000000,-4000000.0,-2000000.0,37000000.0,,200000000.0,4000000.0,,,63000000.0,66000000.0,49000000.0,46000000.0,0.0,4323000000.0,4700000000.0,169000000.0,,,1364000000.0,22000000.0,,,,,14269000000.0,-445000000.0,,,4100000000.0,29000000.0,417000000.0,34000000.0,3100000.0,0.0,38000000.0,10000000000.0,,,,,,,,-37000000.0,866200000.0,866200000.0,,,,,92000000.0,,,,,,0.0,,2200000000.0,,1100000000.0,,,1910000000.0,1
