,AccountsPayableCurrent,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalOther,Assets,AssetsCurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,GeneralAndAdministrativeExpense,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableTrade,InterestPaid,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NotesPayableRelatedPartiesClassifiedCurrent,OperatingExpenses,OperatingLossCarryforwards,OtherLoansPayableCurrent,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,ProceedsFromContributedCapital,ProceedsFromIssuanceOfCommonStock,ProceedsFromLoans,ProceedsFromNotesPayable,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfDebt,ProfessionalFees,ProfitLoss,RepaymentsOfNotesPayable,RetainedEarningsAccumulatedDeficit,Revenues,SharePrice,SharesOutstanding,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,WeightedAverageNumberDilutedSharesOutstandingAdjustment,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,y
10,5250,16468.0,,548,,,-1806.0,,,100000000.0,100000.0,100000.0,100.0,,,44831.0,102111.0,,,57.0,,,-2780.0,,28811,548,,60561.0,,,,,3207.0,,23561.0,0.001,100000000.0,,,,16568.0,,27561.0,,,,3150.0,-3207.0,,-121259.0,0.0,,,-51542.0,,,,,,,100000.0,0
11,5250,,,548,,2864.0,,,,,,,,,,44831.0,,-0.06,,,,-1950.0,,,28811,548,,64562.0,37129.0,-36448.0,-58700.0,,,,23561.0,,100000000.0,,,,0.0,,4000.0,,2551.0,,,,,,,,,,-16833.0,,,,,,,0
12,5250,16468.0,,548,1720.0,2864.0,681.0,,0.001,100000000.0,100000.0,100000.0,100.0,,,44831.0,109111.0,,,16371.0,,,2446.0,,28811,548,106411.0,69561.0,8500.0,-10683.0,-13869.0,,36221.0,,27561.0,0.001,10000000.0,,,,15568.0,,,,,,19850.0,-36221.0,,-126156.0,,,,-53384.0,-19653.0,,,,,,,0
13,5250,16468.0,,548,,2864.0,-2183.0,,0.001,100000000.0,100000000.0,100000000.0,100.0,,,44831.0,117111.0,-0.03,,727.0,,-1950.0,-1983.0,,28811,548,,,,,,,6027.0,,,0.001,100000000.0,,,,16568.0,,32561.0,,16050.0,,5300.0,-6027.0,,-134194.0,0.0,,,-63973.0,-22326.0,,,,,,,0
14,5703,,,980,1635.0,,548.0,,,,,,,,,48852.0,121611.0,-0.09,,670.0,,-950.0,5250.0,,33264,980,119261.0,,11501.0,-13817.0,,,2820.0,,,,,,,,16568.0,,,,24050.0,,2150.0,-38894.0,,-140888.0,,,,-76971.0,-28263.0,,,,,,,0
15,4050,,,340,441.0,,-2316.0,,0.001,,,,,,,52839.0,121611.0,,,,,650.0,820.0,,36611,340,124761.0,,,,-66110.0,,,,,,,,,,15568.0,,40561.0,,,,,-8700.0,,-140888.0,,,,,,,,,,,,0
16,2125,16468.0,,554,441.0,,,,0.001,100000000.0,100000.0,100000.0,100.0,,,58700.0,121611.0,-0.03,,17394.0,,-3150.0,,,42686,554,124761.0,,44129.0,-43149.0,-21279.0,,38894.0,,,0.001,100000000.0,,,,16568.0,,17000.0,,,,21500.0,-2673.0,,-140888.0,,,,,-32284.0,,,,,,,0
17,5275,16468.0,,294,441.0,,980.0,,,100000000.0,100000.0,100000.0,100.0,,,66110.0,131611.0,,,1750.0,,-3150.0,5703.0,,49836,294,124761.0,,4000.0,-3568.0,,,8700.0,,,0.001,100000000.0,,,,16568.0,,,,8500.0,,6950.0,-44831.0,,-147306.0,,,,-76971.0,-49542.0,,,,,,100000.0,0
18,5275,,,294,441.0,,432.0,,,,,,,,,66110.0,138111.0,-0.45,,,,,453.0,,51836,294,124761.0,,,,-21279.0,,,,,,,,,,16568.0,,49561.0,,,,,-14637.0,,-152140.0,,,,-76971.0,,,,,,,,0
19,5275,16468.0,,294,4673.0,1807.0,,,,100000000.0,100000.0,100000.0,100.0,,,66110.0,141111.0,-0.15,,1023.0,,,,,49836,294,135411.0,,49129.0,-48789.0,,,2673.0,,,0.001,100000000.0,,,,,,5000.0,,,,1650.0,-48852.0,,-155641.0,,,,-76971.0,,,,,,,100000.0,0
