,AccountsPayableTradeCurrent,AccretionExpense,AccruedIncomeTaxesCurrent,AccruedIncomeTaxesNoncurrent,AccruedRoyaltiesCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AmortizationOfFinancingCosts,AssetRetirementObligationAccretionExpense,AssetRetirementObligationRevisionOfEstimate,Assets,AssetsCurrent,AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLossNetOfTax,AvailableForSaleSecuritiesGrossRealizedGainLossNet,AvailableForSaleSecuritiesNoncurrent,CapitalLeaseObligationsCurrent,CapitalLeaseObligationsNoncurrent,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CommitmentsAndContingencies,CommonStockNoParValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,CostOfRevenue,CurrentIncomeTaxExpenseBenefit,DeferredIncomeTaxExpenseBenefit,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsNetNoncurrent,DepreciationDepletionAndAmortization,DerivativeGainLossOnDerivativeNet,DerivativeLiabilitiesNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectOfExchangeRateOnCashAndCashEquivalents,EmployeeBenefitsAndShareBasedCompensation,EmployeeRelatedLiabilitiesCurrent,ForeignCurrencyTransactionGainLossBeforeTax,ForeignCurrencyTransactionGainLossUnrealized,GainLossOnContractTermination,GainLossOnDispositionOfAssets,GainLossOnInvestments,GainLossOnSaleOfSecuritiesNet,GainOnBusinessInterruptionInsuranceRecovery,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,ImpairmentOfLongLivedAssetsHeldForUse,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherReceivables,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInRestrictedCash,InterestExpense,InterestIncomeExpenseNet,InterestPaid,InventoryNet,InventoryWriteDown,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebtCurrent,MarketableSecuritiesGainLoss,MarketableSecuritiesUnrealizedGainLoss,MineReclamationAndClosingLiabilityNoncurrent,MineralExtractionProcessingAndMarketingCosts,MinorityInterestIncreaseFromStockIssuance,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossAvailableToCommonStockholdersDiluted,NonoperatingIncomeExpense,OperatingExpenses,OperatingIncomeLoss,OtherAccruedLiabilitiesCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeLossReclassificationAdjustmentForSaleOfSecuritiesIncludedInNetIncomeNetOfTax,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesNetOfTax,OtherComprehensiveIncomeLossReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,OtherComprehensiveIncomeOtherNetOfTax,OtherComprehensiveIncomeReclassificationAdjustmentOnDerivativesIncludedInNetIncomeNetOfTax,OtherIncome,OtherReceivables,OtherThanTemporaryImpairmentLossesInvestmentsAvailableforsaleSecurities,PaymentsOfFinancingCosts,PaymentsToAcquireAvailableForSaleSecurities,PaymentsToAcquirePropertyPlantAndEquipment,PaymentsToAcquireShortTermInvestments,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseCurrent,ProceedsFromInsuranceSettlementInvestingActivities,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleOfAvailableForSaleSecurities,ProceedsFromSaleOfOtherAssets,ProceedsFromSaleOfProductiveAssets,ProceedsFromSaleOfShortTermInvestments,ProceedsFromSalesOfAssetsInvestingActivities,ProfitLoss,PropertyPlantAndEquipmentNet,ReclamationAndMineShutdownProvision,ReclassificationFromAccumulatedOtherComprehensiveIncomeCurrentPeriodNetOfTax,ReclassificationsOfTemporaryToPermanentEquity,RepaymentsOfLongTermCapitalLeaseObligations,RepaymentsOfLongTermDebt,RestrictedCashAndCashEquivalentsNoncurrent,RetainedEarningsAccumulatedDeficit,Revenues,ShareBasedCompensation,ShortTermInvestments,StockGrantedDuringPeriodValueSharebasedCompensation,StockholdersEquity,StockIssuedDuringPeriodValueAcquisitions,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueStockOptionsExercised,StockRedeemedOrCalledDuringPeriodValue,TaxesPayableCurrent,TemporaryEquityCarryingAmount,UnrealizedGainLossOnSecurities,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,y
10,3227000,,,4583000.0,0.0,-178000.0,91937000.0,,,,,,108615000,38942000,,-407000.0,1801000.0,973000.0,1319000.0,8766000.0,11124.0,,,,,34424387.0,34424387.0,87556000,,,124000.0,1668.0,,,,1571000.0,215000.0,,,,-27.0,,790000,,-27.0,0.0,-2000.0,-1376000.0,,,,,,,,,1454.0,,3842.0,-959.0,-56.0,,,,105000.0,4426000,,,22377000,108615000,8275000,,,-45000.0,8293000,,,438.0,-3961.0,14674.0,,,3721000.0,3501000.0,,,,40000.0,1048000,,,,,,,3329000.0,0.0,,2294000.0,2031.0,,,,,,,,1160000,,88.0,,,352000.0,0.0,35000.0,0.0,,,60564000,,,,518.0,0.0,6527000,-1000000,,12000.0,9264000.0,,,,915000.0,,,,,2480000,,-292000.0,,,,0
11,4092000,,,5942000.0,0.0,-538000.0,91937000.0,2032000.0,,209000.0,506.0,,115600000,42879000,,,1432000.0,1261000.0,1649000.0,8766000.0,11124000.0,,,,,34484387.0,34484387.0,87716000,7664.0,28173.0,470000.0,4035000.0,,,2118.0,239.0,165000.0,0.24,,0.18,-27000.0,142000.0,1026000,-27.0,-27000.0,,,,,,,2826.0,,11726.0,,,1454000.0,,3842000.0,-959000.0,-56000.0,,33.0,,,4138000,,169.0,24684000,115600000,9826000,,,-45000.0,8461000,1139.0,,438000.0,-3961000.0,14674000.0,7924000.0,,1494000.0,951000.0,1680.0,38180.0,10046.0,19000.0,950000,,,,,,,5160000.0,,,,2031000.0,142000.0,,,,,,,998000,,1075000.0,,,,,,0.0,,,63440000,,,,518000.0,,6530000,3378000,48226.0,3418.0,9264000.0,,73702000.0,,915000.0,,,41.0,,2566000,,160.0,35237343.0,,33705651.0,0
12,2129000,,,5942000.0,66000.0,-538000.0,91937000.0,2032000.0,,,506000.0,,107970000,34785000,,429000.0,1432000.0,991000.0,1289000.0,8766000.0,5210.0,0.0,,,,34492387.0,34492387.0,87727000,7664000.0,28173000.0,,,,,2118000.0,239000.0,93000.0,0.2,,0.15,-7.0,,872000,-27000.0,-8.0,,-5.0,-1114000.0,,,,2826000.0,,11726000.0,,,495.0,,2353.0,-3471.0,-134.0,,33000.0,,209000.0,4512000,,169000.0,19190000,107970000,6268000,,,,5598000,1139000.0,,-74.0,-1792.0,7083.0,,,,,1680000.0,38180000.0,10046000.0,19000.0,863000,,,,,,,0.0,,,0.0,472.0,,,,,,,,1228000,,,,,352000.0,2000.0,35000.0,0.0,,,64357000,,,,162.0,0.0,6533000,1591000,48226000.0,3418000.0,,,76387.0,,915000.0,,,45000.0,,1975000,,160000.0,,,,0
13,2129000,,,5942000.0,,-538000.0,,2032000.0,,281000.0,169.0,,107970000,34785000,,,1432000.0,991000.0,1289000.0,,7320000.0,0.0,,,,34492387.0,34492387.0,87727000,2567.0,9654.0,105.0,819.0,,,812.0,1328000.0,93000.0,0.08,,0.07,0.0,482000.0,872000,-7.0,0.0,,-5000.0,,,,,1075.0,,4651.0,,,1970000.0,,1036000.0,1120000.0,124000.0,,6.0,,,4512000,,91.0,19190000,107970000,6268000,,,,5598000,632.0,,-410000.0,-14039000.0,21769000.0,7936.0,,-2227000.0,-2227000.0,317.0,12372.0,4334.0,19000.0,863000,,,,,,,363000.0,,,52000.0,2679000.0,198000.0,,,,,,0.0,1228000,,41.0,,,,2000.0,,,,,64357000,,,,624000.0,0.0,6533000,1591000,16706.0,30.0,9261000.0,,82253.0,,915000.0,,,96000.0,,1975000,,160000.0,35373150.0,,34022762.0,0
14,2129000,,,5942000.0,,-538000.0,,,,,169000.0,,107970000,34785000,,429000.0,1432000.0,991000.0,1289000.0,,,,,,,34492387.0,34492387.0,87727000,2567000.0,9654000.0,105000.0,819000.0,,,812000.0,,93000.0,,,,,,872000,-7000.0,,,-5000.0,-1376000.0,,,,1075000.0,,4651000.0,,,,,,,,,6000.0,,57000.0,4512000,,91000.0,19190000,107970000,6268000,,,,5598000,632000.0,,,,,7936000.0,,,,317000.0,12372000.0,4334000.0,102000.0,863000,,,,,,,363000.0,,,,,,,,,,,0.0,1228000,,41000.0,,,352000.0,0.0,0.0,,,,64357000,,,,,,6533000,1591000,16706000.0,30000.0,6654000.0,,82253000.0,,,,,108000.0,,1975000,,,,,,0
15,2129000,,,,,,,,,556000.0,675000.0,,107970000,34785000,,0.0,,991000.0,1289000.0,10183.0,3477.0,0.0,,,,34492387.0,34492387.0,87727000,13656000.0,42262000.0,331000.0,581000.0,,,2519000.0,220.0,93000.0,0.36,,0.31,0.0,149000.0,872000,-35000.0,0.0,,,,,,,3842000.0,,18001000.0,,,639.0,,-182.0,1330.0,98.0,,62000.0,,,4512000,,256000.0,19190000,107970000,6268000,,,,5598000,1752000.0,,-52.0,-1112.0,4641.0,2859.0,,5872000.0,5331000.0,1487000.0,53597000.0,16514000.0,57000.0,863000,,,,,,,363000.0,,,337000.0,1092.0,-3000.0,,,,,,0.0,1228000,,559000.0,,,,,0.0,,,,64357000,,,,93.0,25000.0,6533000,1591000,70111000.0,3213000.0,4668000.0,,82253000.0,,126000.0,,,108000.0,,1975000,,-248.0,35257668.0,,33803368.0,0
16,1082000,,,864000.0,,0.0,,,,556000.0,168.0,,100245000,27455000,,,530000.0,971000.0,1060000.0,14680.0,4795000.0,0.0,,,,34596387.0,34596387.0,88069000,3473.0,11809.0,226000.0,791000.0,,,649.0,543000.0,21000.0,0.11,,0.1,0.0,618000.0,1033000,0.0,0.0,,,,,,,1252.0,,4645.0,,,45000.0,,-284000.0,-1344000.0,245000.0,,127.0,,,4813000,,112.0,15141000,100245000,4921000,,,,5716000,830.0,,111000.0,-2324000.0,7008000.0,13496.0,,4379000.0,4380000.0,205.0,14723.0,4440.0,,652000,,,,,,,177000.0,,,0.0,2430000.0,,,,,,,,1023000,,120000.0,,,,,,,,,64519000,,,,328000.0,,6536000,-2528000,19163.0,15.0,,,82253000.0,,126000.0,,,108000.0,,1453000,,-478000.0,35401815.0,,34129161.0,0
17,712000,,,0.0,,20000.0,,191000.0,,,168000.0,,92689000,20405000,,,560000.0,953000.0,829000.0,14680000.0,,0.0,,,,34596387.0,34596387.0,88211000,3473000.0,11809000.0,,,,,649000.0,,0.0,,,,0.0,,663000,,0.0,,66000.0,-1376000.0,,,,1252000.0,,4645000.0,,,,,,,,,127000.0,,,4466000,,112000.0,11061000,92689000,3532000,,,,5836000,830000.0,,,,,13496000.0,,,,205000.0,14723000.0,4440000.0,,652000,,,,,,,5000.0,,,0.0,,0.0,,,,,,,874000,,,,,959000.0,,,,,,64563000,,,,,,6539000,-6583000,19163000.0,15000.0,,,,,125000.0,,,,,852000,,,,,,0
18,841000,,,25000.0,,45000.0,,333000.0,,556000.0,338000.0,,91185000,16907000,,,600000.0,935000.0,597000.0,,7288000.0,,,,,34596387.0,34596387.0,88360000,1016000.0,22234000.0,254000.0,1764000.0,,,1315000.0,323000.0,0.0,0.04,,0.03,0.0,368000.0,595000,0.0,0.0,,,,,,,2782000.0,,2406000.0,,,1329000.0,,-572000.0,486000.0,84000.0,,217000.0,,,4132000,,213000.0,9988000,91185000,3436000,,,,5955000,1995000.0,,-44000.0,-5242000.0,12574000.0,13496000.0,,4085000.0,3472000.0,449000.0,30696000.0,1957000.0,,652000,,,,,,,203000.0,,,,5234000.0,0.0,,,,,,,337000,,120000.0,,,959000.0,,,,,,64579000,,,,593000.0,,6540000,-7183000,32653000.0,2117000.0,,,,,125000.0,,,25000.0,,1025000,,-230000.0,35331019.0,,34156213.0,0
19,954000,,,25000.0,,45000.0,,482000.0,,,,,86648000,13662000,,,600000.0,925000.0,364000.0,19890.0,,,,,,34596387.0,34596387.0,88495000,,,,,,,,,0.0,,,,-5000.0,,604000,,-5000.0,,-5000.0,429000.0,,,,,,,,,,,,,,,,,,4133000,,123000.0,8092000,86648000,3090000,,,,4613000,,,,,,13496000.0,,,,,,,,736000,,,,,,,1164000.0,,,,,0.0,,,,,,,414000,,120000.0,,,959000.0,,,,,,65108000,,,,,,6542000,-9984000,,,,,,,125000.0,,,25000.0,,588000,,-338000.0,,,,0
20,954000,,,25000.0,,45000.0,,618000.0,,556000.0,169000.0,,86648000,13662000,,,600000.0,925000.0,364000.0,19890000.0,2900000.0,,,,,,,88495000,-2457000.0,10425000.0,-77000.0,-2573000.0,,,666000.0,541000.0,,-0.07,,-0.07,,394000.0,604000,6000.0,,,,,,,,1534000.0,,-2239000.0,,,-1809000.0,,-198000.0,0.0,313000.0,,89000.0,,,4133000,,102000.0,8092000,86648000,3090000,,,,4613000,1165000.0,,-664000.0,-6900000.0,10464000.0,,,-4119000.0,-4119000.0,246000.0,15975000.0,-2485000.0,,736000,,,,,,,,,,,6670000.0,,,,,,,0.0,414000,,120000.0,,,0.0,,,,,,65108000,,,,1223000.0,,6542000,-9984000,13490000.0,2117000.0,,,,,125000.0,,,25000.0,,588000,,-368000.0,34183265.0,,34183265.0,0
21,954000,,,25000.0,,45000.0,,618000.0,,,,,86648000,13662000,,,600000.0,925000.0,364000.0,16086.0,,,,,,,,88495000,,,,,,,,,,,,,,26000.0,604000,,,,22000.0,429000.0,,,,,,,,,,,,-4310000.0,,,,,,4133000,,12000.0,8092000,86648000,3090000,,,,4613000,,,,,,3721.0,,-8174000.0,,,,,,736000,,,,,,,8000.0,,,,,,,,,,,0.0,414000,,,,,,,,,,,65108000,,,,,,6542000,-9984000,,,,,85782.0,,,,,25000.0,,588000,,142000.0,,,,0
22,954000,,,,,,,618000.0,,0.0,506000.0,,86648000,13662000,,,,925000.0,364000.0,16086000.0,-7237000.0,,,,,,,346000,5534000.0,33760000.0,35000.0,-4950000.0,,,2126000.0,-1000.0,,0.17,,0.15,,410000.0,604000,0.0,,,,0.0,,,,3746000.0,,6917000.0,,,-1332000.0,,301000.0,-351000.0,139000.0,,398000.0,,,4133000,,249000.0,8092000,86648000,3090000,,,,4613000,3232000.0,,-128000.0,-92000.0,-7017000.0,3721000.0,,,-8174000.0,398000.0,45487000.0,6519000.0,,736000,,,,,,,,,,,170000.0,,,,,,,0.0,414000,,3354000.0,,,,,,,,,65108000,,,,248000.0,,6542000,-9984000,52006000.0,0.0,,,86238000.0,,,,,,,588000,,,35306694.0,,34246257.0,0
23,1217000,,,0.0,,0.0,,,,0.0,169000.0,,89823000,15531000,,,0.0,1084000.0,0.0,16086000.0,-10594000.0,,,,,39127989.0,39127989.0,391000,4521000.0,11526000.0,0.0,-7996000.0,,,811000.0,613000.0,,0.13,,0.12,,419000.0,653000,,,,,0.0,,,,1045000.0,,4511000.0,,,-2697000.0,,-33000.0,-218000.0,-10000.0,,181000.0,,,4091000,,124000.0,8424000,89823000,3716000,,,,4708000,1237000.0,,-376000.0,2775000.0,-12993000.0,,,,-4055000.0,-52000.0,14788000.0,4563000.0,,736000,,,,,,,,,,,222000.0,,,,,,,0.0,531000,,3352000.0,,,,,,,,,67011000,,,,496000.0,,6545000,-10818000,19351000.0,,,,88780000.0,,,,,,,660000,,-698000.0,35285502.0,,34456213.0,0
24,1000000,,,0.0,,0.0,,368000.0,,1000.0,,,86841000,10765000,,,0.0,401000.0,0.0,16086000.0,,,,,,39148989.0,39148989.0,391000,,,,,,,,,,,,,,0.0,646000,2000.0,,,22000.0,429000.0,,,,,,,,,,,,60000.0,,,,,,4215000,,,7053000,86841000,2248000,,,,4805000,,,,,,-2227000.0,,-8774000.0,,,,,,735000,,,,,,,,,,,,,,,,,,0.0,486000,,3416000.0,,,,,,,,,68794000,,,,,,6547000,-12453000,,191000.0,,,88780000.0,,,,,,,144000,,-698000.0,,,,0
25,844000,,,0.0,,0.0,,378000.0,,3000.0,675000.0,,89344000,11581000,,,0.0,1917000.0,2929000.0,,-11601000.0,,,,,39273989.0,39273989.0,393000,3387000.0,42541000.0,0.0,-5857000.0,,,2645000.0,42000.0,,0.12,,0.1,,,693000,,,,,0.0,,,,4664000.0,,5884000.0,,,-2773000.0,,-367000.0,,-546000.0,,497000.0,,,4069000,,264000.0,11527000,89344000,3698000,,,,4900000,3956000.0,,-628000.0,4736000.0,-15709000.0,,,,-8774000.0,239000.0,53566000.0,5645000.0,,736000,,,,,,,,,,,247000.0,,,,,,,,267000,,3416000.0,,,,,,,,,70478000,,,,748000.0,,6549000,-14504000,59211000.0,,,,88780000.0,,,,,17000.0,,216000,,,35316954.0,,34315008.0,0
26,987000,,,,,,,394000.0,,3000.0,,,31374000,7802000,,,,4377000.0,0.0,,,,,,,39273989.0,39273989.0,393000,,,,,,,,,,,,,,,711000,2000.0,,,0.0,,,,,,,,,,,,,-59000.0,,,,,,4573000,,,10951000,31374000,6182000,,,,4769000,,,,,,5872000.0,,-600000.0,,,,,,733000,,,,,,,,,,,,,,,,,,,325000,,0.0,,,,,,,,,16288000,,,,,,6551000,-71907000,,333000.0,,,88780000.0,,,,,15000.0,,107000,,101000.0,,,,0
27,987000,,,,,,,403000.0,,,119000.0,,31374000,7802000,,,,,,,-11035000.0,,,,,39273989.0,39273989.0,393000,-4018000.0,4420000.0,,0.0,,,8000.0,63000.0,,-0.12,,-0.12,,,711000,,,,,,,,,1017000.0,,-6692000.0,,,-3113000.0,,-169000.0,,-436000.0,,612000.0,,,4573000,,1000.0,10951000,31374000,6182000,,,,4769000,317000.0,,-870000.0,8587000.0,-18752000.0,,,,-600000.0,-836000.0,6072000.0,-5856000.0,,733000,,,,,,,,,,,1064000.0,,,,,,,,325000,,,,,,,,,,,16288000,,,,990000.0,,6551000,-71907000,216000.0,,,,,,,,,79000.0,,107000,,,34580243.0,,34580243.0,0
28,524000,,,,,,,403000.0,,,,,27991000,4404000,,,,,,,,,,,,39273989.0,39273989.0,393000,,0.0,,0.0,,,,,,-0.24,,-0.24,,,319000,,,,0.0,,,,,,,,,,,,,,,,,,,3146000,,11000.0,10094000,27991000,5229000,,,,4865000,,,,,,4379000.0,,-11575000.0,,,,,,731000,,,,,,,,,,,,,,,,,,,268000,,,,,,,,,,,16303000,,,,,,6553000,-74433000,,482000.0,,,,,,,,79000.0,,259000,,538000.0,34587785.0,,34587785.0,0
