,AccountsPayableAndAccruedLiabilitiesCurrent,AdditionalPaidInCapital,AssetsCurrent,Cash,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,DeferredTaxAssetsNet,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DirectOperatingCosts,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,GeneralAndAdministrativeExpense,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInDepositOtherAssets,InterestExpense,InterestPayableCurrent,IssuanceOfStockAndWarrantsForServicesOrClaims,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,NetCashProvidedByUsedInContinuingOperations,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInOperatingActivities,OperatingExpenses,OperatingLossCarryforwards,OtherCostAndExpenseOperating,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,ProceedsFromIssuanceOfCommonStock,ProceedsFromUnsecuredNotesPayable,ProfessionalFees,ProfitLoss,Revenues,SaleOfStockPricePerShare,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,UnsecuredDebtCurrent,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,y
10,26882,1676.0,183.0,1880.0,,75000000.0,2042000.0,2042000.0,204.0,31000.0,84137,3441.0,,,68387.0,-446.0,,2937.0,,780.0,,,82384,,3646.0,-3650.0,,,1555.0,0.0001,25000000.0,0.0,0.0,1100.0,3646.0,60839.0,,,,,22500.0,,900.0,,,,,55502.0,,0
11,26882,,8.0,4.0,,,,,,,84137,3441.0,,-0.0015,,20479.0,,,,780.0,,127.0,82384,4.0,51882.0,-51878.0,,,,,,,,1100.0,50782.0,,,,,-12093.0,22500.0,,,,,,,55502.0,,0
12,26882,,45.0,,0.0001,,,,,,84137,,,-0.002,71591.0,739.0,,3335.0,,780.0,,127.0,82384,127.0,4011.0,-4011.0,,,341.0,,,,,1100.0,4011.0,63601.0,-20999.0,,,-12093.0,,,,,,,,55502.0,2042000.0,0
13,26882,1676.0,,4.0,0.0001,75000000.0,2042000.0,2042000.0,204.0,,84137,,,0.0,3204.0,,,398.0,,780.0,,,82384,123.0,,,,,,0.0001,25000000.0,0.0,0.0,1100.0,,2762.0,-20999.0,,,-12093.0,,,,,,,,58556.0,,0
14,28719,,,4.0,0.0001,,,,,,89028,,,,73137.0,7645.0,,3729.0,,,,157.0,87275,,4011.0,-4011.0,,,385.0,,25000000.0,,0.0,1100.0,4011.0,64412.0,-20999.0,,0.04,,,,,,,,,68110.0,2042000.0,0
15,28545,1676.0,,,0.0001,75000000.0,2042000.0,2042000.0,204.0,,93549,,,-0.01,4750.0,,,792.0,,,,159.0,91826,127.0,,,,,,0.0001,25000000.0,0.0,0.0,1100.0,,3573.0,,,0.04,,,,,,,,,,,0
16,28664,1676.0,,,0.0001,75000000.0,2042000.0,2042000.0,204.0,,98495,,,-0.006,,14382.0,,,,,,183.0,96774,157.0,56602.0,-56475.0,,,1915.0,0.0001,,0.0,,1100.0,55502.0,,,,0.04,,,,,,,,,,2042000.0,0
17,31645,,,,0.0001,,,,,,104472,,,0.0,1546.0,7142.0,,394.0,,,,183.0,102775,30.0,8731.0,-8608.0,,,745.0,,25000000.0,,0.0,,8731.0,811.0,,,0.04,,,,,,,,,,,0
18,31645,,,,0.0001,,,,,,104472,,,-0.0034,,,,,,,,183.0,102775,,,,,,,,25000000.0,,0.0,1100.0,,,,,,,,,,,,,,,,0
19,31645,1676.0,,,0.0001,75000000.0,2042000.0,2042000.0,204.0,,104472,,,-0.01,80043.0,-5358.0,,4127.0,,,,183.0,102775,159.0,,,,,,0.0001,25000000.0,0.0,0.0,1100.0,,70920.0,,,,,,,,,,,,,,0
20,31645,1676.0,,4.0,0.0001,75000000.0,2042000.0,2042000.0,204.0,,104472,,,,11656.0,28719.0,,1190.0,,,,,102775,32.0,59656.0,-59529.0,,,1915.0,0.0001,,0.0,,1100.0,58556.0,10081.0,,,,,,,,,,,,,2042000.0,0
21,29682,,,,,,,,,,102509,,,,,1837.0,,,,,,8.0,100812,,3054.0,-3054.0,,,2240.0,,,,,,3054.0,,,,,,,,,,,,,,,0
22,30038,,,4.0,0.0001,,,,,,107288,,,-0.0024,6906.0,,,398.0,,,,45.0,105408,183.0,,,,,325.0,,,,,,,6508.0,,,,,,,,,,,,,,0
23,32523,1676.0,,,0.0001,75000000.0,2042000.0,2042000.0,204.0,,113135,,,0.0,,28545.0,,,,,,,111263,,64381.0,-64224.0,,,,0.0001,,0.0,,,63281.0,,,,,-12203.0,,,,,,,,,,0
24,33082,1676.0,,127.0,0.0001,75000000.0,2042000.0,2042000.0,204.0,,118637,,,0.0,84137.0,1663.0,,4578.0,,,,,116802,56.0,7779.0,-7749.0,,,,0.0001,,0.0,,,7779.0,74203.0,,,,-32192.0,,,,,,,,,2042000.0,0
