,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsPayableRelatedParties,AccountsPayableRelatedPartiesCurrent,AccountsPayableRelatedPartiesCurrentAndNoncurrent,AccountsReceivableNetCurrent,AccountsReceivableRelatedParties,AccountsReceivableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdjustmentsToAdditionalPaidInCapitalOther,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivable,AssetImpairmentCharges,AssetRetirementObligation,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashPeriodIncreaseDecrease,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,CommonStockAdditionalSeriesValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,CommonStockValueOutstanding,ConcentrationRiskPercentage1,ConstructionInProgressGross,CostOfGoodsSoldDepreciation,CostOfRevenue,DebtCurrent,DebtInstrumentDecreaseForgiveness,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,Depreciation,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DisposalGroupDeferredGainOnDisposal,DisposalGroupNotDiscontinuedOperationGainLossOnDisposal,DueToRelatedPartiesCurrent,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EntityWideRevenueMajorCustomerPercentage,GainLossOnDispositionOfAssets,GainLossOnSaleOfPropertyPlantEquipment,GainLossOnSalesOfAssetsAndAssetImpairmentCharges,GainsLossesOnExtinguishmentOfDebt,GrossProfit,ImpairmentOfLongLivedAssetsHeldForUse,ImpairmentOfOngoingProject,IncomeTaxCreditsAndAdjustments,IncomeTaxesPaid,IncomeTaxesReceivable,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInAccountsPayableTrade,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccountsReceivableRelatedParties,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInIncomeTaxes,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPaid,InterestRevenueExpenseNet,InventoryFinishedGoods,InventoryNet,InventoryRawMaterials,InventoryWorkInProcess,InventoryWriteDown,InvestmentIncomeInterest,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextRollingTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInRollingYearTwo,LongTermDebtNoncurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NonoperatingIncomeExpense,NotesAssumed1,NotesIssued1,NotesPayableRelatedPartiesClassifiedCurrent,OperatingIncomeLoss,OperatingLeaseLiabilityCurrent,OperatingLeaseRightOfUseAsset,OperatingLossCarryforwards,OtherAssetsCurrent,OtherIncome,OtherInventoryScrap,OtherNonoperatingIncome,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockSharesAuthorized,PrepaidExpenseCurrent,ProceedsFromIncomeTaxRefunds,ProceedsFromInsuranceSettlementInvestingActivities,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProceedsFromSaleOfEquityMethodInvestments,ProceedsFromSaleOfOtherAssets1,ProceedsFromSaleOfPropertyPlantAndEquipment,ProfitLoss,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOtherAccumulatedDepreciation,ProvisionForDoubtfulAccounts,RelatedPartyCosts,RepaymentsOfDebt,RepaymentsOfLongTermDebt,RepaymentsOfOtherDebt,RepaymentsOfRelatedPartyDebt,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,RevenueFromRelatedParties,Revenues,SalesRevenueFromEnergyCommoditiesAndServices,SalesRevenueGoodsNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsGranted,ShareBasedCompensationArrangementByShareBasedPaymentAwardNonOptionEquityInstrumentsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,SharePrice,ShortTermBorrowings,StockholdersEquity,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueShareBasedCompensation,TaxCreditCarryforwardValuationAllowance,y
10,328339,,,282566.0,,14507.0,,209552.0,24731,,,6134570.0,,,,,,874055.0,293373.0,122727.0,2348.0,-58022.0,,,,,,,,31254.0,31254.0,,137800.0,33265.0,170524.0,1690.0,,0.0,,458000.0,458000.0,,6050574.0,,,,,,,,,,-12389.0,,,,,,,-23968.0,,-208816.0,-25728.0,,,,-8617.0,-300.0,,,-4904.0,2022.0,8619.0,,0.0,60706.0,0.0,,,,758805,874055.0,688895,,54980.0,,,,69910.0,,-25681.0,-25252.0,-153839.0,14020.0,77358.0,0.0,,,,,2180000.0,400.0,,,46033.0,93559.0,95553.0,,,,5860.0,,,,,,,29429.0,,,,0.0,,,,580682.0,,,,,59446.0,,105929.0,,-6054460.0,49360.0,191400.0,164152.0,142040.0,31412.0,16667.0,,,,,,,64410.0,378888.0,,,,,,,0
11,328339,,,,,14507.0,,209552.0,24731,,,6134570.0,,,,,,874055.0,293373.0,176166.0,2348.0,-66764.0,-58022.0,,,,75000000.0,,,31254.0,31254.0,,92881.0,,,1690.0,,,,,,37966.0,6050574.0,,,,,,,,,,,,,,226.0,,36722.0,,,208816.0,25728.0,65.0,,,8617.0,,,,4904.0,8619.0,,,,60706.0,,,,,758805,874055.0,688895,,38314.0,,,,69910.0,-44339.0,-6200.0,,,84940.0,,,,-48648.0,,,,400.0,202.0,,99763.0,1290.0,44187.0,,55796.0,,5860.0,,,,,,,,,,,,-116962.0,,,580682.0,,,,26632.0,,,,1690.0,-6054460.0,,,,36865.0,,,,,,,,,105929.0,115250.0,,,,,,,0
12,360818,,,274916.0,,459.0,,165551.0,24796,,6482070.0,6134570.0,,,,,,771565.0,210797.0,14783.0,,20585.0,,,,0.001,75000000.0,,,31254.0,31254.0,,92881.0,,,0.0,,,,,,56990.0,5948089.0,,,,,,,,,,,,,,226.0,,2190787.0,,,14048.0,44001.0,450.0,,,22633.0,,,,-12417.0,1145.0,,,,38073.0,,,,,774336,771565.0,713690,,21465.0,,,,60646.0,-65192.0,-56960.0,,,44187.0,0.0,,,-92616.0,,,,1000.0,47.0,,78991.0,52440.0,77427.0,,114432.0,,956.0,,,,,,,,,,,0.0,-148155.0,,,554568.0,,,,19561.0,,,,1690.0,-6433691.0,,,,183304.0,,,,,,,,,,115250.0,,,,,,,0
13,404033,,,274916.0,,94668.0,,142101.0,25180,,6482070.0,6134570.0,,,,,,1031180.0,445947.0,2348.0,,229043.0,20585.0,,,0.001,75000000.0,,,33754.0,33754.0,,92881.0,35095.0,152771.0,0.0,,,,,,,5823050.0,,,,,,,,,,-91093.0,,,,,,,-7650.0,,80161.0,-67451.0,,,,39468.0,,,,-16058.0,2724.0,2724.0,,,100174.0,,,,,813445,1031180.0,770828,,21465.0,,,,42617.0,,,173875.0,-253958.0,93914.0,0.0,,,,,,,700.0,,,,99763.0,,,,,11370.0,,,,,,,,,,,0.0,,,,528273.0,,,,,22329.0,,0.0,,-6012427.0,41185.0,96773.0,,55588.0,24724.0,350000.0,,,,,,,,115250.0,,,,,,,0
14,365060,,,274916.0,,4666.0,,164851.0,26238,,6482070.0,,,,,,,1102104.0,453398.0,,,,371889.0,,,0.001,75000000.0,,,33754.0,,,,,,,,,,,,74948.0,,,,,,,,,,,,,,,0.0,,-1298955.0,,,-80161.0,67451.0,1507.0,,,-39468.0,,,,,1579.0,,,,117905.0,,,,,759330,1102104.0,730624,,,,,,28706.0,-11054.0,-144000.0,,,78254.0,,,,-43968.0,,,,700.0,1666.0,,78991.0,46033.0,-827.0,,130647.0,,7729.0,,,,,,,66494.0,,,,,-87736.0,,,510906.0,,,,3286.0,,,,1690.0,-6134985.0,,,,26827.0,,,,,,,,,,115250.0,,,,,,,0
15,2519127,,,,,2304054.0,,273482.0,25120,,6482070.0,,,,,,,3351828.0,2687327.0,,4758.0,,,,,0.001,200000000.0,,,,,,,118404.0,638459.0,,,,,,,,,,,,,,,,,,-280465.0,,,,0.0,,,-7650.0,,-9841.0,-44701.0,,,,57199.0,,,,-3572.0,4210.0,4210.0,,,13083.0,,,,,2891426,3351828.0,2876820,,5377.0,,,,14606.0,,,343538.0,-100117.0,132685.0,,,,,,,,700.0,,,,93914.0,,,,,4088.0,,,,,,,,,,,,,,,571620.0,,,,,44339.0,,,0.0,-6287517.0,154821.0,476398.0,,321577.0,110251.0,350000.0,,,,,,,,,,,,,,,0
16,2519127,,,,,2304054.0,,273482.0,25120,,,,,,,,,3351828.0,2687327.0,91920.0,,,229043.0,,,,,,,,,,,,,,,,,,,16879.0,,,,,,,,,,,,,,,,,-2347901.0,,,,,390.0,,,,,,,,1846.0,,,,13083.0,,,,,2891426,3351828.0,2876820,,7071.0,,,,14606.0,-26803.0,-183083.0,,,,,,,-193445.0,,,,,1464.0,,134957.0,,628938.0,,2643.0,,4088.0,,,,,,,30700.0,,,,,-349038.0,,,571620.0,,,,5691.0,65192.0,,,0.0,-6287517.0,,,,157425.0,,,,,,,,,,-2771.0,,,,,,,0
17,2519127,,,,,2304054.0,,273482.0,25120,,,,,,,,,3351828.0,2687327.0,91920.0,96934.0,,71152.0,,,,200000000.0,,,33754.0,,,,26114.0,126515.0,,,,,,,,,,,,,,,,,,-101180.0,,,,0.0,,,-7650.0,,2289547.0,63930.0,,,,-47623.0,,,,-3433.0,5849.0,4210.0,,,13083.0,,,,,2891426,3351828.0,2876820,,3286.0,,,,14606.0,,-40912.0,337847.0,-517596.0,55258.0,,,,,,,,,,,,,585559.0,,,,4088.0,,,,,,,,,,,,,,,571620.0,,,,9298.0,11054.0,,,0.0,-6287517.0,20440.0,51449.0,,31009.0,16986.0,350000.0,,,,,,,,217735.0,,,,,,,0
18,2519127,,,,,2304054.0,,273482.0,25120,,,,,,,,,3351828.0,2687327.0,91920.0,,,,,,,200000000.0,,,33754.0,,,,,,,,,,,,33682.0,,,,,,,,,,,,,,,,,-2305516.0,,,,,-2341.0,,,,,,,,,,,,13083.0,,,,,2891426,3351828.0,2876820,,3286.0,,,,14606.0,-43469.0,,,-118021.0,,,,,-100828.0,,,,700.0,1666.0,,55966.0,,,,4216.0,,4088.0,,,,,,,59450.0,,,,,-379231.0,,,571620.0,,,,13281.0,26803.0,,,,-6287517.0,,,,,,,,,,,,,,342774.0,,,,,,,0
19,1220171,,,274916.0,,1074202.0,,232182.0,22779,,6482070.0,,,,,,,2096021.0,1413774.0,,,,,,,0.001,,,,33754.0,,,,,652872.0,,,,,,,16803.0,,,,,,,,,,,,,,,,,-2250704.0,,,,,-3282.0,,,,,,,,,,,,12483.0,,,,,1579076,2096021.0,1578755,,2176.0,,,,321.0,-60318.0,,,102485.0,,,,,-225708.0,,,,700.0,0.0,,120111.0,,,,23268.0,,516.0,,,,,,,76650.0,,,,,42033.0,,,682247.0,,,,,,,,,-6336231.0,,,,,,0.0,,,,,,,,,,,,,,,0
20,171227,,,274916.0,,16693.0,,146244.0,21838,,6482070.0,,,,,,,922944.0,249192.0,,91920.0,,-61060.0,,,0.001,200000000.0,,,33754.0,,,,26294.0,421019.0,,,,,,,49532.0,,,,,,,,,,,191037.0,,,,402.0,,,31154.0,,-2287361.0,-127238.0,,,,28699.0,,,,-9904.0,1564.0,1564.0,,,41782.0,,,,,522961,922944.0,522961,,2176.0,,,,,,-114432.0,24577.0,,43379.0,,,,,,,,400.0,-70.0,,43678.0,,,,,,10175.0,,,,,,,,,,,,,,,673752.0,,,,,,,,,-6380348.0,53640.0,638350.0,,584710.0,21392.0,,,,,,,,,460402.0,,,,,,,0
21,213611,,,274916.0,,14440.0,,65680.0,22886,,6482070.0,,,,,,,861974.0,157169.0,,91920.0,,,,,0.001,200000000.0,,,,,,,,526357.0,,,,,,,,,,,,,,,,,,,,,,,,-65440.0,,,,,-2234.0,,,,,,,,,,,,44554.0,,,,,549727,861974.0,549727,,6760.0,,,,,89841.0,,,220506.0,,,,,-65206.0,,,,400.0,0.0,,,,,,23269.0,,6939.0,,,,,,,96450.0,,,,,421264.0,,,704805.0,,,,,,,,,-6480766.0,,,,,21391.0,,,,,,,,,460402.0,,,,,,,0
22,268423,,,,,5728.0,,0.0,39856,,6482070.0,,,,,,,716024.0,20528.0,,91920.0,,-70102.0,,,0.001,200000000.0,,,,,,,75975.0,1598310.0,,,,,,,15850.0,,,,,,,,,,,185462.0,,,,0.0,,,13245.0,,-2289614.0,-207802.0,,,,31471.0,,,,-3237.0,827.0,2272.0,,,10352.0,,,,,604660,716024.0,604660,,3153.0,,,,,,-130647.0,91137.0,227524.0,628938.0,,,,,,,,400.0,,,629878.0,,,,,,3704.0,,,,,,,24200.0,,,,,,,,695496.0,,,,,,,,,-6513176.0,149545.0,1859747.0,,1710202.0,53491.0,,,,,,,,,460402.0,,,,,,,0
23,268423,,,,,5728.0,,23187.0,39856,,,,,,,,,716024.0,20528.0,,91920.0,,,,,,200000000.0,,,,,,,,1731545.0,,,,,,,64083.0,,,,,,,,,,,,,,,202.0,,895.0,,,,,14736.0,,,,,,,,,,,,10352.0,,,,,604660,716024.0,604660,,1690.0,,,,,-19561.0,,,124675.0,585559.0,,,,-117831.0,,,,,,,,,,,0.0,,3704.0,,,,,,,50700.0,,,,,-80525.0,,,695496.0,,,,,,,,,-6513176.0,,,,,,,,,,,,,,,,,,,,,0
24,268423,,,,,5728.0,,34037.0,39856,,,,,,,,,716024.0,20528.0,93691.0,93691.0,,-60036.0,,,,,,,,,,,23567.0,1050778.0,,,,,,,,,,,,,,,,,,95602.0,,,,202.0,,,0.0,,-2287230.0,-273482.0,,,,-2731.0,,,,9788.0,2272.0,2795.0,,,10352.0,,,,,604660,716024.0,604660,,,,,,,,-2643.0,99389.0,56543.0,628946.0,,,,,,,,,-70.0,,586200.0,,,,0.0,,3704.0,,,,,,,70900.0,,,,,,,,695496.0,,,,,,,,,-6513176.0,75465.0,1169947.0,,1094482.0,15114.0,,,,,,,,,516945.0,,,,,,,0
25,268423,,,,,5728.0,,57205.0,39856,,,,,,,,,716024.0,20528.0,,33898.0,,,,,,,,,,,,,,1078675.0,,,,,,,8074.0,,,,,,,,,,,,,,,,,-22257.0,,,,,66.0,,,,,,,,,,,,10352.0,,,,,604660,716024.0,604660,,0.0,,,,,-26632.0,,,-60419.0,,,,,-52626.0,,,,400.0,0.0,,,,,,0.0,,3704.0,,,,,,,,,,,,-122556.0,,,695496.0,,,,,,,,,-6513176.0,,,,,,,,,,,,,,399983.0,,,,,,,0
26,202983,,,274916.0,,4776.0,,57205.0,39922,,6482070.0,,,,,,,711260.0,38664.0,,,,,,,0.001,,,,,,,,,,,,,,,,16238.0,,,,,,,,,,,,,,,,,-62928.0,,,,,8061.0,,,,,,,,,,,,12092.0,,,,,629127,711260.0,629127,,,,,,,-19561.0,,,,,,,,-157768.0,,,,400.0,,,,,,,,,467.0,,,,,,,,,,,,-233056.0,,,672596.0,,,,,,,,,-6578315.0,,,,,,,,,,,,,,111363.0,,,,,,,0
27,269318,,,274916.0,,3282.0,,57205.0,39998,,6482070.0,,,,,,,1097452.0,449110.0,25156.0,,,-8209.0,,,0.001,200000000.0,,,,,,,23166.0,76591.0,,,,,,,,,,,,,,,,,,10281.0,,,,,,,,,-2446.0,34037.0,,,,26164.0,,,,1427.0,2795.0,940.0,,,36516.0,,,,,594055,1097452.0,594055,,,,,,,,-23268.0,395666.0,,628866.0,,,,,,,,400.0,469.0,,119.0,,,,0.0,,13492.0,,,,,,,,,,,,,,,648342.0,,,,,,,,,-6630963.0,9768.0,110038.0,,110038.0,31992.0,,,,,,,,,111364.0,,,,,,,0
28,246166,,,276178.0,,3224.0,,,40167,,6482070.0,,,,,,,949159.0,305069.0,,,,,,,0.001,200000000.0,,,,,,,,,,,,,,,8164.0,,,,,,,,,,,,,,,,,-16345.0,,,,,5478.0,,,,,,,,,,,,28709.0,,,,,568320,949159.0,568320,,,,,,,-3286.0,,,,,,,,-39937.0,,,,400.0,0.0,,,,,,,,9312.0,,,,,,,,,,,,-48714.0,,,644090.0,,,,,,,,,-6669541.0,,168954.0,,,,,,,,,,,,111364.0,,,,,,,0
29,205496,,,276178.0,,250.0,,34053.0,61320,,6482070.0,,,,,,,774587.0,149800.0,344.0,,,-10710.0,,,,200000000.0,,,,,,,46546.0,205412.0,,,,,,,,,,,,,,,,,,-83004.0,,,,,,,,,-2504.0,57205.0,,,,18357.0,,,,-4180.0,299.0,1051.0,,,15318.0,,,,,546280,774587.0,546280,,,,,,,,-23269.0,278943.0,,-66.0,,,,,,,,400.0,,,510030.0,,,,0.0,,5131.0,,,,,,,,,,,,,,,624787.0,,,,,,,,,-6935447.0,,,,159186.0,54842.0,,,,,,,,,111364.0,,,,,,,0
30,205496,,,276178.0,,250.0,,56738.0,61320,,,,,,,,,774587.0,149800.0,344.0,,,,,,,,,,,,,,,,,,,,,,24492.0,,,,,,,,,,,,,,,,,4678.0,,,,,22846.0,,,,,,,,,,,,15318.0,,,,,546280,774587.0,546280,,,,,,,-5691.0,,,,,,,,-423569.0,,,,,0.0,,,,,,,,5131.0,,,,,,,,,,,,-92831.0,,,624787.0,,,,,,,,,-6935447.0,,58916.0,,,,,,,,,,,,111364.0,,,,,,,0
31,205496,,,276178.0,,250.0,,0.0,61320,,,,,,,,,774587.0,149800.0,344.0,,,-7980.0,,,,,,,,,,,23380.0,128821.0,,,,,,,,,,,,,,,,,,-93285.0,,,,,,,,,-5478.0,-23152.0,,,,4966.0,,,,-4108.0,940.0,1131.0,,,15318.0,,,,,546280,774587.0,546280,,,,,,,,0.0,113982.0,,-215.0,,,,,,,,,,,105.0,,,,,,5131.0,,,,,,,,,,,,,,,624787.0,,,,,,,,,-6935447.0,66293.0,,,49148.0,22850.0,,,,,,,,,,,,,,,,0
32,205496,,,,,250.0,,0.0,61320,,,,,,,,,774587.0,149800.0,344.0,,,,,,0.001,,,,,,,,,,,,,,,,8254.0,,,,,,,,,,,,,,,,,6601.0,,,,,42.0,,,,,,,,,,,,15318.0,,,,,546280,774587.0,546280,,,,,,,-9298.0,0.0,,,,,,,-36096.0,,,,,,,162.0,,,,,,5131.0,,,,,,,,,,,,-44117.0,,,624787.0,,,,,,,,,-6935447.0,,254060.0,,,,,,,,,,,,82133.0,,,,,,,0
33,189151,,,276178.0,,874.0,,,61362,,6482070.0,,,,,,,706284.0,100560.0,,,,,,,0.001,200000000.0,,,,,,,,,,,,,,,24492.0,,,,,,,,,,,,,,,,,17277.0,,,,,277.0,,,,,,,,,,,,15289.0,,,,,526691,706284.0,526691,,,,,,,-13281.0,,,,,,,,-72472.0,,,,400.0,,,720.0,,,,,,951.0,,,,,,,,,,,,-193249.0,,,605724.0,,,,,,,,,-6971613.0,,85106.0,,,,,,,,,,,,380839.0,,,,,,,0
34,210174,,,276178.0,,228.0,,,61597,,6482070.0,,,,,,,692814.0,105993.0,,,,-3200.0,,,0.001,200000000.0,,,,,,,23266.0,167422.0,,,,,,,0.0,,,,,,,,,,,-105582.0,,,,,,,,,-22.0,-57205.0,,,,10056.0,,,,-12451.0,1051.0,377.0,,,25374.0,,,,,557338,692814.0,557338,,,,,,,,0.0,-55369.0,,196.0,,,,,,,,400.0,,,558.0,,,,,,12817.0,,,,,,,,,,,,,,,586821.0,,,,,,,,,-7007989.0,98856.0,,,28581.0,33096.0,,,,,,,,,228307.0,,,,,,,0
35,212097,,,307332.0,,222.0,,,61597,,6482070.0,,,,,,,590712.0,22915.0,,,,,,,0.001,200000000.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,6692.0,,,,,277.0,,,,,,,,,,,,12065.0,,,,,555654,590712.0,555654,,,,,,,-2176.0,,,,,,,,-36376.0,,,,400.0,,,0.0,,,,,,8834.0,,,,,,,,,,,,-100417.0,,,567797.0,,,,,,,,,-7289120.0,,339537.0,,,,,,,,,,,,,,,,,,,0
36,222773,,,307332.0,,12046.0,,,69477,,,,,,,,,604406.0,54567.0,,,,-3480.0,,,,200000000.0,,,,,,,95336.0,580942.0,,,,,,,,,,,,,,,,,,-336741.0,,,,,,,,,-28.0,-57205.0,,,,-3253.0,,,,-3982.0,111.0,524.0,,,25810.0,,,,,601758,604406.0,601758,,,,,,,,0.0,-60804.0,,411.0,,,,,,,,400.0,,,,,,,,,4851.0,,,,,,,,,,,,,,,549839.0,,,,,,,,,-7311685.0,23800.0,,,240681.0,125297.0,,,,,,,,,228307.0,,,,,,,0
37,222773,,,307332.0,,12046.0,,,69477,,,,,,,,,604406.0,54567.0,20929.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,3684.0,,,,,8157.0,,,,,,,,,,,,25810.0,,,,,601758,604406.0,601758,,,,,,,25563.0,,,,,,,,-353603.0,,,,,,,,,,,,,4851.0,,,,,,,,,,,,-225659.0,,,549839.0,,,,,,,,,-7311685.0,,49224.0,,,,,,,,,,,,228307.0,,,,,,,0
38,222773,,,307332.0,,12046.0,,,69477,,,,,,,,,604406.0,54567.0,,,,-3480.0,,,,,,,,,,,25543.0,43949.0,,,,,,,,,,,,,,,,,,-51406.0,,,,,,,,,11796.0,0.0,,,,10492.0,,,,-3212.0,1131.0,671.0,,,25810.0,,,,,601758,604406.0,601758,,,,,,,,14271.0,-46755.0,,49.0,,,,,,,,,,,,,,,,,4851.0,,,,,,,,,,,,,,,549839.0,,,,,,,,,-7311685.0,,,,18086.0,371204.0,,,,,,,,,228307.0,,,,,,,0
39,222773,,,,,12046.0,,,69477,,6482070.0,,,,,,,604406.0,54567.0,372233.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9111.0,,,,0.0,5663.0,,,,,,,,,,,,25810.0,,,,,601758,604406.0,601758,,,,,,,34921.0,,,,,,,,-281131.0,,,,,,,,,,,,,4851.0,,,,,,,,,,,,-65139.0,,,549839.0,,,,,,,,,-7311685.0,,31138.0,,,,,,,,,,,,,,,,,,,0
40,229465,,,276178.0,,264.0,,,75140,,6482070.0,,,,,,,549446.0,16486.0,229387.0,,,0.0,,,0.001,200000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5807.0,,,,0.0,5801.0,,,,,,,,,,,,14225.0,,,,,611937,549446.0,611937,,,,,,,57558.0,,,,,,,,-376637.0,,,,400.0,,,,,,,,,869.0,,,,,,,,,,,,-117787.0,,,532960.0,,,,,,,,,-7358283.0,,102762.0,,,,,,,,,,,,135476.0,,,,,,,0
41,226457,,,276178.0,,2468.0,,,75278,,6482070.0,,,,,,,530117.0,28231.0,,,,,,,0.001,200000000.0,,,,,,,25827.0,141793.0,,,,,,,,,,,,,,,,,,-136482.0,,,,,,,,,-9578.0,,,,,-13787.0,,,,-9480.0,377.0,158.0,,,12023.0,,,,,645256,530117.0,645256,,,,,,,,14271.0,-48043.0,,44.0,,,,-23231.0,,,,400.0,,,,,,,,,10089.0,,,,,,,,,,,,,,,501886.0,,,,,,,,,-7381515.0,34624.0,,,7338.0,27813.0,,,,,,,,,35058.0,,,,,,,0
42,231884,,,274916.0,,228.0,,,75346,,,,,,,,,506392.0,20356.0,71496.0,,,,,,0.001,200000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7281.0,,,,,5869.0,,,,,,,,,,,,12023.0,,,,,660109,506392.0,660109,,,,,,,29010.0,,,,,,,,-46598.0,,,,400.0,,,,,,,,,6955.0,,,,,,,,,,,,-52649.0,,,486036.0,,,,,,,,,,,53538.0,,,,,,,,,,,,2648.0,,,,,,,0
43,196883,,,274916.0,,228.0,,,81865,,,,,,,,,279583.0,7929.0,71496.0,,,,,,,200000000.0,,,,,,,74674.0,301113.0,,,,,,,,,,,,,,,,,,-273025.0,,,,,,,,,-11818.0,,,,,-13787.0,,,,-3135.0,206.0,263.0,,,0.0,,,,,699206,279583.0,699206,,,,,,,,0.0,-59902.0,,-23.0,,,,-23367.0,,,,400.0,,,,,,,,,3821.0,,,,,,,,,,,,,,,271654.0,,,,,,,,,,81540.0,,,44338.0,436446.0,,,,,,,,,,,,,,,,0
44,196883,,,274916.0,,,,,81865,,,,,,,,,279583.0,7929.0,71496.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8433.0,,,,,12388.0,,,,,,,,,,,,,,,,,699206,279583.0,699206,,,,,,,57760.0,,,,,,,,-69830.0,,,,,,,,,,,,,3821.0,,,,,,,,,,,,-156365.0,,,271654.0,,,,,,,,,,,126403.0,,,,,,,,,,,,2648.0,,,,,,,0
45,196883,,,274916.0,,228.0,,,81865,,,,,,,,,279583.0,7929.0,71496.0,,,,,,,,,,,,,,23304.0,115371.0,,,,,,,,,,,,,,,,,,-85137.0,,,,,,,,,-11818.0,,,,,-15049.0,,,,-3821.0,524.0,368.0,,,,,,,,699206,279583.0,699206,,,,,,,,0.0,-79809.0,,1403.0,,,,-23232.0,,,,,,,,,,,,,3821.0,,,,,,,,,,,,,,,271654.0,,,,,,,,,,0.0,,,18914.0,37427.0,,,,,,,,,2648.0,,,,,,,0
46,196883,,,,,228.0,,,81865,,,,,,,,,279583.0,7929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-198.0,,,,,-67.0,,,,,,,,,,,,,,,,,699206,279583.0,699206,,,,,,,74960.0,,,,,,,,,,,,,,,,,,,,,3821.0,,,,,,,,,,,,-38578.0,,,271654.0,,,,,,,,,,24360.0,624.0,,,37429.0,,,,,,,,,2648.0,,,,,,,0
47,189602,,,274916.0,,228.0,,,81798,,,,,,,,,265079.0,1499.0,,,,,,,0.001,200000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3817.0,,,,,-44.0,,,0.0,,,,,,,,,,,,,,720868,265079.0,720868,,,,,,,94760.0,,,,,,,,,,,,400.0,,,,,,,,,686.0,,,,,,,,,,,,-422271.0,,,263580.0,,,,,,,,,,,,,,,,,,,,,,,-62491.0,,,,,,,0
