,AccountsPayableCurrent,AccountsReceivableNet,AccountsReceivableNetCurrent,AccrualForTaxesOtherThanIncomeTaxesCurrent,AccruedIncomeTaxesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdjustmentsToAdditionalPaidInCapitalShareBasedCompensationRestrictedStockUnitsRequisiteServicePeriodRecognition,AdvertisingExpense,AggregateIndebtedness,AllowanceForDoubtfulAccountsReceivable,AllowanceForDoubtfulAccountsReceivableChargeOffs,AllowanceForDoubtfulAccountsReceivableCurrent,AllowanceForDoubtfulAccountsReceivableWriteOffs,AmortizationOfIntangibleAssets,Assets,AssetsCurrent,BankOverdrafts,BusinessAcquisitionProFormaEarningsPerShareBasic,BusinessAcquisitionProFormaEarningsPerShareDiluted,BusinessAcquisitionsProFormaNetIncomeLoss,BusinessAcquisitionsProFormaRevenue,BusinessCombinationConsiderationTransferred1,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCashAndEquivalents,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentLiabilities,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedDeferredTaxLiabilities,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIndefiniteLivedIntangibleAssets,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibles,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedPropertyPlantAndEquipment,BusinessCombinationRecognizedIdentifiableAssetsAcquiredGoodwillAndLiabilitiesAssumedNet,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockDividendsPerShareDeclared,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ContractWithCustomerAssetNetCurrent,ContractWithCustomerAssetNetNoncurrent,ContractWithCustomerLiability,ContractWithCustomerLiabilityCurrent,ContractWithCustomerLiabilityNoncurrent,ContributionOfProperty,CostOfGoodsAndServicesSoldDepreciationAndAmortization,CostOfServices,CostOfServicesDepreciationAndAmortization,CostsAndExpenses,CumulativeEffectOfNewAccountingPrincipleInPeriodOfAdoption,CurrentFederalTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtCurrent,DebtInstrumentCarryingAmount,DebtInstrumentIncreaseAdditionalBorrowings,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentUnamortizedDiscount,DebtInstrumentUnamortizedDiscountCurrent,DebtWeightedAverageInterestRate,DeferredCompensationLiabilityClassifiedNoncurrent,DeferredCompensationLiabilityCurrent,DeferredCostsAndOtherAssets,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilities,DeferredIncomeTaxLiabilitiesNet,DeferredRevenue,DeferredRevenueCurrent,DeferredRevenueNoncurrent,DeferredTaxAssetsGross,DeferredTaxAssetsGrossNoncurrent,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOther,DeferredTaxAssetsStateTaxes,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccruals,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAccruedLiabilities,DeferredTaxAssetsUnrealizedCurrencyLosses,DeferredTaxLiabilities,DeferredTaxLiabilitiesDerivatives,DeferredTaxLiabilitiesGoodwillAndIntangibleAssetsIntangibleAssets,DeferredTaxLiabilitiesGrossNoncurrent,DeferredTaxLiabilitiesInvestments,DeferredTaxLiabilitiesLeasingArrangements,DeferredTaxLiabilitiesNoncurrent,DeferredTaxLiabilitiesPrepaidExpenses,DeferredTaxLiabilitiesPropertyPlantAndEquipment,DefinedContributionPlanEmployerDiscretionaryContributionAmount,Depreciation,DepreciationAndAmortization,DerivativeAssetsCurrent,DerivativeAssetsNoncurrent,DerivativeLiabilitiesCurrent,DerivativeLiabilitiesNoncurrent,DerivativeVariableInterestRate,Dividends,DividendsPayableAmountPerShare,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EffectiveIncomeTaxRateReconciliationDeductionsOther,EffectiveIncomeTaxRateReconciliationDispositionOfBusiness,EffectiveIncomeTaxRateReconciliationForeignIncomeTaxRateDifferential,EffectiveIncomeTaxRateReconciliationNondeductibleExpense,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxContingencies,EffectiveIncomeTaxRateReconciliationTaxExemptIncome,EmployeeRelatedLiabilitiesCurrent,EquityMethodInvestmentDividendsOrDistributions,EquityMethodInvestmentSummarizedFinancialInformationCurrentAssets,EquityMethodInvestmentSummarizedFinancialInformationCurrentLiabilities,EquityMethodInvestmentSummarizedFinancialInformationEquity,EquityMethodInvestmentSummarizedFinancialInformationIncomeLossFromContinuingOperationsBeforeExtraordinaryItems,EquityMethodInvestmentSummarizedFinancialInformationNetIncomeLoss,EquityMethodInvestmentSummarizedFinancialInformationNoncurrentAssets,EquityMethodInvestmentSummarizedFinancialInformationNoncurrentLiabilities,EquityMethodInvestmentSummarizedFinancialInformationRevenue,FederalIncomeTaxExpenseBenefitContinuingOperations,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseAfterYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseRemainderOfFiscalYear,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsGross,GainLossOnDispositionOfAssets,GainLossOnInvestments,GainLossOnSaleOfEquityInvestments,GainLossOnSaleOfOtherInvestments,Goodwill,GoodwillPeriodIncreaseDecrease,GrantsReceivable,GuaranteeObligationsCurrentCarryingValue,GuaranteeObligationsLiquidationProceedsPercentage,GuarantyLiabilities,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromEquityMethodInvestments,IncomeTaxExaminationInterestAccrued,IncomeTaxExaminationPenaltiesAndInterestAccrued,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxExpenseBenefitContinuingOperationsAdjustmentOfDeferredTaxAssetLiability,IncomeTaxesPaidNet,IncomeTaxesReceivable,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInDeferredCharges,IncreaseDecreaseInDeferredCompensation,IncreaseDecreaseInDeferredIncomeTaxes,IncreaseDecreaseInIncomeTaxesReceivable,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherAccruedLiabilities,IncreaseDecreaseInOtherOperatingCapitalNet,IncreaseDecreaseInOutstandingChecksOperatingActivities,IncreaseDecreaseInPrepaidExpense,IncreaseDecreaseInPropertyAndOtherTaxesPayable,IncreaseDecreaseInReceivables,IncrementalCommonSharesAttributableToNonvestedSharesWithForfeitableDividends,IncrementalCommonSharesAttributableToShareBasedPaymentArrangements,IndefiniteLivedIntangibleAssetsExcludingGoodwill,IntangibleAssetsGrossExcludingGoodwill,IntangibleAssetsNetExcludingGoodwill,InterestExpense,InterestPaid,InterestPaidNet,InterestRateDerivativeAssetsAtFairValue,InventoryNet,InvestmentIncomeDividend,InvestmentIncomeInterest,InvestmentIncomeInterestAndDividend,InvestmentsAndOtherNoncurrentAssets,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,IssuanceOfStockAndWarrantsForServicesOrClaims,LesseeOperatingLeaseDiscountRate,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LiabilityForUncertainTaxPositionsNoncurrent,LineOfCreditFacilityAmountOutstanding,LineOfCreditFacilityMaximumBorrowingCapacity,LoanProcessingFee,LongTermDebt,LongTermDebtAndCapitalLeaseObligations,LongTermDebtCurrent,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtNoncurrent,LongtermDebtWeightedAverageInterestRate,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossAvailableToCommonStockholdersDiluted,NoncashOrPartNoncashAcquisitionFixedAssetsAcquired1,NonoperatingIncomeExpense,NumberOfReportableSegments,OperatingIncomeLoss,OperatingLeaseExpense,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeaseRightOfUseAsset,OtherAccruedLiabilitiesCurrent,OtherAccruedLiabilitiesNoncurrent,OtherAssets,OtherAssetsNoncurrent,OtherComprehensiveIncomeLossNetOfTax,OtherComprehensiveIncomeLossNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodBeforeTax,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodNetOfTax,OtherComprehensiveIncomeUnrealizedGainLossOnDerivativesArisingDuringPeriodTax,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherCostOfOperatingRevenue,OtherCostOfServices,OtherInventory,OtherInvestments,OtherLiabilitiesNoncurrent,OtherSalesRevenueNet,PaymentsForProceedsFromInvestments,PaymentsForProceedsFromOtherInvestingActivities,PaymentsForRepurchaseOfCommonStock,PaymentsOfDividends,PaymentsOfLoanCosts,PaymentsToAcquireBusinessesGross,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireIntangibleAssets,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,PrepaidExpenseCurrent,ProceedsFromIssuanceOfDebt,ProceedsFromIssuanceOfLongTermDebt,ProceedsFromRepaymentsOfLinesOfCredit,ProceedsFromSaleOfProductiveAssets,ProceedsFromSaleOfPropertyPlantAndEquipment,ProfessionalAndContractServicesExpense,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,ProvisionForDoubtfulAccounts,PublicUtilitiesPropertyPlantAndEquipmentDisclosureOfCompositeDepreciationRateForPlantsInService,ReceivablesNetCurrent,RelatedPartyTransactionExpensesFromTransactionsWithRelatedParty,RepaymentsOfLongTermDebt,RestrictedStockExpense,RetainedEarningsAccumulatedDeficit,RevenueFromContractWithCustomerExcludingAssessedTax,RevenueFromGrants,RevenueFromRelatedParties,Revenues,SalesRevenueNet,SalesRevenueServicesNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAvailableForGrant,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsExercisesInPeriodWeightedAverageExercisePrice,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,SharesIssuedPricePerShare,StockGrantedDuringPeriodValueSharebasedCompensation,StockGrantedDuringPeriodValueSharebasedCompensationGross,StockholdersEquity,StockIssuedDuringPeriodValueEmployeeStockPurchasePlan,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueRestrictedStockAwardGross,StockIssuedDuringPeriodValueShareBasedCompensation,StockIssuedDuringPeriodValueStockOptionsExercised,StockRepurchasedAndRetiredDuringPeriodValue,StockRepurchasedDuringPeriodValue,UnrealizedGainLossOnDerivatives,UnrealizedGainLossOnInvestments,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsInterestOnIncomeTaxesAccrued,UnrecognizedTaxBenefitsThatWouldImpactEffectiveTaxRate,UnrecordedUnconditionalPurchaseObligationImputedInterest,ValuationAllowancesAndReservesBalance,ValuationAllowancesAndReservesDeductions,ValuationAllowancesAndReservesRecoveries,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfSharesOutstandingBasicAndDiluted,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,DebtInstrumentBasisSpreadOnVariableRate1,EffectiveIncomeTaxRateReconciliationTaxSettlementsForeign,PaymentsToAcquireOtherProductiveAssets,RelatedPartyCosts,DerivativeInstrumentsAndHedges,LiabilitiesOtherThanLongtermDebtNoncurrent,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingNumber,EmployeeBenefitsAndShareBasedCompensationNoncash,DebtInstrumentFaceAmount,LineOfCredit,LineOfCreditFacilityCommitmentFeePercentage,LineOfCreditFacilityCurrentBorrowingCapacity,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedDividendRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsOtherShareIncreaseDecreaseInPeriodWeightedAverageExercisePrice,DeferredTaxAssetsOperatingLossCarryforwardsDomestic,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,DeferredTaxLiabilitiesUnrealizedGainsOnTradingSecurities,OperatingLeaseWeightedAverageDiscountRatePercent,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestAccrued,RelatedPartyTransactionAmountsOfTransaction,RelatedPartyTransactionPurchasesFromRelatedParty,ContractWithCustomerAssetNet,GainLossOnSaleOfInvestments,ProceedsFromSaleOfOtherInvestments,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsVestedAndExpectedToVestOutstandingWeightedAverageExercisePrice,y
0,1154791,1431558.0,3977322.0,187220,103693.0,68186857,-1700173.0,5448.0,209580.0,39000000.0,794637.0,-737255.0,120000.0,-189898.0,1038376.0,120436603,7442732,720027.0,1.69,1.69,1017905.0,18890060.0,42136493.0,4388.0,810927.0,370898.0,5532014.0,13600000.0,13600000.0,23800000.0,42140881.0,1221717.0,3320510.0,-794020.0,1173535.0,0.0,0.36,1.66,90000000.0,5115435.0,5115435.0,8525725.0,2020196.0,11466.0,32473.0,523296.0,93656.0,194458.0,-467280.0,2433761.0,4986547.0,9416186.0,28609647.0,736297.0,402617.0,439743.0,2700000.0,3000000.0,11900000.0,0.0226,-355070.0,59178.0,0.0552,1128863.0,670533.0,77478.0,272348.0,20310515.0,16470055.0,229134.0,3074.0,132251.0,669050.0,-19418249.0,1246640.0,-241761.0,0.0,196826.0,80567.0,588991.0,647766.0,74335.0,13235132.0,-124538.0,6770867.0,20166649.0,637090.0,444770.0,13476518.0,-586849.0,6346089.0,405688.0,3789370.0,9455416.0,18860.0,4357.0,92658.0,2038519.0,0.25,1841557.0,0.0875,1.5,0.32,1.5,0.4259,0.35,-0.4968,0.0223,-0.4997,-0.0051,-0.0005,0.0718,0.0027,-0.01,612216.0,235251.0,3065977.0,44210503.0,66053073.0,2533162.0,784518.0,120762774.0,13565175.0,13304132.0,48914.0,7762484.0,2355083.0,1649992.0,1038283.0,1647939.0,1648605.0,1649992.0,1649992.0,27978445.0,-15597.0,109043.0,1045599.0,-104044.0,29707100.0,170557.0,850486.0,303627.0,0.5,317576000000.0,3558383.0,-111546.0,706715.0,19136.0,0.0,1915555.0,1503917.0,-4549332.0,5587231.0,85218.0,-4549332.0,1029782.0,-644932.0,-1570860.0,-30834.0,-914338.0,-1642103.0,2355719.0,163629.0,-688505.0,-14000.0,720027.0,-102674.0,1258.0,-63687.0,3541.0,3289.0,27978445.0,38448445.0,22292714,2948004.0,2807179.0,897301.0,5000000.0,1946831.0,556318.0,108498.0,90861.0,76603155,20237342.0,7000.0,0.06,823094.0,460992.0,500572.0,50397.0,50397.0,50397.0,108309.0,102602.0,240006.0,120436603,7444580,17211371.0,94952.0,7700000.0,5200000.0,-390610.0,43508054.0,43334883.0,3458976.0,4113000.0,0.0,0.0,0.0,42494385.0,39809171.0,0.0552,-3860561.0,-3280889.0,6347430.0,1642828.0,7763919.0,7763919.0,533043.0,-865403.0,1.0,4423786.0,34201.0,599308.0,100844.0,498464.0,599308.0,1880402,86937,223997.0,77478.0,885939.0,377368.0,427050.0,201468.0,172826.0,175900.0,491888.0,2234204.0,1708042.0,4142002,194458.0,4395640.0,-1890000.0,282000.0,180180.0,1841557.0,390610.0,42000000.0,1600000.0,283689.0,5540308.0,1.66,10000000.0,0.0,0.0,0.0,770589.0,345905.0,3300000.0,400000.0,-352959.0,4282.0,4282.0,0.0,453506.0,104577573,36390716,5777342,-242618.0,0.064,1662224.0,544406.0,2419004.0,5448.0,45620217,9356253.0,244125.0,1078354.0,11629129.0,33033433.0,6322309.0,7056184.0,5448.0,625000.0,569392.0,18.5,13.0,13.0,20112.0,8172.0,51701902.0,73906.0,100800.0,54149.0,100800.0,-47880.0,171601.0,104802.0,338432.0,109043.0,36317.0,36317.0,163333.0,94952.0,0.0,143866.0,248997.0,300000.0,-204882.0,14984.0,5174184.0,5115435.0,5170895.0,5115435.0,2993000.0,0.0325,-0.0383,311145.0,553271.0,916460.0,22141995.0,122669.0,28792.0,130000000.0,50000000.0,0.0025,11100000.0,21.2,0.0244,0.181,0.01515,21.9,3472536.0,19668.0,632007.0,0.06,4102.0,643855.0,544931.0,662437.0,4087207.0,5576804.0,21.2,0
1,1154791,1431558.0,3977322.0,187220,74363.0,68186857,-1700173.0,13620.0,187009.0,39000000.0,,-189898.0,60500.0,-241508.0,1557564.0,120436603,7442732,,1.61,1.6,395535.0,9420039.0,42136493.0,4388.0,810927.0,370898.0,5532014.0,13600000.0,13600000.0,23800000.0,42140881.0,1221717.0,2526490.0,-381478.0,-257323.0,0.0,0.16,1.66,90000000.0,5115435.0,5115435.0,8525725.0,2202167.0,43939.0,64942.0,505443.0,93656.0,194458.0,306717.0,4867302.0,2752508.0,4938999.0,13950584.0,,914980.0,361646.0,3375000.0,,11000000.0,0.0224,-295892.0,59178.0,0.0552,1128863.0,670533.0,148477.0,3910.0,19677988.0,16470055.0,135790.0,64101.0,196352.0,1312612.0,-19161144.0,1246640.0,-125817.0,380409.0,179622.0,26408.0,647766.0,687725.0,776730.0,19515140.0,,10243221.0,19418249.0,956414.0,,13476518.0,-588991.0,9594274.0,423184.0,5283967.0,4958537.0,28178.0,20116.0,92658.0,2038519.0,,1636939.0,,0.44,0.16,0.44,-0.1301,0.35,,0.0448,,0.006,-0.0012,-0.0152,,-0.01,679158.0,200000.0,,,,1297479.0,445474.0,,,6759953.0,48914.0,7762484.0,2469083.0,1649992.0,519094.0,1647939.0,1648605.0,1649992.0,1649992.0,27978445.0,0.0,,4338.0,47640.0,29707100.0,,736598.0,303627.0,0.5,310642000.0,1297551.0,,284629.0,19136.0,0.0,482722.0,-365477.0,,-842000.0,85218.0,,-462984.0,-506124.0,103693.0,-23922.0,-462880.0,-662687.0,-1297869.0,163290.0,41346.0,48900.0,,241762.0,-2758.0,174001.0,4221.0,6321.0,38448445.0,38448445.0,22292714,1387740.0,1378252.0,1091276.0,5000000.0,2276368.0,513436.0,84408.0,35709.0,76603155,20237342.0,39200.0,0.06,788892.0,460992.0,290163.0,50397.0,50397.0,50397.0,108308.0,68401.0,379099.0,120436603,7444580,17211371.0,94952.0,5800000.0,6100000.0,-10347.0,46607385.0,43334883.0,3458976.0,40707730.0,0.0,0.0,0.0,0.0,42494385.0,,-2307435.0,-4024224.0,5950181.0,814829.0,2292300.0,2292300.0,225548.0,-413958.0,1.0,1711509.0,132267.0,599308.0,100844.0,498464.0,599308.0,1880402,86937,223997.0,77478.0,634921.0,151562.0,258598.0,-56445.0,104653.0,208007.0,1007720.0,643580.0,1708042.0,4142002,185619.0,1778389.0,-4338.0,42000.0,,818470.0,10347.0,42000000.0,1600000.0,,2382224.0,1.66,10000000.0,0.0,0.0,0.0,770589.0,345905.0,3300000.0,400000.0,-90571.0,4282.0,,1894.0,533043.0,104577573,36390716,5777342,-65603.0,0.054,1662224.0,458509.0,1488965.0,,45620217,18817820.0,896221.0,1156879.0,23345121.0,15662093.0,3327219.0,3151179.0,13620.0,625000.0,559156.0,18.5,17.0,17.0,-5174.0,31479.0,51880541.0,73906.0,100800.0,34037.0,100800.0,,171601.0,,-94816.0,,94952.0,118030.0,,143866.0,3208.0,143866.0,,173200.0,,,5183576.0,,5177255.0,5115435.0,8617660.0,,,2479951.0,544931.0,1590396.0,22141995.0,,,130000000.0,50000000.0,,,21.2,0.0244,0.181,0.01515,21.9,,,,,,501187.0,496028.0,701963.0,,,14.7,0
2,1154791,1431558.0,2687724.0,187220,162644.0,68186857,-1700173.0,13620.0,,39000000.0,794637.0,,60500.0,,2076753.0,120436603,7442732,,,,1466975.0,28180730.0,42180283.0,4388.0,810927.0,370898.0,5532014.0,13600000.0,13600000.0,23800000.0,42140881.0,1221717.0,2526490.0,-130863.0,3696121.0,,0.08,1.66,90000000.0,5115435.0,5115435.0,8525725.0,983320.0,22797.0,97652.0,466132.0,93656.0,194458.0,,2433541.0,1452214.0,2477384.0,7090606.0,,,,,,46800000.0,0.0242,,,0.0654,1128863.0,670533.0,,78237.0,,16470055.0,251339.0,46071.0,251339.0,,,1246640.0,125817.0,,,,,,,,,,,,345876.0,13476518.0,,9547437.0,,6933640.0,7416405.0,28178.0,,92658.0,2038519.0,,1636939.0,,0.94,0.03,0.93,,,,,,,,,0.003,,679158.0,200000.0,,,,4150419.0,1437780.0,,,20313870.0,48914.0,7762484.0,2469083.0,2471233.0,1853425.0,2469083.0,2469256.0,2471233.0,2471233.0,27978445.0,,-104044.0,,,29707100.0,,,303627.0,,303627000.0,77450.0,,109089.0,19136.0,0.0,-65684.0,,,-795000.0,85218.0,,-462631.0,-478761.0,,-53087.0,-587758.0,,-1447087.0,256069.0,325390.0,48900.0,,454330.0,16765.0,-40560.0,4900.0,7219.0,,38448445.0,22292714,696133.0,2055901.0,267358.0,33000000.0,2276368.0,0.0,12799.0,209102.0,76603155,20237342.0,65800.0,0.06,2031017.0,571993.0,301376.0,272399.0,272399.0,286262.0,496672.0,131292.0,356494.0,120436603,7444580,17211371.0,,40700000.0,,-22826.0,,43334883.0,3458976.0,2700000.0,2700000.0,2700000.0,2700000.0,2700000.0,42494385.0,,-3451169.0,-5234507.0,8554813.0,143134.0,4850220.0,4850220.0,,-508722.0,1.0,586172.0,68401.0,574097.0,100844.0,498464.0,599308.0,1268186,86937,188785.0,58109.0,634921.0,307151.0,664414.0,-56445.0,378578.0,208007.0,515832.0,324186.0,1708042.0,4142002,17610980.0,866185.0,-4338.0,42000.0,104802.0,1227704.0,22826.0,42000000.0,1600000.0,310106.0,3596845.0,1.66,10000000.0,0.0,0.0,,770589.0,345905.0,3300000.0,400000.0,-76829.0,4282.0,,6703.0,,104577573,36390716,5777342,65603.0,,1662224.0,,2223465.0,,45620217,9461567.0,1813996.0,,11715992.0,7676778.0,1682748.0,1583418.0,,625000.0,559156.0,18.5,21.9,,,23307.0,51880541.0,73906.0,100800.0,90311.0,100800.0,-47880.0,-171601.0,,357807.0,-104044.0,94952.0,,,115873.0,,143866.0,,,,,5189658.0,5115435.0,5182439.0,5115435.0,8617660.0,,,2811799.0,,2356042.0,22141995.0,,61903.0,,,,,21.2,0.0244,0.181,0.01515,,,,,0.06,3518.0,,,794193.0,,,,0
