,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsPayableAndOtherAccruedLiabilities,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccretionExpense,AccruedLiabilitiesCurrent,AccruedProfessionalFeesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AcquisitionCosts,AdditionalPaidInCapital,AdjustmentForAmortization,AdjustmentsNoncashItemsToReconcileNetIncomeLossToCashProvidedByUsedInOperatingActivities,AdjustmentsToAdditionalPaidInCapitalOther,AdministrativeFeesExpense,AllocatedShareBasedCompensationExpense,AmortizationOfDebtDiscountPremium,AmortizationOfFinancingCosts,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,AssetRetirementObligation,AssetRetirementObligationAccretionExpense,AssetRetirementObligationCurrent,AssetRetirementObligationLiabilitiesIncurred,AssetRetirementObligationPeriodIncreaseDecrease,AssetRetirementObligationsNoncurrent,Assets,AssetsCurrent,AssetsHeldInTrust,CapitalizedCostsMineralInterestsInProvedProperties,CapitalLeaseObligationsCurrent,CapitalLeaseObligationsIncurred,CapitalLeaseObligationsNoncurrent,CapitalLeasesFutureMinimumPaymentsDue,CapitalLeasesFutureMinimumPaymentsDueCurrent,CapitalLeasesFutureMinimumPaymentsDueInTwoYears,CapitalLeasesFutureMinimumPaymentsInterestIncludedInPayments,CapitalLeasesFutureMinimumPaymentsPresentValueOfNetMinimumPayments,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CommitmentsAndContingencies,CommonStockAdditionalSeriesParOrStatedValuePerShare,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ConversionOfStockAmountConverted1,ConversionOfStockSharesConverted1,ConvertibleDebtCurrent,ConvertibleDebtNoncurrent,ConvertiblePreferredStockConvertedToOtherSecurities,ConvertiblePreferredStockSharesIssuedUponConversion,CustodyFees,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DebtConversionOriginalDebtAmount1,DebtInstrumentCarryingAmount,DebtInstrumentConvertibleCarryingAmountOfTheEquityComponent,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentInterestRateDuringPeriod,DebtInstrumentInterestRateStatedPercentage,DebtInstrumentPeriodicPayment,DebtInstrumentPeriodicPaymentInterest,DebtInstrumentPeriodicPaymentPrincipal,DebtorReorganizationItemsImpairmentLoss,DebtWeightedAverageInterestRate,DeferredIncomeTaxLiabilities,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOperatingLossCarryforwardsStateAndLocal,DeferredTaxAssetsOther,DeferredTaxAssetsPropertyPlantAndEquipment,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefits,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsShareBasedCompensationCost,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAssetRetirementObligations,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilitiesPropertyPlantAndEquipment,Depreciation,DepreciationAmortizationAndAccretionNet,DepreciationAndAmortization,DepreciationDepletionAndAmortization,DerivativeFixedInterestRate,DerivativeLiabilitiesCurrent,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DilutiveSecurities,DueToRelatedPartiesCurrent,DueToRelatedPartiesCurrentAndNoncurrent,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationNondeductibleExpense,EffectiveIncomeTaxRateReconciliationOtherReconcilingItemsPercent,EffectiveIncomeTaxRateReconciliationTaxCreditsOther,EffectiveIncomeTaxRateReconciliationTaxSettlementsOther,EmployeeBenefitsAndShareBasedCompensation,EmployeeRelatedLiabilitiesCurrent,EnergyMarketingContractLiabilitiesCurrent,EquityMethodInvestmentOwnershipPercentage,EscrowDeposit,ExplorationExpense,ExtinguishmentOfDebtGainLossNetOfTax,FairValueAssumptionsRiskFreeInterestRate,FinancingInterestExpense,FurnitureAndFixturesGross,GainLossOnContractTermination,GainLossOnDerivativeInstrumentsNetPretax,GainLossOnDispositionOfAssets,GainLossOnDispositionOfAssets1,GainLossOnSaleOfDerivatives,GainLossOnSaleOfInvestments,GainLossOnSaleOfOtherAssets,GainLossOnSaleOfPropertyPlantEquipment,GainLossOnSaleOfSecuritiesNet,GainLossRelatedToLitigationSettlement,GainsLossesOnExtinguishmentOfDebt,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExaminationPenaltiesAndInterestExpense,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,IncomeTaxReconciliationNondeductibleExpense,IncomeTaxReconciliationNondeductibleExpenseOther,IncomeTaxReconciliationOtherAdjustments,IncomeTaxReconciliationTaxCreditsOther,IncomeTaxReconciliationTaxSettlementsOther,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedLiabilities,IncreaseDecreaseInAccruedSalaries,IncreaseDecreaseInAssetRetirementObligations,IncreaseDecreaseInDeposits,IncreaseDecreaseInDepositsOutstanding,IncreaseDecreaseInDerivativeAssets,IncreaseDecreaseInDerivativeLiabilities,IncreaseDecreaseInEmployeeRelatedLiabilities,IncreaseDecreaseInFairValueOfUnhedgedDerivativeInstruments,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInInventories,IncreaseDecreaseInNotesReceivables,IncreaseDecreaseInPrepaidDeferredExpenseAndOtherAssets,IncreaseDecreaseInPrepaidExpense,IncrementalCommonSharesAttributableToConversionOfDebtSecurities,IncrementalCommonSharesAttributableToConversionOfPreferredStock,InterestAndOtherIncome,InterestExpense,InterestExpenseBorrowings,InterestExpenseDebt,InterestExpenseDebtExcludingAmortization,InterestExpenseOther,InterestExpenseRelatedParty,InterestOnConvertibleDebtNetOfTax,InterestPaid,InterestPaidNet,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,InventoryAdjustments,InventoryFinishedGoods,InventoryFinishedGoodsNetOfReserves,InventoryGross,InventoryNet,InventoryNoncurrent,InventoryRawMaterialsAndSupplies,InventorySuppliesNetOfReserves,InventoryWorkInProcess,InventoryWorkInProcessNetOfReserves,InventoryWriteDown,InvestmentIncomeInterest,IssuanceOfStockAndWarrantsForServicesOrClaims,LaborAndRelatedExpense,LeaseAndRentalExpense,LegalFees,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesNoncurrent,LongTermDebt,LongTermDebtCurrent,LongTermDebtFairValue,LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree,LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo,LongTermDebtNoncurrent,LongTermNotesPayable,LossOnContractTermination,MachineryAndEquipmentGross,MarketableSecuritiesGainLoss,MineralPropertiesAccumulatedDepletion,MineralPropertiesGross,MineralPropertiesNet,MineralRights,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,NetIncomeLossAvailableToCommonStockholdersDiluted,NoncashOrPartNoncashAcquisitionPayablesAssumed1,NonoperatingIncomeExpense,NotesPayable,NotesPayableCurrent,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,NotesPayableRelatedPartiesNoncurrent,NotesPayableToBankNoncurrent,NotesReceivableNet,OfficersCompensation,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherCostAndExpenseOperating,OtherExpenses,OtherLiabilitiesNoncurrent,OtherLongTermDebtCurrent,OtherLongTermNotesPayable,OtherNonoperatingExpense,OtherNotesPayable,OtherNotesPayableCurrent,OtherOperatingIncomeExpenseNet,OtherShortTermBorrowings,OtherSignificantNoncashTransactionValueOfConsiderationReceived1,PaymentsForAdvanceToAffiliate,PaymentsForFees,PaymentsForRent,PaymentsForRoyalties,PaymentsOfFinancingCosts,PaymentsRelatedToTaxWithholdingForShareBasedCompensation,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireMineralRights,PaymentsToAcquireMiningAssets,PaymentsToAcquireNotesReceivable,PaymentsToAcquirePropertyPlantAndEquipment,PreferredStockNoParValue,PreferredStockParOrStatedValuePerShare,PreferredStockRedemptionDiscount,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,PreferredStockValue,PrepaidExpenseAndOtherAssetsCurrent,ProceedsFromCollectionOfNotesReceivable,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfFirstMortgageBond,ProceedsFromIssuanceOfPreferredStockAndPreferenceStock,ProceedsFromNotesPayable,ProceedsFromOtherDebt,ProceedsFromOtherShortTermDebt,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfShortTermDebt,ProceedsFromSaleAndCollectionOfNotesReceivable,ProceedsFromSaleAndMaturityOfMarketableSecurities,ProceedsFromSaleOfMachineryAndEquipment,ProceedsFromSaleOfNotesReceivable,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromSecuredNotesPayable,ProceedsFromShortTermDebt,ProductionCosts,ProfitLoss,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentGrossPeriodIncreaseDecrease,PropertyPlantAndEquipmentNet,PropertyPlantAndEquipmentOther,PropertyPlantAndEquipmentOwnedAccumulatedDepreciation,ProvisionForDoubtfulAccounts,RepaymentsOfConvertibleDebt,RepaymentsOfDebtAndCapitalLeaseObligations,RepaymentsOfFirstMortgageBond,RepaymentsOfNotesPayable,RepaymentsOfShortTermDebt,RetainedEarningsAccumulatedDeficit,Revenues,RoyaltyExpense,SalariesAndWages,SalariesWagesAndOfficersCompensation,SaleOfStockConsiderationReceivedPerTransaction,SaleOfStockNumberOfSharesIssuedInTransaction,SaleOfStockPricePerShare,SaleOfTrustAssetsToPayExpenses,SalesRevenueNet,SalesTypeLeaseLeaseReceivable,SecuritiesBorrowedAmountOffsetAgainstCollateral,SecurityDeposit,SeveranceCosts1,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsExpectedVolatilityRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardFairValueAssumptionsRiskFreeInterestRate,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExercisableWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsExpirationsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingIntrinsicValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardOptionsOutstandingWeightedAverageExercisePrice,ShareBasedCompensationArrangementByShareBasedPaymentAwardSharesIssuedInPeriod,ShareBasedCompensationArrangementsByShareBasedPaymentAwardOptionsGrantsInPeriodWeightedAverageExercisePrice,ShareholdersEquityFairValueDisclosure,SharePrice,SharesIssued,SharesIssuedPricePerShare,ShippingHandlingAndTransportationCosts,ShortTermBankLoansAndNotesPayable,ShortTermBorrowings,ShortTermDebtPercentageBearingFixedInterestRate,ShorttermDebtFairValue,StockholdersEquity,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodSharesNewIssues,StockIssuedDuringPeriodSharesStockOptionsExercised,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueConversionOfConvertibleSecuritiesNetOfAdjustments,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensation,StockOptionPlanExpense,ValuationAllowanceDeferredTaxAssetChangeInAmount,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,WorkersCompensationLiabilityCurrentAndNoncurrent,AssetRetirementObligationRevisionOfEstimate,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,DueToOfficersOrStockholdersCurrent,EffectiveIncomeTaxRateReconciliationNondeductibleExpenseOther,GeneralAndAdministrativeCostsInInventoryAmountRemaining,IncomeTaxReconciliationPriorYearIncomeTaxes,LongtermTransitionBondCurrentAndNoncurrent,MineralPropertiesAccumulatedImpairment,PaymentsForParticipationLiabilities,UnusualOrInfrequentTaxEffect,AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,CumulativeDividends,DividendsCommonStockCash,TemporaryEquityAggregateAmountOfRedemptionRequirement,ContractWithCustomerLiabilityCumulativeCatchUpAdjustmentToRevenueModificationOfContract,DebtCurrent,InvestmentCompanyFeePaidIndirectly,OtherIncome,PaymentsToEmployees,DeferredTaxLiabilities,Deposits,InvestmentCompanyNetAssetsFromOperationsIncreaseDecrease,DebtInstrumentIncreaseAccruedInterest,DebtInstrumentInterestRateEffectivePercentage,NetIncomeLossAllocatedToGeneralPartners,RetainedEarningsAppropriated,y
0,29657,7500.0,803857.0,74507.0,0.0,0.0,33115.0,21005.0,22770.0,250000.0,3718109.0,18193.0,656257.0,164140.0,155.0,495808.0,33639.0,12000.0,2400000.0,147214.0,57502.0,0.0,63584.0,656567.0,-334342.0,0.0,1871558.0,608702.0,50000.0,835556.0,85904.0,57502.0,99714.0,216000.0,108000.0,108000.0,30382.0,185618.0,12300.0,25647.0,-631864.0,4076752.0,0.0,0.001,2400000.0,0.001,100000000.0,7586411.0,7586411.0,7587.0,-612778.0,164140.0,1060708.0,600000.0,465444.0,4068720.0,27718333.0,20927.0,-56609.0,0.0,151406.0,0.0,0.0,0.7,0.1,0.15,6900000.0,7500.0,897813.0,147214.0,0.1,139000.0,3017000.0,0.0,0.0,1927000.0,8500000.0,814000.0,37000.0,96000.0,96000.0,27000.0,-3017000.0,139000.0,2481.0,17213.0,15666.0,17081.0,0.01,25193.0,-3345804.0,49471230.0,9665144.0,15165144.0,-0.07,-0.09,-0.07,0.0,0.34,0.35,0.016,0.01,-0.23,-0.05,456000.0,131259.0,189351.0,0.77,674000.0,181680.0,920000.0,0.0013,-998412.0,4268.0,0.0,0.0,204083.0,-3370.0,-6673.0,-181.0,-1009.0,0.0,0.0,-900000.0,0.0,45714.0,-614178.0,86302.0,0.0,0.0,1115000.0,-1624000.0,74000.0,-8000.0,900.0,417000.0,-97000.0,30141.0,-77966.0,12313.0,-8801.0,0.0,334342.0,0.0,0.0,0.0,0.0,-2500.0,152747.0,-3750.0,0.0,0.0,-41632.0,-2560.0,1028574.0,47211002.0,4183.0,-78662.0,0.0,28063.0,26194.0,421891.0,442602.0,17958.0,100500.0,0.0,0.0,337400.0,142921.0,4638.0,25501.0,2553807.0,0.0,1599823.0,2404657.0,1508761.0,144512.0,211115.0,656257.0,3833.0,85483.0,69665.0,3000.0,77729.0,2507299.0,1871558.0,2011110.0,496189.0,1141065.0,850000.0,352749.0,788316.0,14615.0,170541.0,167593.0,496189.0,0.0,900000.0,438949.0,129.0,116501.0,714388.0,835556.0,777735.0,2590.0,-81368.0,-553086.0,-2859610.0,-916719.0,-916719.0,716450.0,-107829.0,6264492.0,1623531.0,2124348.0,11789492.0,6264492.0,372388.0,0.0,190298.0,506349.0,-506349.0,2860000.0,1400.0,144219.0,65055.0,10263382.0,1505020.0,0.0,-3488398.0,0.0,16105.0,-279575.0,25000.0,40000.0,600000.0,11025.0,8000.0,50000.0,0.0,11095.0,-2690.0,-250.0,50000.0,0.0,-92989.0,0.001,0.001,669644.0,10000000.0,958033.0,958033.0,958.0,42153.0,0.0,151406.0,2590.0,92455.0,0.0,0.0,463497.0,944060.0,91680.0,-34500.0,0.0,11871.0,9192.0,0.0,0.0,463497.0,50000.0,1235091.0,-614178.0,-4034.0,466733.0,24000.0,404819.0,23516.0,153394.0,5525000.0,1350000.0,6680.0,5266.0,-15995.0,55000.0,-15176365.0,291693.0,73012.0,120000.0,309486.0,500000.0,1250000.0,0.4,195574.0,884580.0,197496.0,8609000.0,674000.0,3726.0,456000.0,0.512,0.0254,2400000.0,0.4,0.0,2400000.0,2400000.0,2400000.0,0.4,4256733.0,0.4,151406.0,0.4,2713636.0,0.04,3205.0,50000.0,25000.0,0.1,34500.0,-635741.0,8000.0,1150000.0,0.0,21406.0,38930.0,82500.0,125483.0,456000.0,45000.0,1550000.0,48239576.0,10575441.0,7074744.0,193500.0,198365.0,2116432.0,-1943145.0,37697.0,-0.05,204127.0,-417000.0,640000.0,258132.0,987277.0,-97000.0,11542000000.0,11542.0,500000000.0,5771000000000.0,36799.0,143190.0,60623.0,265444.0,144000.0,131000.0,273116.0,189000.0,640742.0,0.052,2263429.0,23000594.0,0
1,141263,7500.0,803857.0,74507.0,0.0,0.0,33115.0,71697.0,22770.0,,3718109.0,-39541.0,870085.0,,155.0,486577.0,-194683.0,12000.0,,,30908.0,0.0,63584.0,656567.0,22178.0,57502.0,1871558.0,608702.0,50000.0,835556.0,76161.0,0.0,102777.0,207000.0,126000.0,81000.0,28062.0,178938.0,12300.0,25647.0,-478734.0,,0.0,0.001,2400000.0,0.001,100000000.0,7586411.0,7586411.0,7587.0,-287246.0,125000.0,1092850.0,600000.0,465444.0,,27718333.0,8100.0,130000.0,0.0,,,0.0,0.7,0.01,0.15,6900000.0,7500.0,427745.0,,0.1,,4132000.0,0.0,0.0,2860000.0,6600000.0,0.0,37000.0,42000.0,96000.0,42000.0,-4132000.0,103000.0,2120.0,34615.0,32255.0,107556.0,0.01,25193.0,-3345804.0,,2124348.0,17445688.0,-0.15,-0.04,-0.15,0.0,0.34,0.35,0.0,,0.01,,,131259.0,189351.0,0.77,674000.0,71013.0,0.0,,249603.0,4268.0,,,204083.0,2912.0,6673.0,,20451.0,0.0,0.0,,0.0,22985.0,-288646.0,76279.0,,0.0,938000.0,-1114643.0,-357.0,-1000.0,-8000.0,15000.0,,103114.0,43374.0,12313.0,-14770.0,0.0,125363.0,100000.0,-500.0,-23328.0,0.0,-10000.0,29465.0,-10500.0,0.0,27500.0,-5500.0,-21117.0,1060708.0,47211002.0,15.0,-39343.0,,20575.0,54457.0,129.0,893991.0,,130500.0,0.0,0.0,0.0,142921.0,4638.0,25501.0,3093932.0,0.0,2951011.0,2404657.0,1508761.0,144512.0,211115.0,870085.0,-129.0,85483.0,37615.0,6000.0,35545.0,2507299.0,1871558.0,2011110.0,3645332.0,,,,,,,,57502.0,0.0,900000.0,410949.0,310.0,116501.0,1489388.0,835556.0,777735.0,1780248.0,-338909.0,-1920073.0,-919480.0,-2073868.0,-2073866.0,1655349.0,-39472.0,9213214.0,1623531.0,2124348.0,12715492.0,9665144.0,1372585.0,27500.0,136837.0,249174.0,-249174.0,3528000.0,,,,10263382.0,1505020.0,410601.0,-6177635.0,18879.0,200000.0,-1473966.0,463497.0,0.0,600000.0,,4500.0,50000.0,0.0,11095.0,-309681.0,-250.0,50000.0,27500.0,-357949.0,0.001,0.001,669644.0,10000000.0,958033.0,958033.0,958.0,42153.0,27500.0,250000.0,2590.0,92455.0,958.0,1776700.0,,72000.0,,,0.0,19290.0,9192.0,0.0,9192.0,463497.0,,2662228.0,-288646.0,-7349.0,438733.0,-435453.0,404819.0,23516.0,153394.0,5525000.0,,14443.0,682684.0,-15995.0,,-18548567.0,795133.0,46970.0,120000.0,1082858.0,625000.0,4500000.0,0.4,,669580.0,9305.0,12797.0,674000.0,1931.0,,0.512,0.0254,2400000.0,0.4,0.0,2400000.0,2400000.0,2400000.0,0.4,,0.4,151406.0,0.4,2713636.0,,0.0,100000.0,25000.0,0.1,34500.0,-635741.0,8000.0,5500000.0,0.0,21406.0,,2200000.0,151406.0,456000.0,0.0,1115000.0,48271710.0,11637047.0,,308885.0,,173287.0,37997.0,56159.0,,392820.0,-734000.0,640000.0,113049.0,260125.0,,11542.0,11542.0,500.0,5771000.0,11141.0,100897.0,38769.0,265444.0,144000.0,188600.0,917547.0,644000.0,925358.0,,,,0
2,141263,75000.0,1783942.0,74507.0,439519.0,0.0,33115.0,71697.0,22770.0,,3718109.0,,,,155.0,486577.0,463785.0,12000.0,2400000.0,,26594.0,0.0,65169.0,101551.0,,57502.0,1871558.0,608702.0,50000.0,,120461.0,,51714.0,198000.0,144000.0,54000.0,25825.0,172175.0,12300.0,25647.0,-321885.0,2577127.0,0.0,,2400000.0,0.001,100000000.0,7586411.0,7586411.0,7587.0,-2153556.0,125000.0,1189276.0,600000.0,465444.0,4068720.0,27718333.0,20927.0,130000.0,0.0,151406.0,,,0.7,,0.15,6900000.0,7500.0,,,,,,,,4998000.0,13400000.0,875000.0,,54000.0,,,,131000.0,10139.0,17402.0,49982.0,17213.0,0.01,25193.0,-3345804.0,2400000.0,8638746.0,18271271.0,-0.08,-0.3,-0.08,,,,,,,,456000.0,131259.0,189351.0,0.77,674000.0,374278.0,3069404.0,,998412.0,,-200000.0,0.0,,0.0,6673.0,-1135.0,,-3370.0,0.0,,,472067.0,-2153046.0,148845.0,0.0,,1179800.0,-1114700.0,200.0,,,,,43826.0,4904.0,12313.0,16966.0,0.0,,,0.0,103850.0,-23328.0,-10000.0,-6673.0,-10500.0,-16900.0,0.0,20079.0,-21573.0,1092850.0,47211002.0,15.0,-470969.0,0.0,46415.0,83274.0,,443602.0,34602.0,30000.0,0.0,0.0,1781027.0,500000.0,4638.0,4685.0,3093932.0,16900.0,2951011.0,2404657.0,1802318.0,144512.0,160230.0,,3833.0,0.0,401960.0,3000.0,98973.0,2507299.0,1871558.0,2011110.0,4767788.0,1458581.0,,307383.0,1151198.0,14613.0,143346.0,164037.0,,3605485.0,,,1135.0,226502.0,714388.0,835556.0,777735.0,2037267.0,-349268.0,-2009884.0,-3480914.0,-1157147.0,-1157147.0,,-554751.0,518559.0,1623531.0,2125348.0,,9665144.0,463497.0,,249486.0,1598295.0,-1598295.0,3734000.0,-510.0,197621.0,89898.0,,1505020.0,21225102.0,-2145851.0,152988.0,200000.0,-1194391.0,,,,15199.0,12500.0,128868.0,-466281.0,19760.0,0.0,-250.0,3000000.0,0.0,-387883.0,0.001,0.001,0.0,10000000.0,958033.0,958033.0,958.0,42153.0,0.0,,2590.0,92705.0,958.0,2500000.0,,72000.0,,,0.0,38865.0,,0.0,6000.0,,89500.0,,-2153046.0,-7349.0,,-7349.0,404819.0,23516.0,169796.0,5525000.0,1350000.0,,,0.0,34500.0,-18548567.0,503441.0,166111.0,120000.0,241923.0,625000.0,4500000.0,0.4,103195.0,903022.0,59675.0,,674000.0,4024.0,456000.0,0.512,0.0254,2400000.0,0.4,0.0,2400000.0,2400000.0,2400000.0,0.4,,0.4,,0.4,5500000.0,0.04,,,50000.0,0.1,34500.0,-635741.0,8000.0,5500000.0,0.0,,,2200000.0,200000.0,456000.0,,,48303852.0,11199487.0,7188034.0,308885.0,,173287.0,34088.0,56159.0,,108993.0,,600000.0,,451540.0,,11542.0,11542.0,500.0,5771000.0,,58061.0,94916.0,,144000.0,,917547.0,,,,,,0
3,141263,97500.0,2098622.0,90436.0,66883.0,21513.0,70626.0,71697.0,55025.0,,4685727.0,,,,155.0,486577.0,368125.0,12000.0,,,60701.0,0.0,66754.0,101551.0,,57502.0,2275340.0,1021778.0,,1372887.0,120461.0,,51714.0,135000.0,108000.0,27000.0,12595.0,122405.0,50736.0,25647.0,-528171.0,922260.0,0.0,,2400000.0,0.001,100000000.0,7969411.0,7969411.0,7969.0,-1540778.0,,1815080.0,600000.0,0.0,,27718333.0,1343.0,625000.0,700000.0,151406.0,,,0.7,,0.15,6900000.0,7500.0,,,0.1,,5070000.0,0.0,,6131000.0,7700000.0,2000.0,37000.0,,96000.0,,-5070000.0,,7658.0,52017.0,90343.0,64706.0,,25193.0,-6826717.0,5704728.0,625000.0,19323338.0,-0.21,-0.21,-0.21,,0.34,0.35,,,,,456000.0,0.0,189351.0,0.77,674000.0,274227.0,0.0,,1010412.0,4268.0,,,204083.0,-1009.0,0.0,0.0,,-2912.0,0.0,-900000.0,0.0,306695.0,-1538868.0,155232.0,,,1172900.0,-938200.0,100.0,15000.0,,,,-2318.0,157545.0,-215000.0,-26457.0,0.0,125363.0,,,114401.0,,5000.0,,7500.0,,,3564.0,20079.0,1878511.0,47211002.0,0.0,-392307.0,,27615.0,28817.0,129.0,1491933.0,,,164.0,147353.0,6264492.0,371778.0,4876.0,4638.0,3093932.0,49738.0,2951011.0,2942897.0,2404657.0,115810.0,144512.0,,0.0,,332295.0,9000.0,21244.0,5423894.0,2275340.0,1778562.0,6070282.0,1250085.0,,267168.0,982917.0,,100990.0,166178.0,,835403.0,,418298.0,0.0,276933.0,1590939.0,835556.0,777735.0,243537.0,-18159.0,-753549.0,-2561434.0,-2933983.0,-2933983.0,,-446922.0,518559.0,829411.0,3481357.0,,9665144.0,463497.0,,59188.0,1091946.0,-1091946.0,4615400.0,-1910.0,52352.0,,,1197018.0,24464670.0,,146171.0,,-1483317.0,,,,15199.0,4500.0,36074.0,0.0,23396.0,,0.0,,,-15469.0,0.001,0.001,,10000000.0,958033.0,958033.0,958.0,22074.0,,178000.0,0.0,-3581.0,0.0,250000.0,,100000.0,,,27500.0,0.0,,27500.0,,,,,-1538868.0,-7349.0,446082.0,,382524.0,39830.0,202131.0,,1350000.0,49770.0,12.0,0.0,,-18548567.0,1041006.0,50000.0,120000.0,3000.0,,,0.4,,18442.0,,,674000.0,1943.0,,0.512,0.0254,2400000.0,0.4,0.0,2400000.0,2400000.0,2400000.0,0.4,,,,0.4,200000.0,0.04,,,50000.0,0.1,34500.0,-3148554.0,8000.0,5500000.0,0.0,,,2200000.0,,456000.0,,,49089513.0,12427229.0,7409690.0,353885.0,,173287.0,298556.0,56159.0,,1265018.0,,555000.0,63159.0,191415.0,,14275000000.0,14275.0,500000000.0,7137500000000.0,,,34293.0,,144000.0,,918936.0,,,,,,0
