,AccountsPayableCurrent,AccountsPayableOtherCurrent,AccountsReceivableGross,AccountsReceivableGrossCurrent,AccountsReceivableNetCurrent,AccrualForEnvironmentalLossContingencies,AccrualForEnvironmentalLossContingenciesGross,AccrualForEnvironmentalLossContingenciesUndiscountedDueAfterFifthYear,AccrualForEnvironmentalLossContingenciesUndiscountedDueInFifthYear,AccrualForEnvironmentalLossContingenciesUndiscountedDueInFourthYear,AccrualForEnvironmentalLossContingenciesUndiscountedDueInSecondYear,AccrualForEnvironmentalLossContingenciesUndiscountedDueInThirdYear,AccrualForEnvironmentalLossContingenciesUndiscountedDueWithinOneYear,AccruedIncomeTaxesCurrent,AccruedLiabilitiesCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdditionalPaidInCapitalCommonStock,AdditionsToNoncurrentAssets,AdvertisingExpense,AllocatedShareBasedCompensationExpense,AllowanceForDoubtfulAccountsReceivable,AllowanceForDoubtfulAccountsReceivableCurrent,AllowanceForDoubtfulAccountsReceivablePeriodIncreaseDecrease,AmortizationOfIntangibleAssets,AssetImpairmentCharges,Assets,AssetsCurrent,AssetsOfDisposalGroupIncludingDiscontinuedOperationCurrent,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedGainBeforeTax,AvailableForSaleDebtSecuritiesAccumulatedGrossUnrealizedLossBeforeTax,AvailableForSaleDebtSecuritiesAmortizedCostBasis,AvailableForSaleSecuritiesChangeInNetUnrealizedHoldingGainLoss,AvailableForSaleSecuritiesDebtMaturitiesAfterFiveThroughTenYearsFairValue,AvailableForSaleSecuritiesDebtMaturitiesAfterOneThroughFiveYearsFairValue,AvailableForSaleSecuritiesDebtMaturitiesAfterTenYearsFairValue,AvailableForSaleSecuritiesDebtMaturitiesNextRollingTwelveMonthsFairValue,AvailableForSaleSecuritiesDebtMaturitiesRollingAfterYearTenFairValue,AvailableForSaleSecuritiesDebtMaturitiesRollingYearSixThroughTenFairValue,AvailableForSaleSecuritiesDebtMaturitiesRollingYearTwoThroughFiveFairValue,AvailableForSaleSecuritiesDebtMaturitiesWithinOneYearFairValue,AvailableForSaleSecuritiesDebtSecurities,AvailableForSaleSecuritiesDebtSecuritiesCurrent,AvailableForSaleSecuritiesGrossRealizedGainLossNet,AvailableForSaleSecuritiesGrossUnrealizedLosses1,AvailableforsaleSecuritiesGrossUnrealizedGain,BuildingsAndImprovementsGross,BusinessAcquisitionsProFormaIncomeLossFromContinuingOperationsBeforeChangesInAccountingAndExtraordinaryItemsNetOfTax,BusinessAcquisitionsProFormaRevenue,BusinessCombinationContingentConsiderationArrangementsChangeInAmountOfContingentConsiderationLiability1,BusinessCombinationContingentConsiderationLiability,BusinessCombinationProFormaInformationEarningsOrLossOfAcquireeSinceAcquisitionDateActual,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockDividendsPerShareCashPaid,CommonStockholdersEquity,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockValue,ComprehensiveIncomeNetOfTax,ContractWithCustomerLiabilityRevenueRecognized,CostOfGoodsAndServicesSold,CurrentFederalTaxExpenseBenefit,CurrentIncomeTaxExpenseBenefit,CurrentStateAndLocalTaxExpenseBenefit,DebtInstrumentBasisSpreadOnVariableRate,DebtInstrumentBasisSpreadOnVariableRate1,DebtSecuritiesAvailableForSaleRealizedGainLoss,DeferredFederalIncomeTaxExpenseBenefit,DeferredIncomeTaxAssetsNet,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxLiabilities,DeferredStateAndLocalIncomeTaxExpenseBenefit,DeferredTaxAssetsGoodwillAndIntangibleAssets,DeferredTaxAssetsGross,DeferredTaxAssetsInventory,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsLiabilitiesNetNoncurrent,DeferredTaxAssetsNet,DeferredTaxAssetsNetCurrent,DeferredTaxAssetsOther,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsCompensatedAbsences,DeferredTaxAssetsTaxDeferredExpenseCompensationAndBenefitsEmployeeCompensation,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsAllowanceForDoubtfulAccounts,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,DeferredTaxLiabilitiesGoodwillAndIntangibleAssets,DeferredTaxLiabilitiesNoncurrent,DeferredTaxLiabilitiesOther,DeferredTaxLiabilitiesPropertyPlantAndEquipment,DeferredTaxLiabilitiesTaxDeferredIncome,Depreciation,DepreciationDepletionAndAmortization,DiscontinuedOperationGainLossFromDisposalOfDiscontinuedOperationBeforeIncomeTax,DisposalGroupIncludingDiscontinuedOperationAssetsNoncurrent,DisposalGroupIncludingDiscontinuedOperationConsideration,DividendsCommonStock,EarningsPerShareBasic,EarningsPerShareBasicAndDiluted,EarningsPerShareDiluted,EffectiveIncomeTaxRateContinuingOperations,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationOtherAdjustments,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxExemptIncome,EffectOfLIFOInventoryLiquidationOnIncome,EmployeeRelatedLiabilitiesCurrentAndNoncurrent,EmployeeServiceShareBasedCompensationNonvestedAwardsTotalCompensationCostNotYetRecognized,ExcessOfReplacementOrCurrentCostsOverStatedLIFOValue,FairValueAssetsLevel1ToLevel2TransfersAmount,FairValueAssetsLevel2ToLevel1TransfersAmount,FIFOInventoryAmount,FiniteLivedIntangibleAssetsAccumulatedAmortization,FiniteLivedIntangibleAssetsAmortizationExpenseNextTwelveMonths,FiniteLivedIntangibleAssetsAmortizationExpenseYearFive,FiniteLivedIntangibleAssetsAmortizationExpenseYearFour,FiniteLivedIntangibleAssetsAmortizationExpenseYearThree,FiniteLivedIntangibleAssetsAmortizationExpenseYearTwo,FiniteLivedIntangibleAssetsGross,GainLossOnDispositionOfAssets,GainLossOnSaleOfBusiness,GainLossOnSalesOfAssetsAndAssetImpairmentCharges,GainLossRelatedToLitigationSettlement,Goodwill,GoodwillAcquiredDuringPeriod,GoodwillImpairedAccumulatedImpairmentLoss,GoodwillImpairmentLoss,GrossProfit,ImpairmentOfIntangibleAssetsExcludingGoodwill,ImpairmentOfIntangibleAssetsFinitelived,ImpairmentOfLongLivedAssetsHeldForUse,ImpairmentOfLongLivedAssetsToBeDisposedOf,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IncomeLossFromContinuingOperationsPerBasicAndDilutedShare,IncomeLossFromDiscontinuedOperationsNetOfTax,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromDiscontinuedOperationsNetOfTaxPerBasicAndDilutedShare,IncomeTaxExaminationPenaltiesAndInterestExpense,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesReceivable,IncomeTaxReconciliationChangeInEnactedTaxRate,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInAccruedIncomeTaxesPayable,IncreaseDecreaseInIncomeTaxesPayableNetOfIncomeTaxesReceivable,IncreaseDecreaseInInventories,IncreaseDecreaseInOtherCurrentAssets,IncreaseDecreaseInOtherOperatingAssets,IntangibleAssetsNetExcludingGoodwill,IntangibleAssetsNetIncludingGoodwill,InventoryFinishedGoods,InventoryFinishedGoodsNetOfReserves,InventoryLIFOReserveEffectOnIncomeNet,InventoryLIFOReservePeriodCharge,InventoryNet,InventoryRawMaterials,InventoryRawMaterialsAndSupplies,InventoryWorkInProcess,Land,LeaseCost,LesseeOperatingLeaseLiabilityPaymentsDue,LesseeOperatingLeaseLiabilityPaymentsDueAfterYearFive,LesseeOperatingLeaseLiabilityPaymentsDueNextTwelveMonths,LesseeOperatingLeaseLiabilityPaymentsDueYearFive,LesseeOperatingLeaseLiabilityPaymentsDueYearFour,LesseeOperatingLeaseLiabilityPaymentsDueYearThree,LesseeOperatingLeaseLiabilityPaymentsDueYearTwo,LesseeOperatingLeaseLiabilityPaymentsRemainderOfFiscalYear,LesseeOperatingLeaseLiabilityUndiscountedExcessAmount,LessorOperatingLeasePaymentsToBeReceived,LessorOperatingLeasePaymentsToBeReceivedFiveYears,LessorOperatingLeasePaymentsToBeReceivedFourYears,LessorOperatingLeasePaymentsToBeReceivedNextTwelveMonths,LessorOperatingLeasePaymentsToBeReceivedRemainderOfFiscalYear,LessorOperatingLeasePaymentsToBeReceivedThereafter,LessorOperatingLeasePaymentsToBeReceivedThreeYears,LessorOperatingLeasePaymentsToBeReceivedTwoYears,LettersOfCreditOutstandingAmount,LIFOInventoryAmount,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LiabilitiesOfDisposalGroupIncludingDiscontinuedOperationCurrent,LineOfCreditFacilityAmountOutstanding,LineOfCreditFacilityMaximumBorrowingCapacity,LossContingencyAccrualProductLiabilityGross,MachineryAndEquipmentGross,MarketableSecuritiesCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NotesAndLoansReceivableNetCurrent,NotesAndLoansReceivableNetNoncurrent,NumberOfOperatingSegments208,NumberOfOperatingSegments209,NumberOfReportableSegments,OperatingIncomeLoss,OperatingLeaseCost,OperatingLeaseExpense,OperatingLeaseLeaseIncomeLeasePayments,OperatingLeaseLiability,OperatingLeaseLiabilityCurrent,OperatingLeaseLiabilityNoncurrent,OperatingLeasePayments,OperatingLeaseRightOfUseAsset,OperatingLeasesFutureMinimumPaymentsDue,OperatingLeasesFutureMinimumPaymentsDueCurrent,OperatingLeasesFutureMinimumPaymentsDueInFiveYears,OperatingLeasesFutureMinimumPaymentsDueInFourYears,OperatingLeasesFutureMinimumPaymentsDueInThreeYears,OperatingLeasesFutureMinimumPaymentsDueInTwoYears,OperatingLeasesFutureMinimumPaymentsDueThereafter,OperatingLeasesRentExpenseNet,OperatingLeaseWeightedAverageDiscountRatePercent,OtherAccruedLiabilitiesCurrent,OtherAssetImpairmentCharges,OtherAssets,OtherAssetsCurrent,OtherAssetsNoncurrent,OtherComprehensiveIncomeAvailableforsaleSecuritiesAdjustmentNetOfTaxPortionAttributableToParent,OtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentBeforeTax,OtherComprehensiveIncomeLossReclassificationAdjustmentFromAOCIForSaleOfSecuritiesBeforeTax,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodBeforeTax,OtherComprehensiveIncomeUnrealizedHoldingGainLossOnSecuritiesArisingDuringPeriodNetOfTax,OtherInventorySupplies,OtherLiabilitiesNoncurrent,OtherNoncashIncomeExpense,OtherNoncashIncomeTaxExpense,OtherNonoperatingIncomeExpense,PaymentsForProceedsFromLoansReceivable,PaymentsForProceedsFromOtherInvestingActivities,PaymentsOfDividends,PaymentsOfDividendsCommonStock,PaymentsToAcquireAvailableForSaleSecuritiesDebt,PaymentsToAcquireBusinessesNetOfCashAcquired,PaymentsToAcquireIntangibleAssets,PaymentsToAcquireNotesReceivable,PaymentsToAcquireProductiveAssets,PaymentsToAcquirePropertyPlantAndEquipment,PrepaidTaxes,PriorPeriodReclassificationAdjustment,ProceedsFromDivestitureOfBusinesses,ProceedsFromDivestitureOfBusinessesNetOfCashDivested,ProceedsFromInsuranceSettlementInvestingActivities,ProceedsFromPaymentsForOtherFinancingActivities,ProceedsFromPreviousAcquisition,ProceedsFromSaleAndCollectionOfNotesReceivable,ProceedsFromSaleAndMaturityOfAvailableForSaleSecurities,ProceedsFromSaleOfAvailableForSaleSecuritiesDebt,ProceedsFromSaleOfPropertyPlantAndEquipment,ProceedsFromSaleOfTreasuryStock,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RetainedEarningsAccumulatedDeficit,Revenues,RoyaltyRevenue,SalesRevenueGoodsGross,SalesRevenueNet,SellingGeneralAndAdministrativeExpense,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeitedInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsForfeituresWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriodWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedNumber,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsNonvestedWeightedAverageGrantDateFairValue,ShareBasedCompensationArrangementByShareBasedPaymentAwardNumberOfSharesAuthorized,SharesPaidForTaxWithholdingForShareBasedCompensation,StandardProductWarrantyAccrual,StandardProductWarrantyAccrualPayments,StandardProductWarrantyAccrualWarrantiesIssued,StockholdersEquity,StockholdersEquityBeforeTreasuryStock,StockholdersEquityOther,StockIssuedDuringPeriodValueOther,StockRepurchaseProgramNumberOfSharesAuthorizedToBeRepurchased,TangibleAssetImpairmentCharges,TaxAdjustmentsSettlementsAndUnusualProvisions,TaxesPayableCurrent,TreasuryStockShares,TreasuryStockSharesAcquired,TreasuryStockValue,UnrecognizedTaxBenefits,UnrecognizedTaxBenefitsDecreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsDecreasesResultingFromSettlementsWithTaxingAuthorities,UnrecognizedTaxBenefitsIncomeTaxPenaltiesAndInterestExpense,UnrecognizedTaxBenefitsIncreasesResultingFromCurrentPeriodTaxPositions,UnrecognizedTaxBenefitsIncreasesResultingFromPriorPeriodTaxPositions,UnrecognizedTaxBenefitsReductionsResultingFromLapseOfApplicableStatuteOfLimitations,WeightedAverageNumberOfDilutedSharesOutstanding,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,WeightedAverageNumberOfSharesOutstandingBasic,DeferredTaxAssetsTaxDeferredExpenseReservesAndAccrualsWarrantyReserves,ProceedsFromInsuranceSettlementOperatingActivities,BusinessCombinationBargainPurchaseGainRecognizedAmount,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCapitalLeaseObligation,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedCurrentAssetsReceivables,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedIntangibleAssetsOtherThanGoodwill,BusinessCombinationRecognizedIdentifiableAssetsAcquiredAndLiabilitiesAssumedInventory,EffectiveIncomeTaxRateReconciliationPriorYearIncomeTaxes,EffectiveIncomeTaxRateReconciliationTaxCreditsResearch,FiniteLivedIntangibleAssetsNet,GoodwillAndIntangibleAssetImpairment,IntangibleAssetsGrossExcludingGoodwill,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsVestedInPeriod,TreasuryStockCommonValue,y
0,44298000,5313000.0,74995000.0,91642000.0,91115000.0,2250000.0,1875000.0,675000.0,200000.0,215000.0,245000.0,230000.0,310000.0,5859000.0,16572000,48991000,129000.0,2738000.0,3539000.0,17972000.0,9000.0,3000.0,1361000.0,527000.0,3887000.0,0.0,0.0,415133000.0,345540000.0,21663000.0,5000.0,10000.0,59248000.0,-792000.0,9141000.0,27289000.0,20838000.0,5292000.0,16872000.0,8519000.0,24360000.0,6803000.0,78733000.0,59360000.0,0.0,16000.0,128000.0,25527000.0,38391000.0,323424000.0,-3000000.0,3000000.0,-1103000.0,24692000.0,24282000.0,56222000.0,-29188000.0,9551000.0,3517000.0,5.55,310605000.0,1.0,12000000.0,7440518.0,6865150.0,7441000.0,62683000.0,9412000.0,368376000.0,30318000.0,36223000.0,5905000.0,0.005,0.005,0.0,-997000.0,1088000.0,-33000.0,9900000.0,598000.0,859000.0,2840000.0,414000.0,-3265000.0,2335000.0,6140000.0,6268000.0,589000.0,961000.0,304000.0,541000.0,0.0,9405000.0,1698000.0,4467000.0,39000.0,131000.0,875000.0,8738000.0,8637000.0,11413000.0,38147000.0,10636000.0,38008000.0,9.13,6.98,9.13,0.361,0.35,-0.028,0.046,-0.007,601000.0,6472000.0,449000.0,3982000.0,0.0,0.0,64347000.0,0.0,667000.0,550000.0,663000.0,667000.0,667000.0,4445000.0,-163000.0,10704000.0,1290000.0,0.0,11485000.0,2538000.0,2840000.0,0.0,110092000.0,0.0,0.0,3021000.0,3021000.0,39889000.0,46197000.0,94397000.0,30752000.0,4.44,-4275000.0,51000.0,-0.62,11000.0,31821000.0,30663000.0,213000.0,534000.0,7090000.0,16765000.0,2074000.0,128000.0,-3145000.0,6729000.0,5362000.0,3397000.0,18468000.0,37144000.0,32759000.0,1169000.0,-1850000.0,83132000,8948000.0,6746000.0,37040000,1946000.0,191000.0,4802000.0,1823000.0,693000.0,531000.0,648000.0,644000.0,655000.0,501000.0,970000.0,24152000.0,1755000.0,1755000.0,1839000.0,1331000.0,15795000.0,1755000.0,1761000.0,1940000.0,32744000.0,47495000.0,415133000.0,66729000.0,5616000.0,0.0,5000000.0,6395000.0,79626000.0,101005000.0,-37765000.0,-56226000.0,-98000.0,21816000.0,62145000.0,58686000.0,62576000.0,7213000.0,3571000.0,3.0,3.0,2.0,91347000.0,168000.0,1050000.0,444000.0,3832000.0,539000.0,3293000.0,191000.0,3832000.0,401000.0,300000.0,22000.0,22000.0,22000.0,22000.0,13000.0,771000.0,0.055,1261000.0,1592000.0,0.0,14301000.0,4650000.0,-514000.0,-57000.0,0.0,-1000.0,107000.0,15000.0,0.0,-682000.0,0.0,3050000.0,120000.0,-228000.0,38008000.0,56665000.0,78486000.0,0.0,21968000.0,1580000.0,15003000.0,3337000.0,213000.0,4650000.0,67000000.0,63324000.0,987000.0,243000.0,1448000.0,0.0,82521000.0,81426000.0,71000.0,362000.0,107099000,58108000,50000.0,351571000.0,341905000.0,479000.0,4874000.0,478468000.0,18745000.0,0.0,93.6,3328.0,109.38,0.0,109.38,50000.0,88.0,326000.0,-508000.0,523000.0,343937000.0,361879000.0,592000.0,1689000.0,504600.0,5725000.0,4000000.0,1187000.0,575368.0,0.0,17942000.0,418000.0,-8000.0,269000.0,14000.0,87000.0,12000.0,32000.0,6854000.0,6875000.0,6854000.0,610000.0,0.0,0.0,1479000.0,2136000.0,6058000.0,2309000.0,-0.001,0.01,5926000.0,0.0,3141000.0,3.6,12156000.0,0
1,44298000,4091000.0,82554000.0,74995000.0,91115000.0,1875000.0,1650000.0,587000.0,135000.0,199000.0,226000.0,213000.0,290000.0,5859000.0,16572000,48991000,129000.0,2738000.0,4472000.0,9104000.0,70000.0,29000.0,6111000.0,1361000.0,,0.0,0.0,415133000.0,345540000.0,58893000.0,4000.0,18000.0,59248000.0,-87000.0,8345000.0,23730000.0,17204000.0,9519000.0,12675000.0,5263000.0,17599000.0,3876000.0,78733000.0,59360000.0,0.0,16000.0,128000.0,29348000.0,40822000.0,308561000.0,,,,48974000.0,-19244000.0,,,-2385000.0,4733000.0,8.15,335872000.0,1.0,12000000.0,7440518.0,6875001.0,7441000.0,63017000.0,,172371000.0,17596000.0,21961000.0,4365000.0,,0.005,0.0,4972000.0,1088000.0,-399000.0,9434000.0,124000.0,697000.0,5141000.0,557000.0,1538000.0,3336000.0,8906000.0,6268000.0,846000.0,907000.0,338000.0,3245000.0,520000.0,7368000.0,,4467000.0,29000.0,1000.0,,4375000.0,9037000.0,,,,55889000.0,4.11,1.36,4.11,0.361,0.35,-0.023,0.039,-0.005,5474000.0,5721000.0,902000.0,4429000.0,0.0,0.0,53901000.0,1049000.0,7989000.0,65000.0,550000.0,7986000.0,7989000.0,4445000.0,160000.0,,-10000.0,2300000.0,11485000.0,302000.0,2840000.0,0.0,51104000.0,0.0,2063000.0,,,14104000.0,62922000.0,44660000.0,8299000.0,1.2,-190000.0,3000.0,-0.03,13000.0,16486000.0,36479000.0,213000.0,,-3460000.0,-37711000.0,-5825000.0,-1863000.0,13489000.0,11000.0,11294000.0,24698000.0,17722000.0,37144000.0,33851000.0,832000.0,-1313000.0,83132000,8948000.0,8181000.0,37040000,1955000.0,,,,716000.0,,,,,,,,,,1839000.0,,,,,3380000.0,30515000.0,42296000.0,415133000.0,66729000.0,6253000.0,0.0,5000000.0,6060000.0,90305000.0,101005000.0,-55481000.0,-40935000.0,619000.0,-15322000.0,35618000.0,36965000.0,28174000.0,7213000.0,3571000.0,3.0,3.0,,43271000.0,,1114000.0,,,,,,,1452000.0,430000.0,184000.0,202000.0,250000.0,357000.0,29000.0,806000.0,,1263000.0,,3500000.0,14301000.0,4650000.0,-1000.0,,,18000.0,-514000.0,,0.0,-574000.0,1370000.0,1389000.0,160000.0,1500000.0,55889000.0,41292000.0,37122000.0,0.0,,220000.0,9931000.0,6405000.0,,,68448000.0,,,408000.0,1448000.0,2100000.0,6372000.0,44284000.0,1362000.0,362000.0,107099000,58108000,188000.0,351571000.0,,,,223475000.0,7833000.0,0.0,,3402.0,93.32,3328.0,,,0.0,341000.0,-481000.0,528000.0,343937000.0,361879000.0,937000.0,898000.0,504600.0,,4000000.0,,565517.0,0.0,17942000.0,248000.0,8000.0,210000.0,298000.0,56000.0,115000.0,,6861000.0,6886000.0,6860000.0,73000.0,0.0,0.0,2339000.0,2136000.0,6058000.0,2309000.0,0.001,0.02,,0.0,7348000.0,,11743000.0,0
2,44298000,,,,91115000.0,,1390000.0,450000.0,130000.0,145000.0,205000.0,190000.0,270000.0,5859000.0,16572000,48991000,129000.0,2738000.0,4472000.0,6034000.0,,,,,,,0.0,415133000.0,345540000.0,58893000.0,,,59248000.0,,8520000.0,25566000.0,15803000.0,13679000.0,12639000.0,5263000.0,12740000.0,5697000.0,78733000.0,59360000.0,,16000.0,128000.0,,,,,,,48974000.0,-31999000.0,27034000.0,-10414000.0,2385000.0,,8.25,,1.0,12000000.0,7440518.0,,7441000.0,,,90558000.0,,,,,0.005,,,1088000.0,,9440000.0,,,,,,3336000.0,,6268000.0,432000.0,,,,,,1112000.0,4467000.0,,0.0,,6566000.0,,,,10636000.0,,2.18,2.62,2.18,,,,,,,,1123000.0,,0.0,0.0,,,5330000.0,21000.0,21000.0,21000.0,5314000.0,,-322000.0,11413000.0,,,11485000.0,,0.0,,26517000.0,,,,3021000.0,8153000.0,,23842000.0,9636000.0,1.38,-516000.0,,-0.07,,8867000.0,,213000.0,,493000.0,-26748000.0,-5800000.0,,26747000.0,-151000.0,8425000.0,24698000.0,17722000.0,37144000.0,33851000.0,,,83132000,8948000.0,8181000.0,37040000,,,4637000.0,1823000.0,716000.0,531000.0,648000.0,644000.0,655000.0,336000.0,922000.0,23708000.0,1755000.0,1755000.0,1839000.0,887000.0,15795000.0,1755000.0,1761000.0,,,42296000.0,415133000.0,66729000.0,6253000.0,,,,,101005000.0,-55481000.0,-40935000.0,-10353000.0,-7489000.0,33835000.0,34567000.0,14975000.0,,3571000.0,3.0,3.0,,23206000.0,,,,3832000.0,483000.0,3232000.0,,3832000.0,1249000.0,476000.0,26000.0,195000.0,235000.0,304000.0,13000.0,,0.055,,,,14301000.0,4650000.0,11000.0,-37000.0,0.0,-30000.0,-57000.0,73000.0,0.0,387000.0,,636000.0,3500000.0,1540000.0,55889000.0,41292000.0,45064000.0,4526000.0,,,3088000.0,13858000.0,213000.0,,68448000.0,64033000.0,,408000.0,1448000.0,,10255000.0,48743000.0,1366000.0,362000.0,107099000,58108000,1037000.0,351571000.0,72854000.0,247000.0,598000.0,117075000.0,3311000.0,,,,,,101.26,,,,,,343937000.0,361879000.0,,285000.0,504600.0,,,1191000.0,,,17942000.0,,8000.0,,,,,23000.0,6863000.0,6889000.0,6862000.0,,0.0,0.0,,,,,0.012,0.021,,5295000.0,,,,0
3,32555000,3389000.0,85400000.0,,57965000.0,1650000.0,1180000.0,344000.0,118000.0,134000.0,185000.0,149000.0,250000.0,3665000.0,15601000,53207000,128000.0,3315000.0,4472000.0,12503000.0,210000.0,91000.0,1078000.0,,,1049000.0,5295000.0,,288438000.0,58893000.0,1000.0,73000.0,63981000.0,-30000.0,5123000.0,7465000.0,7867000.0,12773000.0,6782000.0,4822000.0,3330000.0,15949000.0,98382000.0,64071000.0,0.0,6000.0,96000.0,30708000.0,,,,,,48974000.0,745000.0,27034000.0,-17008000.0,-157000.0,1020000.0,,343937000.0,1.0,12000000.0,7440518.0,6894158.0,7441000.0,11351000.0,,261555000.0,22165000.0,26352000.0,4187000.0,,0.005,0.0,-3938000.0,1046000.0,5096000.0,9765000.0,-865000.0,296000.0,8314000.0,778000.0,1324000.0,3336000.0,8083000.0,6268000.0,293000.0,954000.0,253000.0,3202000.0,1695000.0,6759000.0,,4467000.0,4000.0,532000.0,37000.0,8637000.0,2434000.0,,,,56665000.0,6.03,1.26,6.03,0.357,0.35,-0.026,0.036,-0.003,858000.0,6135000.0,1258000.0,14174000.0,0.0,0.0,60424000.0,1716000.0,1772000.0,21000.0,21000.0,21000.0,3699000.0,26413000.0,,11413000.0,-5843000.0,2300000.0,11485000.0,0.0,0.0,2840000.0,75467000.0,,,,,28816000.0,9836000.0,65356000.0,8157000.0,1.18,-46000.0,1680000.0,-0.01,7000.0,23969000.0,26686000.0,6043000.0,534000.0,6138000.0,-1244000.0,-432000.0,-1455000.0,14557000.0,-5743000.0,5604000.0,,17722000.0,43033000.0,33851000.0,546000.0,-857000.0,87929000,12688000.0,8181000.0,32208000,2010000.0,416000.0,4519000.0,1824000.0,741000.0,531000.0,648000.0,648000.0,693000.0,175000.0,869000.0,23265000.0,1755000.0,1755000.0,1843000.0,444000.0,15795000.0,1755000.0,1761000.0,1868000.0,35804000.0,42296000.0,362865000.0,48156000.0,6253000.0,0.0,5000000.0,5490000.0,90700000.0,81496000.0,-55481000.0,-85322000.0,-1542000.0,-13578000.0,57768000.0,62342000.0,41387000.0,,3571000.0,3.0,3.0,,63397000.0,336000.0,1182000.0,444000.0,,520000.0,3130000.0,416000.0,,928000.0,407000.0,13000.0,30000.0,226000.0,252000.0,40000.0,826000.0,0.055,2062000.0,,,24279000.0,12321000.0,-19000.0,,,-29000.0,,69000.0,535000.0,790000.0,,1959000.0,3500000.0,1580000.0,55889000.0,41292000.0,45464000.0,,211000.0,3500000.0,13584000.0,17972000.0,1504000.0,,68448000.0,,,408000.0,,2146000.0,3883000.0,62109000.0,1365000.0,362000.0,116149000,62942000,,317086000.0,72854000.0,,,337022000.0,12070000.0,32.0,86.97,1695.0,76.43,6730.0,,,,388000.0,-660000.0,840000.0,,327970000.0,1107000.0,1224000.0,504512.0,,,,546360.0,0.0,17728000.0,209000.0,,97000.0,142000.0,74000.0,18000.0,,6862000.0,6888000.0,6861000.0,,823000.0,492000.0,,,,,,,,,,,,0
