,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccruedInvestmentIncomeReceivable,Assets,AssetsFairValueDisclosure,AssetsNet,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,ClassOfWarrantOrRightUnissued,ContractualObligation,CurrentIncomeTaxExpenseBenefit,CustodyFees,DeferredIncomeTaxExpenseBenefit,DeferredIncomeTaxesAndTaxCredits,DeferredIncomeTaxLiabilities,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsValuationAllowance,DeferredTaxLiabilities,DeferredTaxLiabilitiesOther,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,IncomeTaxExpenseBenefit,IncomeTaxExpenseBenefitContinuingOperations,IncomeTaxesPaid,IncreaseDecreaseInAccruedInvestmentIncomeReceivable,IncreaseDecreaseInDeferredIncomeTaxes,LegalFees,Liabilities,LiquidationBasisOfAccountingAccruedCostsToDisposeOfAssetsAndLiabilities,LiquidationBasisOfAccountingRemeasurementGainLossOnAccruedCostsToDisposeOfAssetsAndLiabilities,LiquidationBasisOfAccountingRemeasurementGainLossOnAsset,LitigationSettlementAmountAwardedToOtherParty,LitigationSettlementExpense,LossContingencyAccrualPayments,LossContingencyAccrualProvision,LossContingencyEstimateOfPossibleLoss,MarketableSecurities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,OperatingLossCarryforwards,OtherAssets,OtherAssetsMiscellaneous,PaymentsToAcquireMarketableSecurities,ProceedsFromContributionsFromAffiliates,ProceedsFromDividendsReceived,ProceedsFromInterestAndDividendsReceived,ProceedsFromInterestReceived,ProceedsFromSaleAndMaturityOfMarketableSecurities,ValuationAllowanceDeferredTaxAssetChangeInAmount,y
10,6782000,6500000.0,1670731000,1668260000.0,,,,,,,0.0,,172039000.0,,78186000.0,119081000.0,0.0,21724000.0,,98015000.0,,,,-166170000.0,,0.0,,,,280550000,,,,,,,,,76796000,,,,,97300000,,1815000.0,,,,,,,-103900000.0,0
11,7431000,16700000.0,2071502000,2069148000.0,,,,,,,0.0,,-56262000.0,,39948000.0,119710000.0,0.0,468000.0,106473000.0,119135000.0,32183000.0,,,,,,,,,446785000,31278000.0,-2474000.0,175229000.0,,,,,,69689000,,,,,106000000,,1714000.0,,,,50000.0,,,71200000.0,0
12,5510000,16700000.0,2255959000,2253085000.0,1007366000.0,2414000.0,488000.0,,,,,94000.0,,,82327000.0,118293000.0,0.0,377000.0,108720000.0,121486000.0,,,,331015000.0,,,,,,178501000,31278000.0,7711000.0,,,,,,,30435000,17000.0,,7106000.0,-6635000.0,110600000,,1586000.0,21750000.0,,,4658000.0,,28856000.0,30300000.0,0
13,4964000,16700000.0,1445510000,1442475000.0,1007366000.0,,,,,,0.0,,56262000.0,,,,0.0,,108227000.0,,,,0.396,,,0.0,,,,114316000,31278000.0,-272000.0,,,,,,,49735000,,,,,118300000,,1547000.0,,,,4606000.0,,,,0
14,3105000,16700000.0,1174894000,1167413000.0,,573000.0,33191000.0,,,,,30000.0,166170000.0,,21724000.0,119739000.0,0.0,314000.0,,121282000.0,,,,132662000.0,,,,,,110400000,31278000.0,5043000.0,,,,,,,44382000,28000.0,,46361000.0,-13198000.0,129100000,,1502000.0,57035000.0,,,4803000.0,,103396000.0,40900000.0,0
15,3105000,,1174894000,1167413000.0,,,8913000.0,,,,,,-166170000.0,,564000.0,120585000.0,,548000.0,108377000.0,126959000.0,,,0.396,-132662000.0,,,,,,110400000,,5315000.0,,,,,,,44382000,28000.0,,27061000.0,-18176000.0,131800000,,1502000.0,97020000.0,,,4624000.0,,124081000.0,41300000.0,0
16,3933000,12300000.0,1246662000,1229801000.0,1150707000.0,1010000.0,13922000.0,,,,,147000.0,164845000.0,,468000.0,119603000.0,0.0,444000.0,109051000.0,133443000.0,,,,-32183000.0,,,,,,115926000,30118000.0,33957000.0,,,,,,,39306000,139000.0,,32414000.0,-18631000.0,133700000,,1598000.0,118162000.0,,,7328000.0,,150576000.0,71600000.0,0
17,3327000,22700000.0,537270000,,1150707000.0,1010000.0,6531000.0,,,,0.0,,,,377000.0,121863000.0,0.0,1329000.0,110797000.0,67286000.0,,,,32183000.0,,0.0,,,,42766000,30118000.0,8579000.0,,,,,,,503228000,66000.0,,5076000.0,1389000.0,137600000,,,30529000.0,,,9795000.0,,35605000.0,8600000.0,0
18,3327000,34100000.0,537270000,,,1010000.0,-1757000.0,,,,,18000.0,331015000.0,,,,0.0,,112442000.0,,,,,164845000.0,,,,,,42766000,,13053000.0,,,,,,,503228000,,,17268000.0,-19025000.0,139500000,,,3553448000.0,,,3094000.0,,3570716000.0,-32700000.0,0
19,3327000,31552000.0,537270000,,,1010000.0,-242000.0,,,,,,,,314000.0,121596000.0,0.0,1777000.0,,67704000.0,,,0.396,,,,,,,42766000,31683000.0,9434000.0,,,,,,,503228000,,,1709000.0,-1951000.0,140600000,,,2232224000.0,,,5396000.0,,2233933000.0,-35200000.0,0
20,2975000,31552000.0,470639000,,1385726000.0,,-166000.0,,,,,37000.0,132662000.0,,548000.0,127507000.0,,3159000.0,114221000.0,68381000.0,,,,0.0,,0.0,,,,406777000,32902000.0,855000.0,,,,,,,434238000,,,2930000.0,-3096000.0,139700000,,,3275108000.0,,,,,3278038000.0,,0
21,1863000,31552000.0,452046000,,,,-738000.0,,,,0.0,,-132662000.0,,444000.0,133887000.0,0.0,2253000.0,116045000.0,66363000.0,,,,0.0,,,,,,384634000,32902000.0,9511000.0,,,,,,,432322000,,,1955000.0,-2693000.0,139100000,,,4331503000.0,,,6546000.0,,4333458000.0,62000000.0,0
22,2378000,30300000.0,437723000,,1390181000.0,1498000.0,15000.0,,,,,19000.0,-32183000.0,,1329000.0,68615000.0,0.0,6193000.0,119095000.0,60179000.0,,,,,,0.0,,,,431143000,,-4013000.0,,,,,,,392777000,,,-87000.0,102000.0,139300000,,,973880000.0,,,,,973793000.0,84100000.0,0
23,2378000,30300000.0,437723000,,1390181000.0,,16453000.0,,,,,,32183000.0,,,,0.0,,60747000.0,,,,0.396,,,,,,,431143000,26375000.0,27504000.0,,,,,,,392777000,,,68990000.0,-52537000.0,138700000,,,1469215000.0,,,8965000.0,,1538205000.0,22000000.0,0
24,2378000,11500000.0,437723000,,1390181000.0,34201000.0,1197000.0,,,,0.0,49000.0,164845000.0,,1777000.0,69481000.0,0.0,4564000.0,,59369000.0,,,,,,,,,,431143000,27593000.0,,,,,,,,392777000,,,,,139100000,,,,,,1572000.0,,,83200000.0,0
25,2378000,17583000.0,437723000,,1390181000.0,9923000.0,41025000.0,,,,,,,,3159000.0,71540000.0,,8409000.0,61836000.0,59456000.0,,,,,,,,,,431143000,23399000.0,31517000.0,,,,,,,392777000,,,70906000.0,-69709000.0,139500000,,,1729379000.0,,,2053000.0,,1800285000.0,-900000.0,0
26,2556000,16584000.0,133593000,,,14932000.0,-39823000.0,,,,0.0,12000.0,0.0,,2253000.0,68616000.0,0.0,12762000.0,62561000.0,54393000.0,,,0.396,,,0.0,,,,126309000,,,,,,,,,130013000,,,,,140600000,,,,,,2072000.0,,,85500000.0,0
27,2831000,2096000.0,122532000,,,14932000.0,,,,,,,,,6193000.0,66372000.0,0.0,11342000.0,59891000.0,54740000.0,,,,,,,,,,114894000,23399000.0,29138000.0,,,,,,,118829000,,,110451000.0,-69786000.0,142700000,,,2210573000.0,,,,,2321024000.0,,0
28,1978000,2096000.0,119439000,,1624717000.0,21463000.0,,,,,,53000.0,0.0,,,,0.0,,52217000.0,,,,0.396,,,,,,,111603000,23399000.0,,,,,,,,112401000,,,262764000.0,-302587000.0,144900000,,,86372000.0,,,,,349136000.0,5700000.0,0
