,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossBeforeTax1,AcquisitionCostsCumulative,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdvanceRoyalties,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockDividendsShares,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesSubscriptions,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,ConversionOfStockAmountConverted1,ConvertibleDebtCurrent,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtInstrumentCarryingAmount,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsCommonStock,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EquityMethodInvestmentAggregateCost,EquityMethodInvestmentOwnershipPercentage,EquityMethodInvestmentSummarizedFinancialInformationAssets,EquityMethodInvestmentSummarizedFinancialInformationCurrentAssets,EquityMethodInvestmentSummarizedFinancialInformationCurrentLiabilities,EquityMethodInvestmentSummarizedFinancialInformationEquity,EquityMethodInvestmentSummarizedFinancialInformationLiabilitiesAndEquity,EquityMethodInvestmentSummarizedFinancialInformationRevenue,EquityMethodInvestments,ExplorationCosts,ExplorationExpenseMining,GainLossOnInvestments,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromEquityMethodInvestments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPayableCurrent,InterestRevenueExpenseNet,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToParentDiluted,NotesPayableRelatedPartiesClassifiedCurrent,NotesReduction,OfficersCompensation,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherExpenses,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PaymentsToAcquireInterestInJointVenture,PaymentsToAcquireRoyaltyInterestsInMiningProperties,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromNotesPayable,ProfitLoss,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SharesIssued,ShortTermBorrowings,StockholdersEquity,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfDilutedSharesOutstanding,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockSharesOutstanding,CommonStockValue,DueToOtherRelatedPartiesClassifiedCurrent,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,NonoperatingIncomeExpense,OperatingExpenses,ProceedsFromRelatedPartyDebt,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,ShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForServices,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,ConvertibleDebt,DueToRelatedPartiesNoncurrent,OtherCommitment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,y
20,23691,,85671.0,,,,,,,,,25000.0,5156.0,137170.0,7170.0,,6181.0,,,,,,,,,49615.0,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,95034.0,,,,,16432.0,53.0,,,4167.0,252417.0,1083.0,-419.0,,,,110363.0,,814558.0,,-357500.0,-783514.0,,-105327.0,,,,,-124890.0,,,,-407382.0,-2317.0,,,,,,,467883.0,,-150205.0,,-1295600.0,,,,,80130.0,,,,86899164.0,,,,,,,,,,,,,,,,,,,,,0
21,23691,,,,,,,,,,,,268982.0,182165.0,23875.0,,,,,,,,,49615297.0,,,,,,,,6572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23101.0,,,,,,,,,,61460.0,5033.0,-63.0,,,5338.0,,,180000.0,,,-200734.0,,-3182.0,,,,,-23101.0,,,,-89687.0,-1317.0,,,,,,,20000.0,,,,-1311030.0,,,,,80130.0,,,,,,,,,,,,,,,,,,,,,,,,,0
22,23691,,85724.0,,,,1005270.0,,,,,,268982.0,268982.0,10271.0,5338.0,22886.0,,,,,,500000000.0,49614797.0,,49615.0,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,10160.0,-5172.0,,,-5208.0,118685.0,5744.0,,,,9796.0,151726.0,,,,-357500.0,,,,,,,,,,,,-164625.0,-3729.0,,,,,,,,,-28015.0,,-1311030.0,,,,,80130.0,,,,48297035.0,,,,,,,,,,,,,,,,,,,,,0
23,29003,,85799.0,,,,1005270.0,,,,,,268982.0,268982.0,10271.0,629.0,9282.0,,,,,0.001,500000000.0,49615297.0,,49615.0,,,,,,281016.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,-4946.0,128.0,,,3126.0,175073.0,233431.0,,,,5156.0,249335.0,,,,-357500.0,,,-16571.0,,,,,,,,,-240260.0,-4281.0,,,,,,,,,-74748.0,,-1311030.0,,,,,,,,,48404897.0,,,,,,,,,,,,,,,,,,,,,0
24,49231,,91499.0,,,,1005270.0,,,,,,353387.0,268982.0,10271.0,,,,,,,0.001,500000000.0,49615297.0,,49615.0,,,,,,317559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223110.0,,,,,,,,,,56388.0,,-440.0,,,5156.0,261301.0,,424500.0,,,-343038.0,,,,,,,-519859.0,,,,-75635.0,-2872.0,,,,,,,30000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,73576,,91499.0,,,,,,,,,,562394.0,,,1953.0,-8810.0,,,,,0.001,,49615297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151177.0,,,,,-3712.0,5828.0,,,6252.0,233431.0,,-84.0,,,5156.0,261301.0,,,,,,,-13389.0,,,,,-447926.0,,,,,,,,,,,,,,-135535.0,,-1339045.0,,,,,-20907.0,,,,48506427.0,,,,,,,,,,,,,,,,,,,,,0
26,90816,,91499.0,,,,,,,,,,493865.0,353387.0,1461.0,,,,,,,,,7087919.0,,,,,,,,112058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8161.0,,,,58358.0,,,,,5156.0,261301.0,,512000.0,,,-534355.0,,,,,,,,,,,,,,,,,,,90000.0,,,,-1385778.0,,,,,-32519.0,,,,,,,,,,,,,,,,,,,,,,,,,0
27,90816,,91499.0,,,,,,,,,,480694.0,562394.0,31572.0,989.0,21301.0,,,,,,,7087919.0,,,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,274029.0,,,,,-2994.0,27195.0,,,9375.0,233431.0,,-461.0,,,,261301.0,,,,,,,-125309.0,,,,,-800875.0,,,,,,,,,,,,,,-249362.0,,-1446565.0,,,,,88593.0,,,,48544011.0,,,,,,,,,,,,,,,,,,,,,0
28,90816,,99660.0,,,,,,,,,,480694.0,493865.0,8314.0,989.0,,,,,,,,7087919.0,,,,,,,,415974.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,50919.0,,,,,,16997.0,,,,,,-21.0,,,2217.0,,,20000.0,,,-19085.0,,-23164.0,,,,,-281016.0,,,,,,,,,,,,90000.0,,,,-1560392.0,,,,,-105940.0,,,,,,,,,,,,,,,,,,,,,,,,,0
29,90816,,117660.0,,,,1005270.0,,,,,,480694.0,28823.0,28823.0,989.0,-1957.0,,,,,,500000000.0,49615297.0,,49615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5312.0,,,,9375.0,58358.0,,,,,137170.0,286377.0,,,,,,,,,,,,,,,,,,,,,,,,,,-132936.0,,-1560392.0,,,,,-105940.0,,,,48814474.0,,,,,,,,,,,,,,,,,,,,,0
30,108659,,108496.0,,,,1188208.0,,,,,,480694.0,28823.0,28823.0,989.0,,,,,,0.001,500000000.0,16677431.0,,16677.0,,,,,,98415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87462.0,,,,,,,,,-12000.0,,,-90.0,,,182165.0,318063.0,,30000.0,,,-33794.0,,-6593.0,,,,,-317559.0,,,,,,,,,,,,,,,,-1560392.0,,,,,-105940.0,,,,,,,,,,,,,,,,,,,,,,,,,0
31,134842,,,,,,1188208.0,,,,,,461606.0,28823.0,28823.0,,18552.0,,,,,0.001,500000000.0,16677451.0,,16677.0,,,,,,,,,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,,,25540.0,,,,-9000.0,,,,,,268982.0,423845.0,,,,,,,,,,,,,,,,,,,,,,,,,,-293464.0,,-1560392.0,,,,,-105940.0,,,,48825572.0,,,,,,,,,,,,,,,,,,,,,0
32,154447,,,,,,1562516.0,,,,,,478076.0,480694.0,28823.0,,-2435.0,,,,,0.001,,16677451.0,,16677.0,,,,,,610402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36543.0,,,,,,,,,,,,-69.0,,,268982.0,250181.0,,90000.0,,,-92470.0,,-550155.0,,,,,-112058.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,747167,,,,,,1562516.0,,,,,,412627.0,26388.0,26388.0,,22107.0,,,,,,,16677451.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,49885.0,,,,,,,,,,268982.0,250181.0,,,,,,,-448010.0,,,,,,,,,,,,,,,,,,,-437765.0,,-1693328.0,,,,,,,,,49614797.0,,,,,,,,,,,,,,,,,,,,,0
34,980598,,,,,,1562516.0,,,,,,,62930.0,50930.0,,-21095.0,,,,,,,16677451.0,,,,,,,,40014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133196.0,,,,,,,,,,,,-163.0,,,268982.0,250181.0,,90000.0,,,-93434.0,,,,,,,-415974.0,,,,,,,,,,,,,,,,-1853856.0,,,,,-146388.0,,,,,,,,,,,,,,,,,,,,,,,,,0
35,980598,,,,,,,,,,,,,,,550.0,,,,,,0.001,500000000.0,,,,,,,,,70241.0,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,,,,,45734.0,,,,,17843.0,,,,,,,-73.0,,,353387.0,,,190000.0,,,-439.0,,-281037.0,,,,,-98415.0,,,,,,,,,,,,,,-123149.0,,-2126686.0,,,,,-240715.0,,,,49614797.0,,,,,,,,,,,,,,,,,,,,,0
36,1038956,,,,,,1732479.0,,,,,,,,,,,,,,,0.001,500000000.0,18338022.0,,18338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44026.0,,,,,,,,,,562394.0,295898.0,,,,,,,,,,,,,,,,,,,,,,,,,,-246013.0,,-2126686.0,,,,,-256145.0,,,,,,,,,,,,,,,,,,,,,,,,,0
