,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsPayableCurrent,AccountsPayableRelatedPartiesCurrent,AccruedLiabilitiesCurrent,AccumulatedOtherComprehensiveIncomeLossBeforeTax1,AcquisitionCostsCumulative,AdditionalPaidInCapital,AdjustmentsToAdditionalPaidInCapitalConvertibleDebtWithConversionFeature,AdvanceRoyalties,AmortizationOfDebtDiscountPremium,AntidilutiveSecuritiesExcludedFromComputationOfEarningsPerShareAmount,AssetImpairmentCharges,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CommonStockCapitalSharesReservedForFutureIssuance,CommonStockDividendsShares,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesSubscriptions,CommonStockValueOutstanding,ComprehensiveIncomeNetOfTax,ConversionOfStockAmountConverted1,ConvertibleDebtCurrent,ConvertibleNotesPayable,ConvertibleNotesPayableCurrent,CostsAndExpenses,DebtConversionConvertedInstrumentAmount1,DebtInstrumentCarryingAmount,DebtInstrumentConvertibleBeneficialConversionFeature,DebtInstrumentConvertibleConversionPrice1,DebtInstrumentFaceAmount,DebtInstrumentInterestRateEffectivePercentage,DebtInstrumentUnamortizedDiscount,DeferredTaxAssetsNet,DeferredTaxAssetsOperatingLossCarryforwards,DeferredTaxAssetsOther,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DividendsCommonStock,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationChangeInDeferredTaxAssetsValuationAllowance,EffectiveIncomeTaxRateReconciliationChangeInEnactedTaxRate,EquityMethodInvestmentAggregateCost,EquityMethodInvestmentOwnershipPercentage,EquityMethodInvestmentSummarizedFinancialInformationAssets,EquityMethodInvestmentSummarizedFinancialInformationCurrentAssets,EquityMethodInvestmentSummarizedFinancialInformationCurrentLiabilities,EquityMethodInvestmentSummarizedFinancialInformationEquity,EquityMethodInvestmentSummarizedFinancialInformationLiabilitiesAndEquity,EquityMethodInvestmentSummarizedFinancialInformationRevenue,EquityMethodInvestments,ExplorationCosts,ExplorationExpenseMining,GainLossOnInvestments,GeneralAndAdministrativeExpense,IncomeLossFromContinuingOperations,IncomeLossFromDiscontinuedOperationsNetOfTaxAttributableToReportingEntity,IncomeLossFromEquityMethodInvestments,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsPayableRelatedParties,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInPrepaidExpense,InterestExpense,InterestPayableCurrent,InterestRevenueExpenseNet,InvestmentsInAffiliatesSubsidiariesAssociatesAndJointVentures,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,LoansPayableCurrent,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetIncomeLoss,NetIncomeLossAttributableToParentDiluted,NotesPayableRelatedPartiesClassifiedCurrent,NotesReduction,OfficersCompensation,OperatingIncomeLoss,OperatingLossCarryforwards,OtherComprehensiveIncomeForeignCurrencyTransactionAndTranslationAdjustmentNetOfTaxPortionAttributableToParent,OtherExpenses,OtherNonoperatingIncomeExpense,OtherOperatingIncomeExpenseNet,PaymentsToAcquireInterestInJointVenture,PaymentsToAcquireRoyaltyInterestsInMiningProperties,PrepaidExpenseCurrent,ProceedsFromConvertibleDebt,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOrSaleOfEquity,ProceedsFromLoans,ProceedsFromNotesPayable,ProfitLoss,ResearchAndDevelopmentExpense,RetainedEarningsAccumulatedDeficit,Revenues,SaleOfStockPricePerShare,SharesIssued,ShortTermBorrowings,StockholdersEquity,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,WeightedAverageNumberOfDilutedSharesOutstanding,CashEquivalentsAtCarryingValue,CommitmentsAndContingencies,CommonStockSharesOutstanding,CommonStockValue,DueToOtherRelatedPartiesClassifiedCurrent,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,NonoperatingIncomeExpense,OperatingExpenses,ProceedsFromRelatedPartyDebt,WeightedAverageNumberOfShareOutstandingBasicAndDiluted,ShareBasedCompensation,StockIssuedDuringPeriodValueIssuedForServices,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,ConvertibleDebt,DueToRelatedPartiesNoncurrent,OtherCommitment,PreferredStockParOrStatedValuePerShare,PreferredStockSharesAuthorized,PreferredStockSharesIssued,PreferredStockSharesOutstanding,y
10,41374,19074.0,49951.0,,,,582247.0,,,,,5000.0,103477.0,4423.0,4423.0,2359.0,,,,40000000.0,,0.001,500000000.0,48038212.0,,48038.0,,,,,284450.0,101789.0,,,432701.0,0.001,,,,,542826.0,,,,,,,,,,,,,,,,,451871.0,606.0,,28227.0,71933.0,,,,190.0,,,,398.0,,,440.0,-356.0,,,103477.0,23347.0,110000.0,4162.0,,-25000.0,-4162.0,,-2765.0,,,,,-101789.0,,,356.0,,,,,,,205000.0,,4162.0,,,,-550155.0,,,,2598.0,-82455.0,,,,30000000.0,,,,,,,,,,,,,,,,,,,,,0
11,36795,11444.0,49951.0,,,,582247.0,,,,,2500.0,103477.0,,,,915.0,,,40000000.0,,0.001,500000000.0,48038212.0,,48038.0,,,,,284450.0,25066.0,,,1389.0,0.001,,,,,685035.0,,,,10243.0,0.0,,,,,,,,,,,,451871.0,230097.0,,45940.0,19460.0,,,-121285.0,-1496.0,-9471.0,44506.0,,42.0,-9167.0,62328.0,440.0,-84.0,,,103477.0,23347.0,,,,-25000.0,,,-10941.0,,,,,-25066.0,,,84.0,-95987.0,-73.0,357500.0,,1667.0,470000.0,,,,,-416137.0,440823.0,-550155.0,,,,2598.0,-87145.0,,,,30000000.0,,,,,,,,,,,,,,,,,,,,,0
12,33850,9163.0,49951.0,,,,582247.0,,,,,,,5338.0,5338.0,108240.0,,,,,,,500000000.0,48038212.0,,48038.0,,,,,284450.0,104950.0,,,18409.0,,,,,,2100000.0,,,,69031.0,,,,,,,,,,,,,435218.0,75515.0,,65187.0,,,,,1679.0,,,,419.0,,,440.0,,,,103477.0,23347.0,110000.0,118128.0,,-25000.0,-93128.0,,-8176.0,,,,,-19460.0,,,377.0,,,,,9375.0,,411500.0,,101453.0,,,,-867804.0,,,,2598.0,-87145.0,,,,,,,,,,,,,,,,,,,,,,,,,0
13,33850,,49951.0,,,,582247.0,,,,,22500.0,6044.0,9796.0,629.0,,-3794.0,,,,,,500000000.0,48038212.0,,48038.0,,,,,343944.0,3161.0,,,18409.0,,,,,,,,,,,-0.01,,,,,,,,,,,,415146.0,,,,75094.0,,,-42148.0,-7.0,-5389.0,14916.0,,63.0,-6667.0,124487.0,440.0,-377.0,,,,23347.0,,18025.0,,-130000.0,-18025.0,,-97455.0,,1675.0,,,-104950.0,,,21.0,-203624.0,-268.0,,,9375.0,520000.0,,,18025.0,,-610670.0,32215.0,-966292.0,,,,2598.0,-87145.0,,,,30000000.0,,,,,,,,,,,,,,,,,,,,,0
14,33850,,,,,,,,,,,2500.0,2359.0,8620.0,1953.0,4423.0,,,,,,,,43038212.0,,,,,,,399782.0,118318.0,,,,,,,,,,,,,,,,,,,,,,,,,,395899.0,,,,3161.0,,,,,,,,,,,461.0,-21.0,,,6044.0,,,,,,,,-20460.0,,1675.0,,,-3161.0,,,398.0,,,,,9375.0,25000.0,479000.0,,,,,,-1160825.0,,,,2598.0,-87145.0,,,,,,,,,,,,,,,,,,,,,,,,,0
15,33850,,64867.0,,,,761823.0,,,,,,4423.0,5156.0,989.0,4423.0,-2470.0,,,,,,500000000.0,48461741.0,,48462.0,,,,,425240.0,16529.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,-154965.0,,11745.0,20621.0,,,-4167.0,62159.0,482.0,,,,2359.0,26951.0,,123211.0,,-160000.0,-98211.0,,,,14675.0,,,,,,42.0,-107637.0,-434.0,,,9375.0,85000.0,,,106536.0,,-40448.0,,-1160825.0,,,,2598.0,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,44010,,85671.0,,,,1005270.0,,,,,5000.0,4423.0,5156.0,989.0,4423.0,-3434.0,,,,,0.001,500000000.0,49615297.0,,49615.0,,,,,,13368.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,16529.0,,,-45940.0,,23956.0,35720.0,,,2500.0,190211.0,346.0,-42.0,,,4423.0,19647.0,,,,-292500.0,,,,,,,,-16529.0,,,419.0,-311496.0,-1000.0,,,6249.0,,,,,,-71241.0,32215.0,-1160825.0,,,,,,,,,30000000.0,,,,,,,,,,,,,,,,,,,,,0
17,23160,,85671.0,,,,1005270.0,,,,,5000.0,,5156.0,989.0,,,,,,,0.001,500000000.0,49614797.0,,49615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17713.0,,,,,,,,79.0,,,,4423.0,110363.0,,634558.0,,,-582780.0,,-102145.0,,,,,,,,63.0,,,,,527699.0,,,,467883.0,,,,,,,,,-90327.0,,,,,,,,,,,,,,,,,,,,,,,,,0
18,24394,,,,,,1005270.0,,,,,25000.0,5338.0,,,,-439.0,,,,,0.001,,49614797.0,,,,,,,,124890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13368.0,,,-65187.0,,19377.0,35720.0,,,4167.0,65724.0,579.0,-21.0,,,4423.0,110363.0,,534455.0,,-130000.0,-507677.0,,-25150.0,,,,,-13368.0,,,21.0,-107872.0,-566.0,,,12000.0,,,,384455.0,,-134775.0,,-1201273.0,,,,,-103716.0,,,,,,,,,,,,,,,,,,,,,,,,,0
19,23691,,85671.0,,,,1005270.0,,,,,25000.0,9796.0,2217.0,550.0,,,,,,,,,49614797.0,,49615.0,,,,,,23101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19247.0,,,,,,,,827.0,,,,4423.0,110363.0,,,,,,,,,,,,,,,,,,,,9000.0,,,,,,,,-1232066.0,,,,,-110309.0,,,,,,,,,,,,,,,,,,,,,,,,,0
