,AccountsPayableAndAccruedLiabilitiesCurrent,AccountsReceivableNetCurrent,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AccumulatedOtherComprehensiveIncomeLossNetOfTax,AdditionalPaidInCapital,AdjustmentForAmortization,AdministrativeFeesExpense,AdvertisingExpense,AllowanceForLoanAndLeaseLossesRecoveriesOfBadDebts,AllowanceForLoanAndLeaseLossesWriteoffsNet,AmortizationOfAdvanceRoyalty,AssetManagementFees,Assets,AssetsCurrent,Cash,CashAndCashEquivalentsAtCarryingValue,CashEquivalentsAtCarryingValue,CashPeriodIncreaseDecrease,ClosedBlockOperationsResultsBeforeIncomeTaxes,CommitmentsAndContingencies,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,CommonStockSharesSubscriptions,CommonStockValue,ConversionOfStockAmountIssued1,ConversionOfStockSharesIssued1,CurrentFederalTaxExpenseBenefit,DebtConversionConvertedInstrumentAmount1,DebtConversionConvertedInstrumentSharesIssued1,DeferredIncomeTaxLiabilities,DeferredTaxAssetsGross,DeferredTaxAssetsLiabilitiesNet,DeferredTaxAssetsNetNoncurrent,DeferredTaxAssetsValuationAllowance,DevelopmentStageEnterpriseDeficitAccumulatedDuringDevelopmentStage,DueToOfficersOrStockholdersCurrentAndNoncurrent,DueToRelatedPartiesCurrent,EarningsPerShareBasicAndDiluted,EffectiveIncomeTaxRateReconciliationAtFederalStatutoryIncomeTaxRate,EffectiveIncomeTaxRateReconciliationStateAndLocalIncomeTaxes,EffectOfExchangeRateOnCashAndCashEquivalents,FeesAndCommissionsTransferAgent,ForeignCurrencyTransactionGainBeforeTax,ForeignCurrencyTransactionLossBeforeTax,GeneralAndAdministrativeExpense,GeneralContractorCosts,GoodwillAndIntangibleAssetImpairment,GoodwillWrittenOffRelatedToSaleOfBusinessUnit,IncomeLossFromContinuingOperations,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,IncomeTaxesPaid,IncomeTaxesPaidNet,IncomeTaxReconciliationChangeInDeferredTaxAssetsValuationAllowance,IncomeTaxReconciliationNondeductibleExpenseMealsAndEntertainment,IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost,IncreaseDecreaseInAccountsPayable,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInDeferredRevenue,IncreaseDecreaseInDueToRelatedParties,IncreaseDecreaseInFinishedGoodsAndWorkInProcessInventories,InterestExpense,InterestPaidNet,IssuanceOfStockAndWarrantsForServicesOrClaims,LeaseAndRentalExpense,Liabilities,LiabilitiesAndStockholdersEquity,LiabilitiesCurrent,ManagementFeeExpense,MarketingAndAdvertisingExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NoninterestExpenseTransferAgentAndCustodianFees,NotesPayableRelatedPartiesClassifiedCurrent,NotesPayableRelatedPartiesCurrentAndNoncurrent,OperatingExpenses,OperatingIncomeLoss,OperatingLossCarryforwards,OtherExpenses,OtherExtraordinaryGainLoss,OtherGeneralAndAdministrativeExpense,OtherOperatingIncomeExpenseNet,PaymentForAdministrativeFees,PaymentsToAcquireAssetsInvestingActivities,PrepaidExpenseAndOtherAssets,PrepaidExpenseCurrent,ProceedsFromContributionsFromParent,ProceedsFromIssuanceOfCommonStock,ProceedsFromIssuanceOfWarrants,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,ProfessionalFees,ProfitLoss,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,RetainedEarningsAccumulatedDeficit,Revenues,SalariesAndWages,SaleOfStockPercentageOfOwnershipAfterTransaction,ShareBasedCompensation,ShareBasedCompensationArrangementByShareBasedPaymentAwardEquityInstrumentsOtherThanOptionsGrantsInPeriod,StockholdersEquity,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,StockIssued1,StockIssuedDuringPeriodSharesIssuedForCash,StockIssuedDuringPeriodSharesIssuedForServices,StockIssuedDuringPeriodValueConversionOfConvertibleSecurities,StockIssuedDuringPeriodValueIssuedForCash,StockIssuedDuringPeriodValueIssuedForServices,StockIssuedDuringPeriodValueNewIssues,StockIssuedDuringPeriodValueOther,StockIssuedDuringPeriodValueShareBasedCompensationGross,TravelAndEntertainmentExpense,WeightedAverageNumberOfDilutedSharesOutstanding,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,AllocatedShareBasedCompensationExpense,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseExcludingExchangeRateEffect,PaymentsToAcquireLand,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromLoans,PropertyPlantAndEquipmentOtherNet,RepaymentsOfNotesPayable,CostOfGoodsAndServicesSold,GrossProfit,StockIssuedDuringPeriodSharesNewIssues,AssetImpairmentCharges,AssetsFairValueAdjustment,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,Depreciation,DepreciationExpenseOnReclassifiedAssets,RelatedPartyCosts,StockIssuedDuringPeriodSharesOther,IncreaseDecreaseInOtherCurrentAssets,PrepaidExpenseNoncurrent,AssetsNoncurrent,IncreaseDecreaseInDeferredCompensation,RecognitionOfDeferredRevenue,ResultsOfOperationsIncomeTaxExpense,UnrecognizedTaxBenefitsIncreasesResultingFromAcquisition,BankOverdrafts,DueFromOtherRelatedParties,IncreaseDecreaseInPrepaidExpense,SupplementalDeferredPurchasePrice,y
10,3227,,,,712244.0,,8326.0,,,,,,,0.0,,0.0,,,-1842055.0,0.0,0.001,150000000.0,103073.0,14669106.0,,103.0,,,,,,,,,,,,,791923.0,,,,,-14736.0,,,,,,,,-421917.0,-28216.0,0.0,,,,,,,-2103.0,,,26500.0,,0.0,0.0,300000.0,,795295.0,102.0,795295.0,15000.0,,,-88000.0,-712284.0,-1503519.0,2150.0,,,2398829.0,-467943.0,,,,0.0,,,,,,,,,,,302655.0,1265385.0,,,,-2054623.0,,,,112500.0,,-1120982.0,654223.0,,,,,,,,,,,,,,,,,,,,40151.0,-28153.0,,,,25306.0,,,,,,,,,,,,,,,,0
11,1124,,,,,,96839.0,,,,,,234026.0,0.0,,,,,-12712.0,0.0,,,,16169106.0,678925.0,,,,,,,,,,,,,,228497.0,-0.12,,,,,,,,,,,,-467943.0,-1404207.0,,,,,,,,,,,791923.0,,0.0,,,,234367.0,,234367.0,15000.0,,103900.0,,63.0,-1503519.0,4133.0,,,12712.0,-73057.0,,,,0.0,,,,,,,,,,,18795.0,,,,,-2203699.0,,,,,,,649423.0,,,,,,,,,,,,,,,,,,,,117584.0,-59853.0,,,,10.0,,,,,,,,,,,,,,,,0
12,1124,,,,815996.0,,23763.0,,,,,,,,,0.0,,0.0,-1954648.0,,0.001,150000000.0,103046.0,16169106.0,0.0,103.0,,,,,,,,,,,,,89850.0,-0.37,,,,,,,130959.0,,,,,,-1507379.0,0.0,,0.0,,,,,21848.0,,,37700.0,,,0.0,993662.0,,150015.0,162000.0,150015.0,45000.0,,,,,,,,,2408250.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,103073.0,,,,,,,,,34899.0,-14955.0,,,,,,,,,,,,,,,,,,,,0
13,1124,,,,,,13019.0,,,,,,162000.0,0.0,,,,,-1851476.0,,,,,16169106.0,0.0,,,,,,,,,,,,,,,-1.37,,,,,,,,,,,,-73057.0,-37637.0,,,0.0,,,,,,,,,,0.0,,635358.0,,,,,15000.0,,0.0,,,,8566.0,,,2511422.0,-913862.0,,,,,,,,,,,,,,,,,,,,-2311041.0,,,,,,,-669727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,1124,,,,815996.0,,,,,,,,,0.0,,0.0,,0.0,-141009.0,,0.001,150000000.0,103046.0,19573952.0,,103.0,,,,,,,,,,,,,152546.0,,,,,,,,,,,,,,-141009.0,0.0,,0.0,,,,,,,,28500.0,,,0.0,,,219056.0,105000.0,219056.0,60000.0,,,,39.0,-387459.0,,,,37637.0,,,,,,,,,,,,,,,,11500.0,,,,,,0.0,,,,,-604737.0,,,,,,,,,,,,103046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,29837,,,,815996.0,,,,,,,,,0.0,,0.0,,0.0,-130959.0,0.0,0.001,150000000.0,103073.0,19573952.0,,103.0,,,,,,,,,,,,,215243.0,-2.74,,,,,,,,,,,,-840805.0,-913862.0,0.0,,0.0,,,,,,,,62697.0,,,,,,285350.0,63000.0,285350.0,15000.0,,,,,-387459.0,4433.0,,,,-840805.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,-1120982.0,,,,,,,,,,,,103046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,22971,,,,,,58654.0,,,,,,63000.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1007174.0,,,,,,,,,17830.0,,,,,,0.0,,,,,,,,0.0,,-26.0,,,,,130959.0,,,,,,,,,,,,,,,,0.0,,,,,-2866559.0,0.0,,,,,-1120982.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,22971,,,,815996.0,,45634.0,,,,,,,,,,,0.0,,0.0,0.001,150000000.0,103073.0,19573952.0,,103.0,,,,,,,,,,,,,287278.0,-1.37,,,,,,,,,,,,-93312.0,-840805.0,0.0,,,,,,,2531.0,,,72035.0,,,,,,344926.0,21000.0,344926.0,830850.0,,,,,-387459.0,,,,279933.0,,,,,,,,,,,,,,,,0.0,,,,,-2866559.0,,,,,,,,,,,,,,,,,,103046.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,18954,,,,,,,,,,,,21000.0,1360.0,,0.0,,0.0,,,,,,19840618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1294198.0,,,,,,,,,9599.0,,,,,,0.0,,,,,,,,0.0,,0.0,,4433.0,,,,-1007174.0,,,,,,,,,,,,,,,18000.0,,,,,-2866559.0,0.0,,,,,-654223.0,,,,,,,,,,,,103073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,18954,,,,815996.0,,,,,,,,,46334.0,,0.0,,0.0,,,0.001,150000000.0,103073.0,19840618.0,,103.0,,,,,,,,,,,,,353220.0,-1.2,,,,,,,,,,,,-823949.0,-1007174.0,,,,,,,,,,,65942.0,,,0.0,,,410268.0,0.0,410268.0,,,,,,,,,,138371.0,,,,,,,,,,,,,,,,42000.0,,,,,-2866559.0,,,,,,,,,,,,,,,,,,103073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,18954,,,,,,,,,,,,0.0,57149.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-93312.0,,,,,,,,52548.0,,,,,0.0,0.0,,,,,,815850.0,,0.0,,0.0,-95000.0,637.0,,,,-93312.0,,,,,,,,,,,,,,,24000.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,18954,,,,,,,,,,,,0.0,47938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,0.0,,0.0,304125.0,6533.0,,,,-1276407.0,,,,,,,,,,,,,,,24000.0,,,,,-3780421.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,21486,,,,2805766.0,,,,,,,,0.0,,,,,,,0.0,0.001,150000000.0,14669106.0,,,14669.0,,,,,,,,,,,,,45000.0,-1.04,,,,,,,,,,,,,-182813.0,0.0,,,,,,,,,,39075.0,,0.0,,,,46124.0,0.0,46124.0,90000.0,,0.0,,,304125.0,2880.0,,,98880.0,-823949.0,,,,,,,,,,,,,,,94000.0,,,,,-3873733.0,,,,,,-659023.0,,,,,,,,,,,,103073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,28553,,,,2805766.0,,,,,,,,0.0,47938.0,,,,,,,0.001,150000000.0,14669106.0,,,14669.0,,,,,,,,,,,,,45000.0,,,,,,,,,,,,,,,,,,,,,,,,,80173.0,,0.0,,,,46124.0,0.0,46124.0,,,0.0,,0.0,,4801.0,,,,-1006762.0,,,,,,,,,,,,,,,,,,,,-4160757.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,71502,,,,2805766.0,,,,,,,,,101412.0,,20029.0,,,,,0.001,150000000.0,14669106.0,,,14669.0,,,,,,,,,,,,,45000.0,,,,,,,,,,,,,,-258623.0,,,,,,,,,,,170046.0,,,,,,46124.0,,46124.0,,,,,0.0,304152.0,1922.0,,,,-182813.0,,,,,,,,,,,,,,,,,,,,-4160757.0,,,,,,-682439.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
