,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,AccountsReceivableNet,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,AdvancesToAffiliate,AllowanceForDoubtfulAccountsReceivable,AllowanceForDoubtfulAccountsReceivableChargeOffs,AreaOfRealEstateProperty,Assets,AssetsNet,BuildingsAndImprovementsGross,Cash,CashAndCashEquivalentsAtCarryingValue,CashAndCashEquivalentsPeriodIncreaseDecrease,CostsAndExpenses,DebtConversionOriginalDebtAmount1,Depreciation,DirectCostsOfLeasedAndRentedPropertyOrEquipment,DueToAffiliateCurrent,DueToAffiliateCurrentAndNoncurrent,DueToRelatedPartiesCurrentAndNoncurrent,GeneralAndAdministrativeExpense,GeneralPartnersCapitalAccount,IncreaseDecreaseInAccountsPayableAndAccruedLiabilities,IncreaseDecreaseInAccountsReceivable,IncreaseDecreaseInInterestPayableNet,IncreaseDecreaseInOperatingCapital,IncreaseDecreaseInOtherOperatingAssets,IncreaseDecreaseInOtherOperatingCapitalNet,IncreaseDecreaseInOtherOperatingLiabilities,InterestAndOtherIncome,InterestExpense,InterestExpenseOther,InterestExpenseRelatedParty,InterestPaid,InterestPayableCurrent,InterestPayableCurrentAndNoncurrent,LaborAndRelatedExpense,Land,Liabilities,LiabilitiesAndStockholdersEquity,LimitedPartnersCapitalAccount,LiquidationBasisOfAccountingAccruedCostsToDisposeOfAssetsAndLiabilities,ManagementFeeExpense,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,NetCashProvidedByUsedInOperatingActivities,NetIncomeLoss,NetIncomeLossPerOutstandingLimitedPartnershipUnit47,NetIncomeLossPerOutstandingLimitedPartnershipUnit48,NetIncomeLossPerOutstandingLimitedPartnershipUnit49,NetIncomeLossPerOutstandingLimitedPartnershipUnit50,NetIncomeLossPerOutstandingLimitedPartnershipUnit,NetIncomeLossPerOutstandingLimitedPartnershipUnitBasicNetOfTax,NotesPayable,NumberOfRealEstateProperties54,NumberOfRealEstateProperties55,NumberOfReportableSegments,OperatingLeasesFutureMinimumPaymentsReceivable,OperatingLeasesFutureMinimumPaymentsReceivableCurrent,OperatingLeasesFutureMinimumPaymentsReceivableInFourYears,OperatingLeasesFutureMinimumPaymentsReceivableInThreeYears,OperatingLeasesFutureMinimumPaymentsReceivableInTwoYears,OtherAssets,OtherGeneralAndAdministrativeExpense,OtherNotesPayable,OtherSalesRevenueNet,PartnersCapital,PartnersCapitalAccountPublicSaleOfUnits,PartnersCapitalAccountUnitsSoldInPublicOffering,PaymentsForAdvanceToAffiliate,PaymentsForMortgageDeposits,PaymentsForProceedsFromLongtermInvestments,PaymentsToAcquirePropertyPlantAndEquipment,ProceedsFromCollectionOfAdvanceToAffiliate,ProceedsFromDebtNetOfIssuanceCosts,ProceedsFromRelatedPartyDebt,ProceedsFromRepaymentsOfRelatedPartyDebt,PropertyPlantAndEquipmentAdditions,PropertyPlantAndEquipmentGross,PropertyPlantAndEquipmentNet,ProvisionForDoubtfulAccounts,QuantifyingMisstatementInCurrentYearFinancialStatementsAmount,RealEstateAccumulatedDepreciation,RealEstateAccumulatedDepreciationDepreciationExpense,RealEstateAndAccumulatedDepreciationAccumulatedDepreciation,RealEstateAndAccumulatedDepreciationAmountOfEncumbrances,RealEstateAndAccumulatedDepreciationCarryingAmountOfBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationCarryingAmountOfLand,RealEstateAndAccumulatedDepreciationCarryingAmountOfLandAndBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationCostsCapitalizedSubsequentToAcquisitionImprovements,RealEstateAndAccumulatedDepreciationInitialCostOfBuildingsAndImprovements,RealEstateAndAccumulatedDepreciationInitialCostOfLand,RealEstateFederalIncomeTaxBasis,RealEstateGrossAtCarryingValue,RealEstateOtherAdditions,RealEstateRevenueNet,RetainedEarningsAccumulatedDeficit,Revenues,SECScheduleIIIRealEstateAccumulatedDepreciationDepreciationExpense,SecuredDebt,SecurityDepositLiability,WeightedAverageLimitedPartnershipUnitsOutstanding,y
10,171104,6516.0,1921808.0,,,,,379884,,2029646.0,,300.0,,,,,,,2531183,3832928.0,,-270798.0,48325.0,823.0,2192.0,51066.0,5518.0,,,860.0,,0.0,45756.0,,,464773.0,,299744.0,3541154.0,379884.0,-2698126.0,,,,-59344.0,-282750.0,,,,,,,-14.37,121274.0,,,,,,,,,1767.0,,,,-2812712.0,,,,,,,,,,,,2293409.0,371601.0,,,,,,,,,,,,,,,,,,,,1647832.0,27474.0,,0
11,123828,3336.0,1941857.0,,,,,367228,,2029656.0,,,-236.0,174703.0,,20049.0,44402.0,,2540110,3832928.0,26766.0,-277981.0,32951.0,-1870.0,28765.0,,-4786.0,,3952.0,,37142.0,,24630.0,,,464773.0,,299744.0,3765931.0,367228.0,-2930374.0,,,,-59344.0,,-139964.0,,,,,,-8.23,121274.0,,,,,,,,,4690.0,46344.0,,,-2900132.0,,,,,,,,,,,,2300759.0,358902.0,,,,,,,,,,,,,,,,34739.0,,,,1647832.0,27474.0,,0
12,148512,1927.0,1678620.0,,,,,646282,,2088990.0,,236.0,,,,,,,1534118,3944926.0,,-280221.0,32951.0,-1870.0,28765.0,,-4786.0,,3952.0,539.0,,0.0,179519.0,,,464773.0,,299744.0,3829479.0,646282.0,-3002792.0,,,,,-236.0,,,,,,,-3.72,121274.0,,,,,,,,,6549.0,,,,-2695851.0,,,,,,,,,,,,2316190.0,637570.0,,,,,,,,,,,,,,,,,,87820.0,,1647832.0,27474.0,,0
13,148512,1927.0,1678620.0,,,,,646282,,,,236.0,64.0,,,,,,1534118,4052091.0,,,37032.0,30.0,80304.0,,-8907.0,,11868.0,925.0,40154.0,,45756.0,,,591529.0,,,4567549.0,646282.0,,,,,,-73469.0,,,,,,,-20.01,,,,,,,,,,6549.0,,,,-2695851.0,,,,,,,,,,,,2316190.0,637570.0,,,,,,,,,,,,,,,,,,181879.0,,1358043.0,,,0
14,148512,1927.0,1678620.0,,,,,646282,,,,236.0,-236.0,161983.0,,20205.0,71010.0,,1534118,4163277.0,9400.0,,77548.0,-6786.0,133942.0,,-9985.0,,9731.0,893.0,,,25000.0,,,591529.0,,,,646282.0,,,,,,12964.0,-87134.0,,,,,,,,,,,,,,,,6549.0,21214.0,,,-2695851.0,,,,,,,,,,,,2316190.0,637570.0,,,,,,,,,,,,,,,,74663.0,,181705.0,,1668958.0,31426.0,21003.0,0
15,148512,1927.0,1678620.0,,,,,646282,,,,,,,,,,,1534118,4261947.0,,,77548.0,-6786.0,133942.0,,-9985.0,,9731.0,65.0,82893.0,,225274.0,,,121274.0,,,4644939.0,646282.0,,,,,,-173737.0,,,,,,,-12.61,,,,,,,,,,6549.0,,,,-2695851.0,,,,,,,,,,,,2316190.0,637570.0,,,,,,,,,,,,,,,,,,94059.0,,1690084.0,39343.0,,0
16,162481,491.0,1698951.0,,,,,622709,,,,,0.0,,,,,,1564529,,,,,,,,,,,1053.0,9557.0,,98518.0,,,464773.0,,,4700396.0,622709.0,,,,,,,,,,,,,-3.66,,,,,,,,,,4979.0,,,,-2767484.0,,,,,,,,,,,,2316190.0,617239.0,,,,,,,,,,,,,,,,140973.0,,278413.0,,1732336.0,56504.0,,0
17,98338,858.0,1719091.0,,,,,613839,,,,,7770.0,164672.0,,20301.0,76038.0,,1691497,,12319.0,,,,,,,,,,105219.0,,50439.0,,,612655.0,,,4579064.0,613839.0,,,,,,-133985.0,-98549.0,,,,,,-7.11,,,,,,,,,,2682.0,13276.0,,,-2841321.0,,,,,,,,,,,,2329390.0,610299.0,,,,,,,,,,,,,,,,66123.0,,277681.0,,,,,0
18,102515,2583.0,1739141.0,,,,,593132,,,,,7770.0,,,,,,1696119,,,,,,,,,,,2503.0,,,50439.0,,,612655.0,,,,593132.0,,,,,,0.0,,,,,,,-7.11,,,,,,,,,,0.0,,,,-2898981.0,,,,,,,,,,,,2329390.0,590249.0,,,,,,,,,,,,,,,,,,96534.0,,1753462.0,47677.0,,0
19,140211,1105.0,1759295.0,,,,,571200,,,,,7798.0,494527.0,,60555.0,235368.0,,1884747,,32644.0,,,,,,,,,27505.0,22326.0,,101978.0,,,633782.0,,,,571200.0,,,,,,7770.0,-273166.0,,,,,,-3.45,,,,,,,,,,0.0,51184.0,,,-3129064.0,,,,,,,,,,,,,570095.0,,,,,,,,,,,,,,,,218145.0,,95976.0,,1774588.0,41384.0,21003.0,0
