,0
CAE - CAE Inc. Ordinary Shares,CAE
CAF - Morgan Stanley China A Share Fund Inc. Common Stock,CAF
CAG - ConAgra Brands Inc. Common Stock,CAG
CAH - Cardinal Health Inc. Common Stock,CAH
CAKE - Cheesecake Factory Incorporated (The) Common Stock,CAKE
CAL - Caleres Inc. Common Stock,CAL
CALB - California BanCorp Common Stock,CALB
CALC - CalciMedica Inc. Common Stock,CALC
CALM - Cal-Maine Foods Inc. Common Stock,CALM
CALT - Calliditas Therapeutics AB American Depositary Shares,CALT
CALX - Calix Inc Common Stock,CALX
CAMP - CalAmp Corp. Common Stock,CAMP
CAMT - Camtek Ltd. Ordinary Shares,CAMT
CAN - Canaan Inc. American Depositary Shares,CAN
CANB - Can B Corp.,CANB
CANF - Can-Fite Biopharma Ltd Sponsored ADR (Israel),CANF
CANG - Cango Inc. American Depositary Shares  each representing two (2) Class A Ordinary Shares,CANG
CANO - Cano Health Inc. Class A Common Stock,CANO
CAPL - CrossAmerica Partners LP Common Units representing limited partner interests,CAPL
CAPR - Capricor Therapeutics Inc. Common Stock,CAPR
CAR - Avis Budget Group Inc. Common Stock,CAR
CARA - Cara Therapeutics Inc. Common Stock,CARA
CARE - Carter Bankshares Inc. Common Stock,CARE
CARG - CarGurus Inc. Class A Common Stock ,CARG
CARM - Carisma Therapeutics Inc. Common Stock,CARM
CARR - Carrier Global Corporation Common Stock ,CARR
CARS - Cars.com Inc. Common Stock ,CARS
CARV - Carver Bancorp Inc. Common Stock,CARV
CASA - Casa Systems Inc. Common Stock,CASA
CASH - Pathward Financial Inc. Common Stock,CASH
CASI - CASI Pharmaceuticals Inc. Ordinary Shares,CASI
CASS - Cass Information Systems Inc Common Stock,CASS
CASY - Casey's General Stores Inc. Common Stock,CASY
CAT - Caterpillar Inc. Common Stock,CAT
CATC - Cambridge Bancorp Common Stock,CATC
CATO - Cato Corporation (The) Class A Common Stock,CATO
CATX - Perspective Therapeutics Inc. Common Stock,CATX
CATY - Cathay General Bancorp Common Stock,CATY
CAVA - CAVA Group Inc. Common Stock,CAVA
CB - Chubb Limited  Common Stock,CB
CBAN - Colony Bankcorp Inc. Common Stock,CBAN
CBAT - CBAK Energy Technology Inc. Common Stock,CBAT
CBAY - CymaBay Therapeutics Inc. Common Stock,CBAY
CBD - Companhia Brasileira de Distribuicao American Depsitary Shares; each representing one Common Share,CBD
CBFV - CB Financial Services Inc. Common Stock,CBFV
CBH - Virtus Convertible & Income 2024 Target Term Fund Common Shares of Beneficial Interest,CBH
CBIO - Catalyst Biosciences Inc. Common Stock,CBIO
CBL - CBL & Associates Properties Inc. Common Stock,CBL
CBNK - Capital Bancorp Inc. Common Stock,CBNK
CBOE - Cboe Global Markets Inc. Common Stock,CBOE
CBRE - CBRE Group Inc Common Stock Class A,CBRE
CBRG - Chain Bridge I Class A Ordinary Shares,CBRG
CBRGU - Chain Bridge I Units,CBRGU
CBRGW - Chain Bridge I Warrants,CBRGW
CBRL - Cracker Barrel Old Country Store Inc Common Stock,CBRL
CBSH - Commerce Bancshares Inc. Common Stock,CBSH
CBT - Cabot Corporation Common Stock,CBT
CBU - Community Bank System Inc. Common Stock,CBU
CBUS - Cibus Inc. Class A Common Stock,CBUS
CBZ - CBIZ Inc. Common Stock,CBZ
CC - Chemours Company (The) Common Stock,CC
CCAI - Cascadia Acquisition Corp. Class A Common Stock,CCAI
CCAIW - Cascadia Acquisition Corp. Warrant,CCAIW
CCAP - Crescent Capital BDC Inc. Common stock,CCAP
CCB - Coastal Financial Corporation Common Stock,CCB
CCBG - Capital City Bank Group Common Stock,CCBG
CCCC - C4 Therapeutics Inc. Common Stock,CCCC
CCCS - CCC Intelligent Solutions Holdings Inc. Common Stock,CCCS
CCD - Calamos Dynamic Convertible & Income Fund Common Stock,CCD
CCEL - Cryo-Cell International Inc. Common Stock,CCEL
CCEP - Coca-Cola Europacific Partners plc Ordinary Shares,CCEP
CCF - Chase Corporation Common Stock,CCF
CCI - Crown Castle Inc. Common Stock,CCI
CCJ - Cameco Corporation Common Stock,CCJ
CCK - Crown Holdings Inc.,CCK
CCL - Carnival Corporation Common Stock,CCL
CCLD - CareCloud Inc. Common Stock,CCLD
CCLDO - CareCloud Inc. 8.75% Series B Cumulative Redeemable Perpetual Preferred Stock,CCLDO
CCLDP - CareCloud Inc. 11% Series A Cumulative Redeemable Perpetual Preferred Stock,CCLDP
CCLP - CSI Compressco LP Common Units,CCLP
CCM - Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares),CCM
CCNE - CNB Financial Corporation Common Stock,CCNE
CCNEP - CNB Financial Corporation Depositary Shares each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock,CCNEP
CCO - Clear Channel Outdoor Holdings Inc. Common Stock,CCO
CCOI - Cogent Communications Holdings Inc.,CCOI
CCRD - CoreCard Corporation Common Stock,CCRD
CCRN - Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,CCRN
CCS - Century Communities Inc. Common Stock,CCS
CCSI - Consensus Cloud Solutions Inc. Common Stock,CCSI
CCTS - Cactus Acquisition Corp. 1 Limited Class A Ordinary Share,CCTS
CCTSU - Cactus Acquisition Corp. 1 Limited Unit,CCTSU
CCTSW - Cactus Acquisition Corp. 1 Limited Warrant,CCTSW
CCU - Compania Cervecerias Unidas S.A. Common Stock,CCU
CCV - Churchill Capital Corp V Class A Common Stock,CCV
CCVI - Churchill Capital Corp VI Class A Common Stock,CCVI
CCZ - Comcast Holdings ZONES,CCZ
CD - Chindata Group Holdings Limited American Depositary Shares,CD
CDAQ - Compass Digital Acquisition Corp. Class A Ordinary Shares,CDAQ
CDAY - Ceridian HCM Holding Inc. Common Stock,CDAY
CDE - Coeur Mining Inc. Common Stock,CDE
CDIO - Cardio Diagnostics Holdings Inc. Common stock,CDIO
CDIOW - Cardio Diagnostics Holdings Inc. Warrant,CDIOW
CDLX - Cardlytics Inc. Common Stock,CDLX
CDMO - Avid Bioservices Inc. Common Stock,CDMO
CDNA - CareDx Inc. Common Stock,CDNA
CDNS - Cadence Design Systems Inc. Common Stock,CDNS
CDR^B - Cedar Realty Trust Inc. 7.25% Series B Cumulative Redeemable Preferred Stock,CDR^B
CDR^C - Cedar Realty Trust Inc. 6.50% Series C Cumulative Redeemable Preferred Stock,CDR^C
CDRE - Cadre Holdings Inc. Common Stock,CDRE
CDRO - Codere Online Luxembourg S.A. Ordinary Shares,CDRO
CDROW - Codere Online Luxembourg S.A. Warrants,CDROW
CDTX - Cidara Therapeutics Inc. Common Stock,CDTX
CDW - CDW Corporation Common Stock,CDW
CDXC - ChromaDex Corporation Common Stock,CDXC
CDXS - Codexis Inc. Common Stock,CDXS
CDZI - CADIZ Inc. Common Stock,CDZI
CDZIP - Cadiz Inc. Depositary Shares,CDZIP
CE - Celanese Corporation Celanese Corporation Common Stock,CE
CEAD - CEA Industries Inc. Common Stock,CEAD
CEADW - CEA Industries Inc. Warrant,CEADW
CECO - CECO Environmental Corp. Common Stock,CECO
CEE - The Central and Eastern Europe Fund Inc. (The) Common Stock,CEE
CEG - Constellation Energy Corporation Common Stock ,CEG
CEI - Camber Energy Inc. Common Stock,CEI
CEIX - CONSOL Energy Inc. Common Stock ,CEIX
CELC - Celcuity Inc. Common Stock,CELC
CELH - Celsius Holdings Inc. Common Stock,CELH
CELL - PhenomeX Inc. Common Stock,CELL
CELU - Celularity Inc. Class A Common Stock,CELU
CELUW - Celularity Inc. Warrant,CELUW
CELZ - Creative Medical Technology Holdings Inc. Common Stock,CELZ
CEM - ClearBridge MLP and Midstream Fund Inc. Common Stock,CEM
CEN - Center Coast Brookfield MLP & Energy Infrastructure Fund,CEN
CENN - Cenntro Electric Group Limited Ordinary Shares,CENN
CENT - Central Garden & Pet Company Common Stock,CENT
CENTA - Central Garden & Pet Company Class A Common Stock Nonvoting,CENTA
CENX - Century Aluminum Company Common Stock,CENX
CEPU - Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),CEPU
CEQP - Crestwood Equity Partners LP,CEQP
CEQP^ - Crestwood Equity Partners LP Preferred Units representing limited partner interests,CEQP^
CERE - Cerevel Therapeutics Holdings Inc. Common Stock,CERE
CERS - Cerus Corporation Common Stock,CERS
CERT - Certara Inc. Common Stock,CERT
CET - Central Securities Corporation Common Stock,CET
CETU - Cetus Capital Acquisition Corp. Class A Common Stock,CETU
CETUR - Cetus Capital Acquisition Corp. Right to receive 1/6 of one share of Class A Common Stock,CETUR
CETUU - Cetus Capital Acquisition Corp. Unit,CETUU
CETUW - Cetus Capital Acquisition Corp. Warrant,CETUW
CETX - Cemtrex Inc. Common Stock,CETX
CETXP - Cemtrex Inc. Series 1 Preferred Stock,CETXP
CETY - Clean Energy Technologies Inc. Common Stock,CETY
CEV - Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,CEV
CEVA - CEVA Inc. Common Stock,CEVA
CF - CF Industries Holdings Inc. Common Stock,CF
CFB - CrossFirst Bankshares Inc. Common Stock,CFB
CFBK - CF Bankshares Inc. Common Stock,CFBK
CFFE - CF Acquisition Corp. VIII Class A Common Stock,CFFE
CFFEW - CF Acquisition Corp. VIII Warrant,CFFEW
CFFI - C&F Financial Corporation Common Stock,CFFI
CFFN - Capitol Federal Financial Inc. Common Stock,CFFN
CFFS - CF Acquisition Corp. VII Class A Common Stock,CFFS
CFFSW - CF Acquisition Corp. VII Warrant,CFFSW
CFG - Citizens Financial Group Inc. Common Stock,CFG
CFG^D - Citizens Financial Group Inc. Depositary Shares each representing a 1/40th Interest in a Share of 6.350% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock Series D,CFG^D
CFG^E - Citizens Financial Group Inc. Depositary Shares Each Representing 1/40th Interest in a Share of 5.000% Fixed-Rate Non-Cumulative Perpetual Preferred Stock Series E,CFG^E
CFIV - CF Acquisition Corp. IV Class A common stock,CFIV
CFIVU - CF Acquisition Corp. IV Unit,CFIVU
CFIVW - CF Acquisition Corp. IV Warrant,CFIVW
CFLT - Confluent Inc. Class A Common Stock,CFLT
CFMS - Conformis Inc. Common Stock,CFMS
CFR - Cullen/Frost Bankers Inc. Common Stock,CFR
CFR^B - Cullen/Frost Bankers Inc. Depositary Shares each representing a 1/40th ownership interest in a share of 4.450% non-cumulative perpetual preferred stock Series B,CFR^B
CFRX - ContraFect Corporation Common Stock,CFRX
CFSB - CFSB Bancorp Inc. Common Stock,CFSB
CG - The Carlyle Group Inc. Common Stock,CG
CGA - China Green Agriculture Inc. Common Stock,CGA
CGABL - The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,CGABL
CGAU - Centerra Gold Inc. Common Shares,CGAU
CGBD - Carlyle Secured Lending Inc. Common Stock,CGBD
CGC - Canopy Growth Corporation Common Shares,CGC
CGEM - Cullinan Oncology Inc. Common Stock,CGEM
CGEN - Compugen Ltd. Ordinary Shares,CGEN
CGNT - Cognyte Software Ltd. Ordinary Shares,CGNT
CGNX - Cognex Corporation Common Stock,CGNX
CGO - Calamos Global Total Return Fund Common Stock,CGO
CGRN - Capstone Green Energy Corporation Common Stock,CGRN
CGTX - Cognition Therapeutics Inc. Common Stock,CGTX
CHAA - Catcha Investment Corp. Class A Ordinary Shares,CHAA
CHCI - Comstock Holding Companies Inc. Class A Common Stock,CHCI
CHCO - City Holding Company Common Stock,CHCO
CHCT - Community Healthcare Trust Incorporated Common Stock,CHCT
CHD - Church & Dwight Company Inc. Common Stock,CHD
CHDN - Churchill Downs Incorporated Common Stock,CHDN
CHE - Chemed Corp,CHE
CHEA - Chenghe Acquisition Co. Class A Ordinary Share,CHEA
CHEAW - Chenghe Acquisition Co. Warrant,CHEAW
CHEF - The Chefs' Warehouse Inc. Common Stock,CHEF
CHEK - Check-Cap Ltd. Ordinary Share,CHEK
CHGG - Chegg Inc. Common Stock,CHGG
CHH - Choice Hotels International Inc. Common Stock,CHH
CHI - Calamos Convertible Opportunities and Income Fund Common Stock,CHI
CHK - Chesapeake Energy Corporation Common Stock,CHK
CHKEL - Chesapeake Energy Corporation Class C Warrants,CHKEL
CHKEW - Chesapeake Energy Corporation Class A Warrants,CHKEW
CHKP - Check Point Software Technologies Ltd. Ordinary Shares,CHKP
CHMG - Chemung Financial Corp Common Stock,CHMG
CHMI - Cherry Hill Mortgage Investment Corporation Common Stock,CHMI
CHMI^A - Cherry Hill Mortgage Investment Corporation 8.20% Series A Cumulative Redeemable Preferred Stock,CHMI^A
CHMI^B - Cherry Hill Mortgage Investment Corporation 8.250% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,CHMI^B
CHN - China Fund Inc. (The) Common Stock,CHN
CHNR - China Natural Resources Inc. Common Stock,CHNR
CHPT - ChargePoint Holdings Inc. Common Stock,CHPT
CHRD - Chord Energy Corporation Common Stock,CHRD
CHRS - Coherus BioSciences Inc. Common Stock,CHRS
CHRW - C.H. Robinson Worldwide Inc. Common Stock,CHRW
CHS - Chico's FAS Inc. Common Stock,CHS
CHSCL - CHS Inc Class B Cumulative Redeemable Preferred Stock Series 4,CHSCL
CHSCM - CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock Series 3,CHSCM
CHSCN - CHS Inc Preferred Class B Series 2 Reset Rate,CHSCN
CHSCO - CHS Inc. Class B Cumulative Redeemable Preferred Stock,CHSCO
CHSCP - CHS Inc. 8%  Cumulative Redeemable Preferred Stock,CHSCP
CHSN - Chanson International Holding Class A Ordinary Shares,CHSN
CHT - Chunghwa Telecom Co. Ltd.,CHT
CHTR - Charter Communications Inc. Class A Common Stock New,CHTR
CHUY - Chuy's Holdings Inc. Common Stock,CHUY
CHW - Calamos Global Dynamic Income Fund Common Stock,CHW
CHWY - Chewy Inc. Class A Common Stock,CHWY
CHX - ChampionX Corporation Common Stock ,CHX
CHY - Calamos Convertible and High Income Fund Common Stock,CHY
CI - The Cigna Group Common Stock,CI
CIA - Citizens Inc. Class A Common Stock ($1.00 Par),CIA
CIB - BanColombia S.A. Common Stock,CIB
CIEN - Ciena Corporation Common Stock,CIEN
CIF - MFS Intermediate High Income Fund Common Stock,CIF
CIFR - Cipher Mining Inc. Common Stock,CIFR
CIFRW - Cipher Mining Inc. Warrant,CIFRW
CIG - Comp En De Mn Cemig ADS American Depositary Shares,CIG
CIGI - Colliers International Group Inc. Subordinate Voting Shares,CIGI
CII - Blackrock Capital and Income Fund Inc.,CII
CIK - Credit Suisse Asset Management Income Fund Inc. Common Stock,CIK
CIM - Chimera Investment Corporation Common Stock,CIM
CIM^A - Chimera Investment Corporation 8.00% Series A Cumulative Redeemable Preferred Stock,CIM^A
CIM^B - Chimera Investment Corporation 8.00% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,CIM^B
CIM^C - Chimera Investment Corporation 7.75% Series C Fixed-to-Floating Rate  Cumulative Redeemable  Preferred Stock,CIM^C
CIM^D - Chimera Investment Corporation 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,CIM^D
CINF - Cincinnati Financial Corporation Common Stock,CINF
CING - Cingulate Inc. Common Stock,CING
CINGW - Cingulate Inc. Warrants,CINGW
CINT - CI&T Inc Class A Common Shares,CINT
CIO - City Office REIT Inc. Common Stock,CIO
CIO^A - City Office REIT Inc. 6.625% Series A Cumulative Redeemable Preferred Stock,CIO^A
CION - CION Investment Corporation Common Stock,CION
CIR - CIRCOR International Inc. Common Stock,CIR
CISO - CISO Global Inc. Common Stock,CISO
CISS - C3is Inc. Common Stock,CISS
CITE - Cartica Acquisition Corp Class A Ordinary Shares,CITE
CITEW - Cartica Acquisition Corp Warrant,CITEW
CIVB - Civista Bancshares Inc. Common Stock,CIVB
CIVI - Civitas Resources Inc. Common Stock,CIVI
CIX - CompX International Inc. Common Stock,CIX
CIZN - Citizens Holding Company Common Stock,CIZN
CJET - Chijet Motor Company Inc. Ordinary Shares,CJET
CJJD - China Jo-Jo Drugstores Inc. (Cayman Islands) Ordinary Shares,CJJD
CKPT - Checkpoint Therapeutics Inc. Common Stock,CKPT
CKX - CKX Lands Inc. Common Stock,CKX
CL - Colgate-Palmolive Company Common Stock,CL
CLAR - Clarus Corporation Common Stock,CLAR
CLAY - Chavant Capital Acquisition Corp. Ordinary Shares,CLAY
CLAYU - Chavant Capital Acquisition Corp. Unit,CLAYU
CLAYW - Chavant Capital Acquisition Corp. Warrants,CLAYW
CLB - Core Laboratories Inc. Common Stock,CLB
CLBK - Columbia Financial Inc. Common Stock,CLBK
CLBR - Colombier Acquisition Corp. Class A Common Stock,CLBR
CLBT - Cellebrite DI Ltd. Ordinary Shares,CLBT
CLBTW - Cellebrite DI Ltd. Warrants,CLBTW
CLCO - Cool Company Ltd. Common Shares,CLCO
CLDT - Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,CLDT
CLDT^A - Chatham Lodging Trust (REIT) 6.625% Series A Cumulative Redeemable Preferred Shares of Beneficial Interest,CLDT^A
CLDX - Celldex Therapeutics Inc.,CLDX
CLEU - China Liberal Education Holdings Limited Ordinary Shares,CLEU
CLF - Cleveland-Cliffs Inc. Common Stock,CLF
CLFD - Clearfield Inc. Common Stock,CLFD
CLGN - CollPlant Biotechnologies Ltd Ordinary Shares,CLGN
CLH - Clean Harbors Inc. Common Stock,CLH
CLIN - Clean Earth Acquisitions Corp. Class A Common Stock,CLIN
CLINR - Clean Earth Acquisitions Corp. Right,CLINR
CLINW - Clean Earth Acquisitions Corp. Warrant,CLINW
CLIR - ClearSign Technologies Corporation Common Stock (DE),CLIR
CLLS - Cellectis S.A. American Depositary Shares,CLLS
CLM - Cornerstone Strategic Value Fund Inc. New Common Stock,CLM
CLMB - Climb Global Solutions Inc. Common Stock,CLMB
CLMT - Calumet Specialty Products Partners L.P. Common Units,CLMT
CLNE - Clean Energy Fuels Corp. Common Stock,CLNE
CLNN - Clene Inc. Common Stock,CLNN
CLNNW - Clene Inc. Warrant,CLNNW
CLOE - Clover Leaf Capital Corp. Class A Common Stock,CLOE
CLOER - Clover Leaf Capital Corp. Rights,CLOER
CLOV - Clover Health Investments Corp. Class A Common Stock,CLOV
CLPR - Clipper Realty Inc. Common Stock,CLPR
CLPS - CLPS Incorporation Common Stock,CLPS
CLPT - ClearPoint Neuro Inc. Common Stock,CLPT
CLRB - Cellectar Biosciences Inc.  Common Stock,CLRB
CLRC - ClimateRock Class A Ordinary Shares,CLRC
CLRCU - ClimateRock Unit,CLRCU
CLRO - ClearOne Inc. (DE) Common Stock,CLRO
CLS - Celestica Inc. Common Stock,CLS
CLSD - Clearside Biomedical Inc. Common Stock,CLSD
CLSK - CleanSpark Inc. Common Stock,CLSK
CLST - Catalyst Bancorp Inc. Common Stock,CLST
CLVR - Clever Leaves Holdings Inc. Common Shares,CLVR
CLVRW - Clever Leaves Holdings Inc. Warrant,CLVRW
CLVT - Clarivate Plc Ordinary Shares,CLVT
CLVT^A - Clarivate Plc 5.25% Series A Mandatory Convertible Preferred Shares,CLVT^A
CLW - Clearwater Paper Corporation Common Stock,CLW
CLWT - Euro Tech Holdings Company Limited Common Stock,CLWT
CLX - Clorox Company (The) Common Stock,CLX
CM - Canadian Imperial Bank of Commerce Common Stock,CM
CMA - Comerica Incorporated Common Stock,CMA
CMAX - CareMax Inc. Class A Common Stock,CMAX
CMAXW - CareMax Inc. Warrant,CMAXW
CMBM - Cambium Networks Corporation Ordinary Shares,CMBM
CMC - Commercial Metals Company Common Stock,CMC
CMCA - Capitalworks Emerging Markets Acquisition Corp Class A Ordinary Shares,CMCA
CMCAU - Capitalworks Emerging Markets Acquisition Corp Unit,CMCAU
CMCL - Caledonia Mining Corporation Plc Common Shares,CMCL
CMCM - Cheetah Mobile Inc. American Depositary Shares each representing fifty (50) Class A Ordinary Shares,CMCM
CMCO - Columbus McKinnon Corporation Common Stock,CMCO
CMCSA - Comcast Corporation Class A Common Stock,CMCSA
CMCT - Creative Media & Community Trust Corporation Common stock,CMCT
CME - CME Group Inc. Class A Common Stock,CME
CMG - Chipotle Mexican Grill Inc. Common Stock,CMG
CMI - Cummins Inc. Common Stock,CMI
CMLS - Cumulus Media Inc. Class A Common Stock,CMLS
CMMB - Chemomab Therapeutics Ltd. American Depositary Share,CMMB
CMND - Clearmind Medicine Inc. Common Shares,CMND
CMP - Compass Minerals Intl Inc Common Stock,CMP
CMPO - CompoSecure Inc. Class A Common Stock,CMPO
CMPOW - CompoSecure Inc. Warrant,CMPOW
CMPR - Cimpress plc Ordinary Shares (Ireland),CMPR
CMPS - COMPASS Pathways Plc American Depository Shares,CMPS
CMPX - Compass Therapeutics Inc. Common Stock,CMPX
CMRA - Comera Life Sciences Holdings Inc. Common Stock,CMRA
CMRAW - Comera Life Sciences Holdings Inc. Warrant,CMRAW
CMRE - Costamare Inc. Common Stock $0.0001 par value,CMRE
CMRE^B - Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands),CMRE^B
CMRE^C - Costamare Inc. Perpetual Preferred Series C (Marshall Islands),CMRE^C
CMRE^D - Costamare Inc. 8.75% Series D Cumulative Redeemable Perpetual Preferred Stock,CMRE^D
CMRE^E - Costamare Inc. 8.875% Series E Cumulative Redeemable Perpetual Preferred Stock par value $0.0001,CMRE^E
CMRX - Chimerix Inc. Common Stock,CMRX
CMS - CMS Energy Corporation Common Stock,CMS
CMS^B - CMS Energy Corporation Preferred Stock,CMS^B
CMS^C - CMS Energy Corporation Depositary Shares each representing a 1/1000th interest in a share of 4.200% Cumulative Redeemable Perpetual Preferred Stock Series C,CMS^C
CMSA - CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,CMSA
CMSC - CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,CMSC
CMSD - CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,CMSD
CMT - Core Molding Technologies Inc Common Stock,CMT
CMTG - Claros Mortgage Trust Inc. Common Stock,CMTG
CMTL - Comtech Telecommunications Corp. Common Stock,CMTL
CMU - MFS Municipal Income Trust Common Stock,CMU
CNA - CNA Financial Corporation Common Stock,CNA
CNC - Centene Corporation Common Stock,CNC
CNDA - Concord Acquisition Corp II Class A Common Stock,CNDA
CNDB - Concord Acquisition Corp III Class A Common Stock,CNDB
CNDT - Conduent Incorporated Common Stock ,CNDT
CNET - ZW Data Action Technologies Inc. Common Stock,CNET
CNEY - CN Energy Group Inc. Class A Ordinary Shares,CNEY
CNF - CNFinance Holdings Limited American Depositary Shares each representing  twenty (20) Ordinary Shares,CNF
CNFR - Conifer Holdings Inc. Common Stock,CNFR
CNFRL - Conifer Holdings Inc. 6.75% Senior Unsecured Notes due 2023,CNFRL
CNGL - Canna-Global Acquisition Corp. Class A Common Stock,CNGL
CNGLU - Canna-Global Acquisition Corp Unit,CNGLU
CNGLW - Canna-Global Acquisition Corp Warrant,CNGLW
CNHI - CNH Industrial N.V. Common Shares,CNHI
CNI - Canadian National Railway Company Common Stock,CNI
CNK - Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,CNK
CNM - Core & Main Inc. Class A Common Stock,CNM
CNMD - CONMED Corporation Common Stock,CNMD
CNNE - Cannae Holdings Inc. Common Stock,CNNE
CNO - CNO Financial Group Inc. Common Stock,CNO
CNO^A - CNO Financial Group Inc. 5.125% Subordinated Debentures due 2060,CNO^A
CNOB - ConnectOne Bancorp Inc. Common Stock,CNOB
CNOBP - ConnectOne Bancorp Inc. Depositary Shares each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock Series A,CNOBP
CNP - CenterPoint Energy Inc (Holding Co) Common Stock,CNP
CNQ - Canadian Natural Resources Limited Common Stock,CNQ
CNS - Cohen & Steers Inc Common Stock,CNS
CNSL - Consolidated Communications Holdings Inc. Common Stock,CNSL
CNSP - CNS Pharmaceuticals Inc. Common Stock,CNSP
CNTA - Centessa Pharmaceuticals plc American Depositary Shares,CNTA
CNTB - Connect Biopharma Holdings Limited American Depositary Shares,CNTB
CNTG - Centogene N.V. Common Shares,CNTG
CNTX - Context Therapeutics Inc. Common Stock,CNTX
CNTY - Century Casinos Inc. Common Stock,CNTY
CNVS - Cineverse Corp. Class A Common Stock,CNVS
CNX - CNX Resources Corporation Common Stock,CNX
CNXA - Connexa Sports Technologies Inc. Common Stock,CNXA
CNXC - Concentrix Corporation Common Stock,CNXC
CNXN - PC Connection Inc. Common Stock,CNXN
COCO - The Vita Coco Company Inc. Common Stock,COCO
COCP - Cocrystal Pharma Inc. Common Stock,COCP
CODA - Coda Octopus Group Inc. Common stock,CODA
CODI - D/B/A Compass Diversified Holdings Shares of Beneficial Interest,CODI
CODI^A - Compass Diversified Holdings 7.250% Series A Preferred Shares representing beneficial interest in Compass Diversified Holdings,CODI^A
CODI^B - Compass Diversified Holdings 7.875% Series B Fixed-to-Floating Rate Cumulative Preferred Shares representing beneficial interests in Compass Diversified Holdings,CODI^B
CODI^C - Compass Diversified Holdings 7.875% Series C Cumulative Preferred Shares,CODI^C
CODX - Co-Diagnostics Inc. Common Stock,CODX
COE - 51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,COE
COEP - Coeptis Therapeutics Holdings Inc. Common Stock,COEP
COEPW - Coeptis Therapeutics Holdings Inc. Warrants,COEPW
COF - Capital One Financial Corporation Common Stock,COF
COF^I - Capital One Financial Corporation Depositary shares each representing a 1/40th interest in a share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series I of the Issuer,COF^I
COF^J - Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non- Cumulative Perpetual Preferred Stock Series J,COF^J
COF^K - Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series K,COF^K
COF^L - Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series L,COF^L
COF^N - Capital One Financial Corporation Depositary Shares Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock Series N,COF^N
COFS - ChoiceOne Financial Services Inc. Common Stock,COFS
COGT - Cogent Biosciences Inc. Common Stock,COGT
COHN - Cohen & Company Inc.,COHN
COHR - Coherent Corp. Common Stock,COHR
COHU - Cohu Inc. Common Stock,COHU
COIN - Coinbase Global Inc. Class A Common Stock,COIN
COKE - Coca-Cola Consolidated Inc. Common Stock,COKE
COLB - Columbia Banking System Inc. Common Stock,COLB
COLD - Americold Realty Trust Inc. Common Stock,COLD
COLL - Collegium Pharmaceutical Inc. Common Stock,COLL
COLM - Columbia Sportswear Company Common Stock,COLM
COMM - CommScope Holding Company Inc. Common Stock,COMM
COMP - Compass Inc. Class A Common Stock,COMP
COMS - COMSovereign Holding Corp. Common Stock,COMS
COMSP - COMSovereign Holding Corp. 9.25% Series A Cumulative Redeemable Perpetual Preferred Stock,COMSP
COMSW - COMSovereign Holding Corp. Warrants,COMSW
CONN - Conn's Inc. Common Stock,CONN
CONX - CONX Corp. Class A Common Stock,CONX
CONXU - CONX Corp. Unit,CONXU
CONXW - CONX Corp. Warrant,CONXW
COO - The Cooper Companies Inc. Common Stock,COO
COOK - Traeger Inc. Common Stock,COOK
COOL - Corner Growth Acquisition Corp. Class A Ordinary Shares,COOL
COOLU - Corner Growth Acquisition Corp. Unit,COOLU
COOLW - Corner Growth Acquisition Corp. Warrant,COOLW
COOP - Mr. Cooper Group Inc. Common Stock,COOP
COP - ConocoPhillips Common Stock,COP
CORR - CorEnergy Infrastructure Trust Inc. Common Stock,CORR
CORR^A - CorEnergy Infrastructure Trust Inc. Depositary Shares each representing a 1/100th fractional interest of a share of 7.375% Series A Cumulative Redeemable Preferred Stock,CORR^A
CORS - Corsair Partnering Corporation Class A Ordinary Shares,CORS
