,0
ACRS - Aclaris Therapeutics Inc. Common Stock,ACRS
ACRV - Acrivon Therapeutics Inc. Common Stock,ACRV
ACRX - AcelRx Pharmaceuticals Inc. Common Stock,ACRX
ACST - Acasti Pharma Inc. Class A Common Stock,ACST
ACT - Enact Holdings Inc. Common Stock,ACT
ACTG - Acacia Research Corporation (Acacia Tech) Common Stock,ACTG
ACU - Acme United Corporation. Common Stock,ACU
ACV - Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,ACV
ACVA - ACV Auctions Inc. Class A Common Stock,ACVA
ACXP - Acurx Pharmaceuticals Inc. Common Stock,ACXP
ADAG - Adagene Inc. American Depositary Shares,ADAG
ADAP - Adaptimmune Therapeutics plc American Depositary Shares,ADAP
ADBE - Adobe Inc. Common Stock,ADBE
ADC - Agree Realty Corporation Common Stock,ADC
ADC^A - Agree Realty Corporation Depositary Shares each representing 1/1000th of a 4.250% Series A Cumulative Redeemable Preferred Stock,ADC^A
ADCT - ADC Therapeutics SA Common Shares,ADCT
ADD - Color Star Technology Co. Ltd. Class A Ordinary Shares,ADD
ADEA - Adeia Inc. Common Stock,ADEA
ADER - 26 Capital Acquisition Corp. Class A Common Stock,ADER
ADERW - 26 Capital Acquisition Corp. Warrant,ADERW
ADES - Advanced Emissions Solutions Inc. Common Stock,ADES
ADEX - Adit EdTech Acquisition Corp. Common Stock,ADEX
ADI - Analog Devices Inc. Common Stock,ADI
ADIL - Adial Pharmaceuticals Inc Common Stock,ADIL
ADILW - Adial Pharmaceuticals Inc Warrant,ADILW
ADM - Archer-Daniels-Midland Company Common Stock,ADM
ADMA - ADMA Biologics Inc Common Stock,ADMA
ADMP - Adamis Pharmaceuticals Corporation Common Stock,ADMP
ADN - Advent Technologies Holdings Inc. Class A Common Stock,ADN
ADNT - Adient plc Ordinary Shares ,ADNT
ADNWW - Advent Technologies Holdings Inc. Warrant,ADNWW
ADOC - Edoc Acquisition Corp. Class A Ordinary Share,ADOC
ADOCR - Edoc Acquisition Corp. Right,ADOCR
ADOCW - Edoc Acquisition Corp. Warrant,ADOCW
ADP - Automatic Data Processing Inc. Common Stock,ADP
ADPT - Adaptive Biotechnologies Corporation Common Stock,ADPT
ADRT - Ault Disruptive Technologies Corporation Common Stock,ADRT
ADSE - ADS-TEC ENERGY PLC Ordinary Shares,ADSE
ADSEW - ADS-TEC ENERGY PLC Warrant,ADSEW
ADSK - Autodesk Inc. Common Stock,ADSK
ADT - ADT Inc. Common Stock,ADT
ADTH - AdTheorent Holding Company Inc. Common Stock,ADTH
ADTHW - AdTheorent Holding Company Inc. Warrants,ADTHW
ADTN - ADTRAN Holdings Inc. Common Stock,ADTN
ADTX - Aditxt Inc. Common Stock,ADTX
ADUS - Addus HomeCare Corporation Common Stock,ADUS
ADV - Advantage Solutions Inc. Class A Common Stock,ADV
ADVM - Adverum Biotechnologies Inc. Common Stock,ADVM
ADVWW - Advantage Solutions Inc. Warrant,ADVWW
ADX - Adams Diversified Equity Fund Inc.,ADX
ADXN - Addex Therapeutics Ltd American Depositary Shares,ADXN
AE - Adams Resources & Energy Inc. Common Stock,AE
AEAE - AltEnergy Acquisition Corp. Class A Common Stock,AEAE
AEAEW - AltEnergy Acquisition Corp. Warrant,AEAEW
AEE - Ameren Corporation Common Stock,AEE
AEF - abrdn Emerging Markets Equity Income Fund Inc. Common Stock,AEF
AEFC - Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,AEFC
AEG - AEGON N.V. Common Stock,AEG
AEHL - Antelope Enterprise Holdings Limited Class A Ordinary Shares,AEHL
AEHR - Aehr Test Systems Common Stock,AEHR
AEI - Alset Inc. Common Stock (TX),AEI
AEIS - Advanced Energy Industries Inc. Common Stock,AEIS
AEL - American Equity Investment Life Holding Company Common Stock,AEL
AEL^A - American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 5.95% Fixed-Rate Reset Non-Cumulative Preferred Stock Series A,AEL^A
AEL^B - American Equity Investment Life Holding Company Depositary Shares each representing a 1/1000th interest in a share of 6.625% Fixed-Rate Reset Non-Cumulative Preferred Stock Series B,AEL^B
AEM - Agnico Eagle Mines Limited Common Stock,AEM
AEMD - Aethlon Medical Inc. Common Stock,AEMD
