,Low,Open,Volume,High,Close,Adjusted Close,Annual Percent Change,positive,negative,neutral,Label
AAME,2.764327730451311,2.852815116153044,8389.10924369748,2.944579826683557,2.8547478984383976,2.850467518598092,-0.28081928531683,0.1577860076403753,0.4212544032739419,0.420959586350981,0.0
AAOI,2.682945368670616,2.7832436932235205,653729.0168067227,2.8783445438417066,2.771701671997038,2.771701671997038,-0.6516886138704827,0.200527191022411,0.2999063537456095,0.4995664504356683,0.0
AAON,58.41042016934948,59.49764694085642,198859.86974789915,60.46365535960478,59.481722631374325,59.2247141990341,-0.1491816650744003,0.3108881525074443,0.3156851099002071,0.3734267425361193,0.0
AAP,190.2816177496389,193.1504623669536,870662.474789916,195.77130235944475,193.0965124819459,190.5604727608817,-0.0372587661577243,0.2916060369616995,0.1462237590186608,0.562170210853219,1.0
AAPL,153.80974777606357,155.8850000846286,87764881.34453781,158.03012610683922,155.97411763167182,155.4962249242959,0.1062828564745428,0.3481284119188785,0.0521881535649299,0.5996834024786949,1.0
AAVL,2.392907652307431,2.4726061469960032,279602.315647803,2.57200477067732,2.4837877945938165,2.4837877945938165,0.1374250332951657,0.4113195098936558,0.2507839512079954,0.3378965355455875,0.0
AAWW,83.03903363332027,83.98655465069939,706246.4453781513,84.94306745449035,83.95642841563506,83.95642841563506,0.1791606892584261,0.2961131831165403,0.22034872827741,0.4835380881093442,0.0
AB,41.62069315870269,42.26626044361531,359433.9831932773,42.9491596702768,42.25829850525415,40.636958418774,-0.0767665832363385,0.2901822878358265,0.3092507223132998,0.4005669934675097,0.0
ABBV,146.1433190097328,147.658655054429,6535054.4327731095,149.38647076262146,147.93598450732833,145.55318777901786,0.3083859861219458,0.430580529756844,0.1216330297058448,0.4477864363696425,1.0
ABC,146.2339497093393,147.79659649504333,1303482.4663865543,149.5596215384347,148.01260523435448,147.09363119942802,0.2599587599498254,0.2631126135742913,0.1826340399837742,0.5542533489720275,1.0
ABCB,46.14168072548233,46.88537814036137,402156.0630252101,47.56792007574514,46.88382355505679,46.88382355505679,-0.0701863593735548,0.5091017451137304,0.3913677649572492,0.0995304934680461,0.0
ABCD,10.970038277487602,11.157419327766664,228817.0806451613,11.363259246272426,11.1727418764945,11.1727418764945,1.090152953252411,0.2312156084924936,0.4160312507301569,0.3527531249448657,0.0
ABCO,0.9853733424667692,0.9881788272467752,10292.583718299837,0.9918538039891608,0.9894599646297172,0.9894599646297172,0.006548459924405,0.106139525771141,0.0501965761184692,0.8436638951301575,0.0
ABG,167.67373997023125,171.29252143667526,230560.26470588235,175.19003956257797,171.49823575059906,171.49823575059906,-0.0654176467888246,0.2681985651058229,0.2335386784747243,0.4982627508653836,0.0
ABIO,2.169579810955945,2.2124369660345446,80081.32773109243,2.2665966333461407,2.220504183228276,2.220504183228276,-0.3367150814490327,0.3595409199595452,0.0769514289684593,0.5635076630860567,0.0
ABM,43.720630341217294,44.30298317981367,410991.6050420168,44.965168047352,44.34569326769404,44.02128338212727,-0.0440367583680354,0.2421614360064268,0.3742458507418633,0.383592719770968,0.0
ABMD,286.54184812657974,291.89071392411944,487636.09663865546,296.5079407892308,291.6539082887794,291.6539082887794,-0.1053585033795305,0.45318997297436,0.1747160091996193,0.3720940105617046,1.0
ABR,15.370714311840151,15.591134435990275,2224384.8613445377,15.786205888796252,15.57065127076221,14.711516384317092,-0.1097094793673264,0.2648516217712313,0.2156802446426202,0.5194681434271237,0.0
ACAD,18.321071424404117,18.802857130515477,1773394.4117647058,19.308214319854223,18.813025194055893,18.813025194055893,-0.2847406019406076,0.2881093958095234,0.1995311041763569,0.5123594962655463,0.0
ACET,34.07313009867051,35.55066596211269,231711.7320091105,36.94224570304654,35.37780109481017,35.37780109481017,-0.1763929349593718,0.3493498653173447,0.2785499740391969,0.3721001589670777,0.0
ACFC,10.31319503973026,10.41003464236118,42050.0,10.51215642985731,10.41702968295258,10.41702968295258,0.2849580151453859,0.2550242245197296,0.1839924696832895,0.560983344912529,0.0
ACFN,0.4724050618173704,0.4875527414088511,17500.042194092828,0.5031645552015506,0.4904641344325955,0.4904641344325955,-0.1518770209671499,0.2383296346824084,0.1853816183816109,0.5762887499428222,0.0
ACG,133.33333333333334,136.33333333333334,4281.666666666667,136.33333333333334,133.33333333333334,133.33333333333334,0.0,0.2580025801435113,0.4061137153767049,0.3358837179839611,0.0
ACGL,47.165042043734,47.66163859647863,2332379.407563025,48.24462203017804,47.72466403095662,47.72466403095662,0.2129118521329327,0.3238422108038018,0.2412888236499081,0.4348689675020674,0.0
ACHC,70.86226896077645,71.93819323307326,594357.8235294118,73.15014714152873,72.06844547816685,72.06844547816685,0.2021298102352973,0.2803556620826324,0.2574571969298025,0.4621871438622474,0.0
ACHN,0.3509643932289683,0.3519150583958873,1026.9094855566375,0.3593420297262905,0.3581029030094476,0.3581029030094476,-0.1438459213036747,0.4392594888806343,0.1400709073990583,0.4206696022301912,0.0
ACIW,26.485042019050663,26.94521013628535,742948.4075630252,27.40397064625716,26.910315160991765,26.910315160991765,-0.2502192554544454,0.3372750426176935,0.2509367076680064,0.4117882527100542,0.0
ACLS,62.66932772788681,64.40428571941472,446266.6302521008,66.22945373599269,64.48027327080734,64.48027327080734,0.4177732949042148,0.3794463745939235,0.1516204600597525,0.4689331640075478,0.0
ACN,298.4732355069713,302.31331865326695,2310021.899159664,306.2904195064256,302.30214306486755,300.25181105156906,-0.0227109594561598,0.3262775062272946,0.1348447567317634,0.5388777403160928,1.0
ACNB,33.25949578325287,33.68016811979919,24739.42857142857,34.21701693334499,33.75697470112007,33.20048264896168,0.1927339744729725,0.2249195970594883,0.2313890423004826,0.5436913779005409,0.0
ACOR,0.9400840360326927,0.987436974374186,1561726.9915966387,1.032877311486156,0.9788231087081573,0.9788231087081573,-0.7828991929033309,0.27153051474856,0.2100253445251534,0.5184441398001379,0.0
ACP,13.061432134272094,13.165463669921945,90403.4454058993,13.237257716686983,13.15233336656239,6.470027064099631,-0.0462496079888052,0.1245938166975975,0.0351264849305152,0.8402796983718872,0.0
ACRE,13.360609214846829,13.55382352316079,638988.5294117647,13.716890739793538,13.53741595324348,12.915326162546622,-0.0752053291327971,0.3354677281445927,0.2265637146309017,0.4379685542235771,0.0
ACRX,5.205588212534159,5.524831924117914,99291.40336134454,5.787647056980293,5.449327726324065,5.449327726324065,-0.7902568139855628,0.3512437967211008,0.1908580482937395,0.4578981470316647,0.0
ACST,0.8741142846205655,0.903699997468155,161959.30672268907,0.9309663846462716,0.8998466370736852,0.8998466370736852,-0.7522654389998467,0.3265824908623472,0.2070951049681753,0.4663224265445024,0.0
ACTA,5.286625343163808,5.331632050673167,526625.12,5.384094619750977,5.330682456493378,5.330682456493378,-0.6246287897525622,0.0237150716905792,0.3614116366952657,0.6148732863366604,0.0
ACTG,4.266050426899886,4.3540336184141015,376085.512605042,4.462037820775969,4.354873965768253,4.354873965768253,-0.2667043716308651,0.3465624913418044,0.2431966135899226,0.4102409033104777,0.0
ACUR,0.2742436956222943,0.28710083833293,5859.634453781513,0.2966386527527405,0.2904201651837269,0.2904201651837269,-0.373301236374263,0.3503084929264856,0.2361262434133977,0.4135652572198799,0.0
ADBE,392.72348843101696,399.6993271002249,3554804.411764706,406.35453642516575,399.38927325080425,399.38927325080425,-0.2875855378230827,0.3433756854850799,0.129078110664462,0.5275462035089731,0.0
ADC,68.8087392374247,69.54739474448837,725653.2142857143,70.2302099756834,69.53584041114615,69.48141038718344,0.0017219439481792,0.2303650940768421,0.0900441138384243,0.6795907991627853,0.0
ADES,4.710042026864381,4.8186134440558295,95697.60924369749,4.922310929338472,4.8030672293751175,4.8030672293751175,-0.2426506933657769,0.3161378845064477,0.272015747631138,0.4118463615294207,0.0
ADI,155.56928528857833,157.9044962009462,3648222.0588235296,160.2763859724798,157.9888655718635,156.34994776108687,-0.0417415729926051,0.308493463974446,0.197239577358899,0.4942669635638594,1.0
ADM,83.37201665028805,84.50777326311383,3290010.5462184874,85.60109258699818,84.52903350060727,83.77228520497555,0.3906268722748307,0.3172384755996366,0.1641897821022818,0.5185717458526292,1.0
ADMA,2.1097184835361835,2.168189078819852,2726720.7394957985,2.242327728692223,2.179432769783405,2.179432769783405,0.29463623773835,0.3076916229645056,0.2792409904035074,0.413067377358675,0.0
ADMP,0.3935294094331124,0.4093285716381393,1230779.781512605,0.4275638651447135,0.4098483198204962,0.4098483198204962,-0.5812448223115829,0.3013976929916276,0.128577206749469,0.5700251035806205,0.0
ADP,225.24600860852152,227.79760485737265,1801480.74789916,230.3197479248047,227.8682140702961,225.4329726275276,0.1370327122662387,0.3380653898231685,0.1830889460941155,0.4788456587431331,1.0
ADPT,30.248936320000084,31.284282555988,975599.7183903408,32.191128990365286,31.211970895736872,31.211970895736872,-0.148916564923538,0.2098948143422603,0.2799493733793497,0.5101557906717062,0.0
ADSK,203.35546208229383,207.2773526616457,1704069.3109243698,210.95025211622732,207.1419331526556,207.1419331526556,-0.2927564233491659,0.2760784276605894,0.200752397145455,0.5231691698233287,1.0
ADTN,19.62033619600184,20.02058820964909,636661.0714285715,20.40474793890945,20.01821429789567,19.844163662245293,0.0323714142371782,0.2359761538604895,0.2611672832126108,0.5028565644441794,0.0
